Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;39,00;110,84;94,42;0,00;51,32;48,10;48,10;26,00;42,90;22,00;18,00;4,00;31,00;22,00;22,00;4,00;22,00;4,00;26,00;4,00;17,00;9,00;4,00;26,00;9,00;0,00;9,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;48,00;104,35;25,04;0,00;43,83;51,89;51,89;16,86;48,00;31,00;13,00;18,00;44,00;18,00;4,00;4,00;4,00;4,00;18,00;4,00;9,00;9,00;0,00;31,00;13,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;25,00;75,00;54,17;4,17;20,83;47,37;42,11;25,00;42,11;51,00;17,00;34,00;64,00;17,00;4,00;17,00;8,00;8,00;4,00;4,00;8,00;8,00;8,00;30,00;4,00;4,00;4,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;8,00;56,00;44,00;4,00;44,00;56,00;34,67;38,67;34,67;25,00;17,00;13,00;42,00;42,00;8,00;13,00;8,00;8,00;13,00;8,00;4,00;17,00;0,00;21,00;0,00;4,00;13,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;40,00;124,21;44,21;0,00;40,00;40,00;58,67;45,33;32,00;27,00;27,00;31,00;45,00;35,00;9,00;0,00;22,00;18,00;13,00;4,00;0,00;0,00;18,00;9,00;9,00;0,00;4,00;0,00;0,00;4,00;0,00;9,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-02-10;36,00;72,00;57,18;0,00;57,18;32,00;77,33;36,00;36,00;31,00;22,00;18,00;63,00;31,00;9,00;9,00;18,00;4,00;13,00;13,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;13,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;18,00;103,50;33,75;0,00;56,25;34,71;61,71;21,86;21,86;31,00;22,00;13,00;63,00;9,00;13,00;13,00;9,00;4,00;9,00;13,00;13,00;18,00;4,00;9,00;9,00;13,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;31,00;110,71;68,64;0,00;64,21;49,87;80,87;26,96;40,43;48,00;22,00;13,00;70,00;13,00;18,00;18,00;13,00;17,00;9,00;4,00;4,00;0,00;4,00;13,00;0,00;4,00;4,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-03-03;50,00;69,57;65,22;0,00;19,57;53,95;27,63;13,16;9,21;41,00;36,00;32,00;36,00;27,00;9,00;9,00;32,00;18,00;9,00;18,00;5,00;5,00;14,00;23,00;5,00;9,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;44,00;113,14;44,00;0,00;35,62;36,00;66,67;30,67;36,00;18,00;26,00;13,00;53,00;9,00;9,00;13,00;13,00;4,00;26,00;13,00;4,00;0,00;17,00;13,00;0,00;4,00;4,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
