Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;53,00;36,94;53,00;44,97;30,52;15,59;45,73;91,45;75,86;30,00;15,00;61,00;15,00;30,00;8,00;8,00;38,00;45,00;30,00;23,00;15,00;8,00;23,00;15,00;0,00;15,00;23,00;15,00;8,00;8,00;15,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;84,00;22,62;45,23;53,31;53,31;31,11;53,93;38,37;53,93;23,00;46,00;46,00;31,00;8,00;15,00;30,00;30,00;46,00;23,00;15,00;15,00;15,00;0,00;31,00;0,00;23,00;8,00;8,00;8,00;15,00;0,00;0,00;0,00;23,00;0,00;8,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00
2019-01-20;44,00;89,63;44,00;58,67;81,48;0,00;51,16;28,65;28,65;22,00;15,00;22,00;22,00;7,00;0,00;7,00;7,00;7,00;15,00;7,00;7,00;0,00;7,00;7,00;0,00;7,00;0,00;15,00;0,00;0,00;15,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;0,00;54,00;41,00;27,00;14,00;42,00;42,00;35,00;35,00;36,00;7,00;22,00;0,00;15,00;29,00;15,00;22,00;7,00;7,00;0,00;22,00;29,00;7,00;0,00;0,00;15,00;29,00;22,00;22,00;7,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-02-03;15,00;63,33;31,67;40,00;15,00;15,00;45,00;74,00;45,00;15,00;15,00;15,00;15,00;0,00;8,00;8,00;8,00;8,00;8,00;8,00;23,00;15,00;0,00;15,00;0,00;0,00;15,00;0,00;15,00;8,00;8,00;8,00;0,00;15,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;15,00;57,00;43,50;28,50;72,00;15,00;7,00;30,00;0,00;15,00;31,00;39,00;15,00;23,00;15,00;8,00;23,00;8,00;8,00;0,00;0,00;0,00;8,00;8,00;8,00;0,00;39,00;23,00;8,00;0,00;8,00;0,00;0,00;15,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;23,00;31,21;31,21;47,64;39,43;15,68;31,36;15,68;47,05;15,00;8,00;8,00;8,00;8,00;0,00;8,00;46,00;39,00;31,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00;8,00;8,00;8,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;23,00;92,00;46,00;37,79;31,21;53,32;61,68;23,00;69,00;8,00;30,00;15,00;0,00;23,00;23,00;38,00;38,00;15,00;38,00;0,00;23,00;15,00;8,00;8,00;0,00;8,00;0,00;0,00;15,00;23,00;8,00;0,00;0,00;0,00;15,00;8,00;8,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;16,00;46,40;100,80;24,00;16,00;32,00;65,07;32,00;40,53;31,00;31,00;16,00;23,00;0,00;16,00;8,00;31,00;8,00;16,00;16,00;16,00;16,00;8,00;8,00;0,00;0,00;8,00;0,00;8,00;16,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;30,00;30,00;88,42;30,00;14,21;61,03;22,76;38,28;30,00;15,00;38,00;0,00;15,00;0,00;0,00;38,00;23,00;8,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;8,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00
