Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;39,00;429,00;331,50;253,50;175,50;131,86;74,29;74,29;126,29;78,00;60,67;47,67;82,33;43,88;121,88;34,13;17,06;70,00;48,00;26,00;39,00;35,00;26,00;9,00;4,00;18,00;17,00;9,00;17,00;17,00;13,00;9,00;0,00;9,00;4,00;0,00
2019-01-13;48,00;304,00;272,00;176,00;128,00;149,54;73,85;60,92;149,54;100,36;61,09;43,64;52,36;74,40;81,60;43,20;31,20;40,00;48,00;31,00;57,00;26,00;22,00;35,00;31,00;4,00;9,00;18,00;4,00;9,00;4,00;0,00;0,00;9,00;9,00;0,00
2019-01-20;25,00;237,50;187,50;150,00;137,50;142,86;92,86;82,14;105,36;60,29;47,06;72,06;76,47;60,00;87,50;47,50;5,00;30,00;51,00;30,00;34,00;21,00;21,00;30,00;21,00;13,00;13,00;17,00;0,00;21,00;8,00;8,00;8,00;4,00;0,00;4,00
2019-01-27;8,00;152,00;144,00;72,00;64,00;176,00;90,00;108,00;194,00;61,33;77,33;46,67;88,00;112,00;88,00;18,67;13,33;13,00;38,00;34,00;71,00;13,00;4,00;21,00;34,00;13,00;17,00;4,00;4,00;8,00;8,00;13,00;4,00;4,00;4,00;8,00
2019-02-03;40,00;360,00;460,00;220,00;140,00;190,48;112,38;108,57;127,62;148,15;94,81;71,11;85,93;95,00;92,50;12,50;37,50;27,00;40,00;31,00;27,00;27,00;22,00;22,00;13,00;13,00;22,00;9,00;4,00;13,00;4,00;4,00;9,00;4,00;4,00;4,00
2019-02-10;36,00;324,00;288,00;216,00;126,00;123,16;113,68;108,00;108,00;105,00;49,50;45,00;49,50;74,40;79,20;36,00;21,60;44,00;62,00;22,00;40,00;35,00;22,00;40,00;18,00;9,00;13,00;4,00;9,00;13,00;13,00;0,00;4,00;4,00;0,00;0,00
2019-02-17;18,00;306,00;324,00;162,00;108,00;117,00;55,80;64,80;108,00;105,00;51,00;40,50;100,50;84,86;90,00;28,29;18,00;45,00;40,00;4,00;40,00;22,00;18,00;27,00;45,00;9,00;13,00;9,00;9,00;22,00;13,00;9,00;18,00;9,00;0,00;4,00
2019-02-24;31,00;279,00;248,00;186,00;139,50;164,69;108,50;114,31;114,31;75,29;70,86;57,57;84,14;85,85;97,77;16,69;33,38;31,00;79,00;22,00;17,00;26,00;39,00;26,00;17,00;48,00;35,00;13,00;13,00;4,00;9,00;17,00;9,00;9,00;9,00;0,00
2019-03-03;50,00;350,00;283,33;183,33;166,67;122,22;66,67;148,15;148,15;67,65;58,82;67,65;100,00;92,50;70,00;22,50;42,50;32,00;32,00;36,00;27,00;5,00;32,00;9,00;27,00;14,00;27,00;5,00;9,00;5,00;18,00;9,00;14,00;4,00;0,00;9,00
2019-03-10;44,00;308,00;249,33;146,67;161,33;122,43;89,91;126,26;122,43;83,60;96,80;57,20;101,20;83,11;48,89;22,00;31,78;26,00;57,00;44,00;13,00;31,00;13,00;0,00;13,00;13,00;26,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00;0,00
