Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;52,00;137,09;9,45;167,82;0,00;21,00
2019-01-13;21,00;84,00;0,00;42,00;9,33;21,00
2019-01-20;10,00;42,50;0,00;97,50;0,00;0,00
2019-01-27;20,00;66,67;0,00;20,00;0,00;30,00
2019-02-03;32,00;66,46;0,00;54,15;0,00;11,00
2019-02-10;11,00;30,80;11,00;30,80;11,00;0,00
2019-02-17;0,00;23,00;0,00;32,00;14,00;11,00
2019-02-24;31,00;64,38;0,00;21,46;9,54;52,00
2019-03-03;43,00;66,89;0,00;21,50;0,00;11,00
2019-03-10;31,00;116,85;0,00;42,92;0,00;21,00
2019-03-17;43,00;64,50;0,00;64,50;0,00;21,00
2019-03-24;33,00;87,21;44,79;66,00;0,00;22,00
2019-03-31;21,00;51,33;0,00;63,00;0,00;32,00
2019-04-07;78,00;101,64;0,00;44,91;0,00;0,00
2019-04-14;23,00;46,00;0,00;55,20;0,00;0,00
2019-04-21;22,00;68,44;0,00;22,00;0,00;11,00
2019-04-28;20,00;48,89;0,00;37,78;0,00;0,00
2019-05-05;30,00;30,00;0,00;48,46;20,77;30,00
2019-05-12;21,00;30,33;9,33;42,00;0,00;0,00
2019-05-19;61,00;70,38;0,00;21,12;0,00;10,00
2019-05-26;10,00;65,00;10,00;97,50;0,00;21,00
2019-06-02;10,00;40,00;20,00;50,00;10,00;0,00
2019-06-09;30,00;87,69;20,77;69,23;0,00;30,00
2019-06-16;10,00;55,00;0,00;100,00;0,00;0,00
2019-06-23;33,00;66,00;11,79;56,57;0,00;33,00
2019-06-30;11,00;30,80;0,00;72,60;0,00;22,00
2019-07-07;11,00;70,40;0,00;39,60;0,00;0,00
2019-07-14;81,00;81,00;0,00;46,29;0,00;35,00
2019-07-21;48,00;98,40;0,00;74,40;12,00;12,00
2019-07-28;23,00;101,20;11,50;0,00;0,00;23,00
2019-08-04;23,00;98,90;0,00;0,00;0,00;23,00
2019-08-11;55,00;45,43;0,00;55,00;0,00;22,00
2019-08-18;11,00;52,80;11,00;41,80;0,00;0,00
2019-08-25;32,00;61,71;0,00;52,57;0,00;11,00
2019-09-01;31,00;52,46;0,00;42,92;0,00;21,00
2019-09-08;21,00;74,67;0,00;42,00;0,00;11,00
2019-09-15;32,00;52,57;0,00;9,14;9,14;21,00
2019-09-22;40,00;58,82;9,41;9,41;18,82;30,00
2019-09-29;20,00;62,50;10,00;10,00;0,00;0,00
2019-10-06;30,00;69,23;9,23;39,23;9,23;0,00
2019-10-13;49,00;67,67;9,33;30,33;9,33;10,00
2019-10-20;20,00;75,00;10,00;32,50;10,00;20,00
2019-10-27;10,00;45,00;10,00;65,00;10,00;10,00
2019-11-03;50,00;100,00;9,52;80,95;0,00;10,00
2019-11-10;40,00;80,00;9,41;30,59;9,41;20,00
2019-11-17;59,00;49,56;18,88;18,88;0,00;0,00
