Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;31,00;10,00;57,00;52,00;26,00;16,00
2019-01-13;42,00;0,00;79,00;21,00;10,00;5,00
2019-01-20;25,00;0,00;56,00;56,00;5,00;10,00
2019-01-27;35,00;5,00;50,00;50,00;5,00;5,00
2019-02-03;32,00;0,00;58,00;47,00;5,00;0,00
2019-02-10;32,00;0,00;37,00;37,00;0,00;5,00
2019-02-17;64,00;11,00;27,00;37,00;0,00;5,00
2019-02-24;52,00;5,00;42,00;36,00;0,00;21,00
2019-03-03;48,00;0,00;48,00;16,00;0,00;5,00
2019-03-10;47,00;5,00;57,00;42,00;0,00;5,00
2019-03-17;37,00;0,00;43,00;37,00;0,00;5,00
2019-03-24;33,00;5,00;54,00;38,00;0,00;11,00
2019-03-31;16,00;0,00;47,00;26,00;11,00;21,00
2019-04-07;44,00;6,00;72,00;28,00;17,00;0,00
2019-04-14;34,00;23,00;40,00;17,00;11,00;6,00
2019-04-21;55,00;5,00;55,00;16,00;5,00;5,00
2019-04-28;30,00;10,00;46,00;56,00;10,00;15,00
2019-05-05;15,00;0,00;55,00;25,00;5,00;10,00
2019-05-12;31,00;10,00;57,00;21,00;16,00;0,00
2019-05-19;46,00;0,00;46,00;25,00;10,00;5,00
2019-05-26;5,00;5,00;82,00;15,00;5,00;21,00
2019-06-02;62,00;0,00;38,00;24,00;10,00;5,00
2019-06-09;55,00;5,00;25,00;35,00;15,00;10,00
2019-06-16;47,00;5,00;41,00;26,00;10,00;16,00
2019-06-23;61,00;11,00;44,00;11,00;0,00;6,00
2019-06-30;28,00;6,00;94,00;17,00;6,00;33,00
2019-07-07;43,00;5,00;65,00;33,00;27,00;16,00
2019-07-14;35,00;0,00;58,00;41,00;12,00;6,00
2019-07-21;48,00;0,00;42,00;42,00;18,00;6,00
2019-07-28;40,00;0,00;52,00;12,00;17,00;17,00
2019-08-04;34,00;0,00;45,00;34,00;17,00;11,00
2019-08-11;88,00;6,00;72,00;28,00;11,00;22,00
2019-08-18;17,00;0,00;45,00;11,00;11,00;11,00
2019-08-25;59,00;0,00;59,00;43,00;11,00;11,00
2019-09-01;42,00;5,00;62,00;36,00;31,00;5,00
2019-09-08;48,00;0,00;42,00;37,00;27,00;11,00
2019-09-15;26,00;0,00;42,00;26,00;21,00;27,00
2019-09-22;25,00;0,00;25,00;25,00;5,00;10,00
2019-09-29;35,00;5,00;40,00;15,00;30,00;5,00
2019-10-06;70,00;0,00;55,00;45,00;10,00;5,00
2019-10-13;44,00;5,00;35,00;30,00;5,00;5,00
2019-10-20;50,00;25,00;65,00;35,00;15,00;15,00
2019-10-27;31,00;0,00;62,00;36,00;15,00;10,00
2019-11-03;35,00;10,00;40,00;35,00;40,00;15,00
2019-11-10;20,00;0,00;50,00;25,00;5,00;0,00
2019-11-17;39,00;0,00;44,00;25,00;5,00;10,00
2019-11-24;28,00;0,00;38,00;52,00;14,00;24,00
2019-12-01;39,00;5,00;29,00;34,00;24,00;10,00
2019-12-08;24,00;10,00;48,00;24,00;19,00;10,00
2019-12-15;62,00;19,00;71,00;24,00;9,00;10,00
2019-12-22;26,00;0,00;48,00;32,00;21,00;21,00
2019-12-29;41,00;5,00;61,00;56,00;10,00;10,00
2020-01-05;37,00;5,00;93,00;28,00;28,00;5,00
2020-01-12;54,00;23,00;59,00;23,00;23,00;18,00
2020-01-19;43,00;5,00;66,00;24,00;19,00;0,00
2020-01-26;47,00;0,00;42,00;28,00;19,00;24,00
2020-02-02;28,00;5,00;42,00;24,00;52,00;5,00
2020-02-09;41,00;0,00;59,00;18,00;18,00;9,00
2020-02-16;69,00;0,00;50,00;32,00;23,00;5,00
2020-02-23;51,00;0,00;41,00;37,00;14,00;5,00
2020-03-01;41,00;9,00;32,00;18,00;9,00;9,00
2020-03-08;58,00;4,00;4,00;13,00;9,00;18,00
2020-03-15;39,00;0,00;22,00;22,00;9,00;0,00
2020-03-22;43,00;13,00;30,00;9,00;4,00;4,00
2020-03-29;47,00;9,00;34,00;21,00;4,00;0,00
2020-04-05;41,00;5,00;13,00;27,00;4,00;5,00
2020-04-12;52,00;9,00;26,00;26,00;9,00;4,00
2020-04-19;50,00;8,00;38,00;25,00;4,00;4,00
2020-04-26;33,00;4,00;28,00;12,00;4,00;0,00
2020-05-03;17,00;25,00;17,00;4,00;0,00;0,00
2020-05-10;29,00;8,00;29,00;8,00;0,00;0,00
2020-05-17;31,00;4,00;18,00;9,00;0,00;0,00
2020-05-24;21,00;13,00;13,00;25,00;4,00;4,00
2020-05-31;48,00;8,00;16,00;12,00;8,00;4,00
2020-06-07;32,00;12,00;16,00;28,00;12,00;8,00
2020-06-14;41,00;0,00;41,00;8,00;4,00;4,00
2020-06-21;35,00;17,00;43,00;9,00;13,00;0,00
2020-06-28;34,00;13,00;21,00;9,00;26,00;9,00
2020-07-05;36,00;4,00;18,00;13,00;0,00;0,00
2020-07-12;14,00;5,00;24,00;14,00;10,00;10,00
2020-07-19;35,00;5,00;25,00;15,00;10,00;0,00
2020-07-26;33,00;0,00;24,00;19,00;5,00;10,00
2020-08-02;47,00;0,00;70,00;0,00;5,00;0,00
2020-08-09;44,00;0,00;84,00;22,00;4,00;4,00
2020-08-16;45,00;9,00;27,00;0,00;9,00;0,00
2020-08-23;44,00;0,00;22,00;18,00;4,00;13,00
2020-08-30;40,00;4,00;27,00;22,00;9,00;0,00
2020-09-06;50,00;0,00;14,00;9,00;0,00;9,00
2020-09-13;46,00;9,00;5,00;0,00;5,00;5,00
2020-09-20;27,00;4,00;22,00;18,00;13,00;4,00
2020-09-27;22,00;9,00;0,00;13,00;4,00;5,00
2020-10-04;27,00;5,00;9,00;5,00;9,00;14,00
2020-10-11;57,00;0,00;38,00;10,00;10,00;0,00
2020-10-18;100,00;10,00;14,00;9,00;9,00;14,00
2020-10-25;54,00;9,00;14,00;14,00;18,00;5,00
2020-11-01;26,00;0,00;22,00;0,00;17,00;0,00
2020-11-08;50,00;5,00;5,00;9,00;18,00;5,00
2020-11-15;22,00;0,00;31,00;13,00;13,00;4,00
2020-11-22;27,00;4,00;4,00;4,00;9,00;4,00
2020-11-29;31,00;0,00;18,00;4,00;22,00;0,00
2020-12-06;41,00;5,00;9,00;9,00;5,00;9,00
2020-12-13;51,00;9,00;32,00;23,00;0,00;5,00
2020-12-20;68,00;5,00;20,00;5,00;39,00;0,00
2020-12-27;58,00;5,00;39,00;5,00;53,00;29,00
2021-01-03;50,00;9,00;23,00;18,00;9,00;9,00
2021-01-10;68,00;5,00;23,00;9,00;0,00;9,00
2021-01-17;40,00;0,00;4,00;31,00;22,00;4,00
2021-01-24;27,00;4,00;18,00;18,00;13,00;0,00
2021-01-31;31,00;14,00;18,00;18,00;4,00;9,00
2021-02-07;13,00;0,00;27,00;0,00;0,00;9,00
2021-02-14;28,00;0,00;5,00;14,00;9,00;0,00
2021-02-21;47,00;9,00;14,00;9,00;9,00;14,00
2021-02-28;47,00;9,00;5,00;23,00;14,00;0,00
2021-03-07;36,00;14,00;27,00;41,00;72,00;5,00
2021-03-14;26,00;0,00;30,00;13,00;21,00;9,00
2021-03-21;55,00;0,00;27,00;9,00;23,00;5,00
2021-03-28;20,00;5,00;10,00;15,00;24,00;5,00
2021-04-04;18,00;5,00;27,00;23,00;9,00;0,00
2021-04-11;42,00;0,00;14,00;18,00;5,00;5,00
2021-04-18;14,00;5,00;19,00;48,00;10,00;5,00
2021-04-25;18,00;0,00;28,00;18,00;9,00;9,00
2021-05-02;31,00;9,00;13,00;58,00;13,00;18,00
2021-05-09;42,00;9,00;5,00;47,00;9,00;0,00
2021-05-16;18,00;0,00;31,00;44,00;9,00;4,00
2021-05-23;37,00;5,00;19,00;33,00;28,00;5,00
2021-05-30;24,00;9,00;24,00;38,00;19,00;5,00
2021-06-06;33,00;0,00;14,00;33,00;28,00;5,00
2021-06-13;18,00;9,00;37,00;18,00;18,00;5,00
2021-06-20;42,00;5,00;32,00;37,00;28,00;9,00
2021-06-27;38,00;5,00;33,00;19,00;33,00;0,00
2021-07-04;40,00;0,00;15,00;30,00;25,00;10,00
2021-07-11;56,00;10,00;20,00;31,00;10,00;0,00
2021-07-18;34,00;0,00;23,00;17,00;29,00;6,00
2021-07-25;32,00;0,00;37,00;58,00;26,00;0,00
2021-08-01;37,00;16,00;84,00;42,00;10,00;5,00
2021-08-08;32,00;0,00;22,00;16,00;27,00;0,00
2021-08-15;26,00;5,00;52,00;42,00;21,00;10,00
2021-08-22;11,00;5,00;38,00;22,00;43,00;0,00
2021-08-29;22,00;5,00;49,00;44,00;38,00;0,00
2021-09-05;39,00;0,00;11,00;28,00;11,00;17,00
2021-09-12;5,00;5,00;33,00;27,00;11,00;11,00
2021-09-19;22,00;5,00;82,00;38,00;49,00;6,00
2021-09-26;37,00;5,00;64,00;64,00;21,00;11,00
2021-10-03;53,00;11,00;32,00;37,00;16,00;5,00
2021-10-10;22,00;5,00;54,00;32,00;27,00;11,00
2021-10-17;48,00;0,00;58,00;32,00;42,00;5,00
2021-10-24;21,00;0,00;32,00;21,00;21,00;0,00
2021-10-31;61,00;11,00;83,00;11,00;28,00;0,00
2021-11-07;76,00;19,00;25,00;50,00;50,00;0,00
