Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;19,00;73,89;6,33;0,00;6,33;25,33;12,67;25,33;34,83;27,87;19,00;8,87;12,67;7,00;20,00;13,00;0,00;0,00;10,00;7,00;0,00;10,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;30,00;85,71;4,29;0,00;19,29;20,00;10,00;6,67;16,67;30,00;6,52;10,43;26,09;10,00;7,00;7,00;3,00;0,00;3,00;7,00;7,00;0,00;7,00;13,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;23,00;108,73;6,27;0,00;6,27;23,00;13,14;13,14;19,71;40,59;16,24;6,76;40,59;7,00;7,00;7,00;7,00;0,00;3,00;3,00;3,00;10,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;16,00;102,86;6,86;0,00;16,00;28,80;9,60;16,00;35,20;38,67;6,67;2,67;16,00;13,00;23,00;6,00;6,00;3,00;3,00;6,00;3,00;3,00;0,00;6,00;3,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;13,00;101,83;6,50;0,00;6,50;27,08;13,00;6,50;19,50;45,50;13,00;16,90;29,90;7,00;24,00;0,00;3,00;7,00;10,00;3,00;3,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2019-02-10;20,00;133,33;6,67;0,00;11,11;12,63;9,47;6,32;9,47;30,67;4,00;6,67;10,67;7,00;27,00;17,00;0,00;3,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;20,00;106,67;4,44;0,00;17,78;32,63;6,32;3,16;23,16;54,67;0,00;13,33;10,67;0,00;31,00;0,00;3,00;10,00;3,00;3,00;0,00;14,00;7,00;7,00;7,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;27,00;180,00;4,50;6,75;4,50;56,16;6,48;12,96;27,00;37,80;17,55;13,50;10,80;10,00;24,00;27,00;0,00;3,00;7,00;7,00;0,00;7,00;0,00;10,00;10,00;0,00;3,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;10,00;85,00;10,00;0,00;7,50;26,67;10,00;13,33;20,00;24,29;7,14;17,14;10,00;13,00;26,00;3,00;0,00;3,00;3,00;6,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;30,00;92,14;12,86;4,29;6,43;40,00;13,33;13,33;13,33;45,65;6,52;6,52;13,04;13,00;10,00;13,00;3,00;3,00;10,00;3,00;0,00;13,00;3,00;0,00;7,00;0,00;0,00;0,00;0,00;3,00;7,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;27,00;135,00;6,23;6,23;6,23;44,28;14,04;14,04;14,04;23,14;12,86;6,43;16,71;14,00;27,00;7,00;0,00;0,00;0,00;3,00;0,00;10,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;34,00;133,88;6,38;6,38;10,63;34,00;20,84;6,58;30,71;34,00;13,08;6,54;6,54;21,00;10,00;0,00;3,00;10,00;0,00;3,00;0,00;10,00;0,00;10,00;7,00;0,00;7,00;0,00;0,00;7,00;14,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
