Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;37,00;4,11;8,22;4,11;65,78;4,00;0,00;16,00;8,00;16,00;4,00;41,00;61,00;25,00;12,00;16,00;20,00;37,00;4,00;12,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;42,00;0,00;4,10;0,00;50,20;4,00;4,00;8,00;4,00;13,00;0,00;50,00;0,00;21,00;8,00;21,00;8,00;17,00;0,00;17,00;0,00;0,00;0,00;13,00;0,00;0,00;4,00;17,00;0,00;0,00;4,00;4,00;13,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-01-20;74,00;20,27;8,11;4,05;36,49;4,00;0,00;0,00;4,00;29,00;0,00;20,00;4,00;12,00;12,00;16,00;8,00;24,00;4,00;8,00;4,00;4,00;0,00;0,00;0,00;8,00;8,00;12,00;25,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;73,00;4,06;8,11;0,00;40,56;4,00;0,00;12,00;0,00;32,00;0,00;24,00;0,00;20,00;20,00;24,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;12,00;4,00;0,00;16,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;55,00;8,15;12,22;0,00;12,22;4,00;4,00;4,00;0,00;8,00;0,00;29,00;0,00;8,00;13,00;25,00;13,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;17,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-02-10;30,00;0,00;4,14;0,00;25,86;8,00;0,00;0,00;4,00;17,00;0,00;38,00;0,00;21,00;4,00;8,00;8,00;13,00;0,00;0,00;0,00;0,00;4,00;17,00;4,00;0,00;0,00;9,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;26,00;13,52;0,00;0,00;47,84;9,00;0,00;0,00;0,00;13,00;0,00;13,00;0,00;21,00;9,00;13,00;17,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;42,00;4,00;8,00;0,00;42,00;4,00;4,00;0,00;0,00;21,00;0,00;25,00;0,00;4,00;0,00;13,00;21,00;17,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-03-03;77,00;4,05;12,16;4,05;48,63;4,00;4,00;0,00;0,00;4,00;0,00;12,00;0,00;0,00;4,00;12,00;4,00;8,00;0,00;8,00;8,00;4,00;0,00;0,00;0,00;8,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;37,00;0,00;12,00;4,00;45,00;8,00;0,00;0,00;0,00;8,00;0,00;21,00;0,00;8,00;4,00;8,00;8,00;12,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
