Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;19,00;139,33;180,50;82,33;88,67;103,77;2,92;68,69;111,08;65,14;122,14;152,00;70,57;76,00;57,00;73,29;16,29;36,00;42,00;23,00;62,00;3,00;98,00;26,00;23,00;0,00;3,35;57,00;10,00;7,00;7,00;0,00;0,00;6,00;6,00
2019-01-13;30,00;141,00;126,00;54,00;81,00;78,57;2,86;58,57;71,43;60,00;128,18;160,91;90,00;40,91;57,27;62,73;40,91;53,00;33,00;33,00;67,00;10,00;53,00;20,00;13,00;19,62;3,46;60,00;7,00;3,00;3,00;3,00;7,00;10,00;0,00
2019-01-20;23,00;157,71;170,86;55,86;174,14;67,56;2,88;51,75;67,56;58,78;107,33;171,22;48,56;63,89;81,78;92,00;35,78;29,00;56,00;23,00;49,00;3,00;56,00;20,00;3,00;12,65;3,45;69,00;7,00;3,00;3,00;7,00;7,00;3,00;0,00
2019-01-27;16,00;147,20;147,20;80,00;115,20;80,00;2,91;96,00;84,36;45,33;114,67;168,00;85,33;32,00;69,33;69,33;32,00;39,00;48,00;32,00;65,00;3,00;68,00;16,00;6,00;3,43;0,00;67,43;0,00;3,00;0,00;0,00;6,00;6,00;0,00
2019-02-03;13,00;159,25;139,75;65,00;87,75;82,33;2,89;56,33;49,11;72,80;114,40;127,40;67,60;52,00;85,80;54,60;28,60;54,00;50,00;33,00;57,00;20,00;50,00;30,00;20,00;6,50;0,00;54,17;0,00;7,00;3,00;0,00;10,00;0,00;3,00
2019-02-10;20,00;174,29;128,57;60,00;82,86;82,86;7,14;110,00;72,86;30,00;125,00;150,00;75,00;42,50;52,50;60,00;30,00;41,00;34,00;31,00;44,00;17,00;58,00;10,00;20,00;6,67;0,00;65,56;7,00;3,00;7,00;0,00;3,00;0,00;3,00
2019-02-17;20,00;134,29;165,71;57,14;94,29;62,86;0,00;102,86;92,86;35,00;95,00;167,50;50,00;35,00;60,00;65,00;35,00;31,00;31,00;37,00;61,00;0,00;65,00;37,00;17,00;6,67;0,00;55,56;0,00;7,00;7,00;7,00;14,00;7,00;0,00
2019-02-24;27,00;162,00;135,00;48,00;93,00;82,50;0,00;69,00;82,50;64,80;97,20;153,90;81,00;59,40;67,50;54,00;29,70;40,00;50,00;20,00;27,00;17,00;57,00;23,00;23,00;10,57;0,00;58,70;0,00;7,00;7,00;0,00;7,00;3,00;0,00
2019-03-03;10,00;206,67;126,67;76,67;103,33;72,86;5,71;84,29;78,57;55,00;105,00;192,50;77,50;40,00;80,00;52,50;27,50;19,00;55,00;26,00;55,00;16,00;67,00;35,00;19,00;3,75;0,00;77,50;3,00;13,00;13,00;3,00;16,00;0,00;0,00
2019-03-10;30,00;183,00;162,00;66,00;114,00;51,00;3,00;72,00;91,50;65,45;92,73;185,45;125,45;68,18;43,64;57,27;30,00;36,00;66,00;36,00;60,00;10,00;60,00;17,00;30,00;19,62;3,46;46,15;0,00;7,00;7,00;0,00;10,00;0,00;7,00
2019-03-17;27,00;171,00;111,00;72,00;93,00;86,68;0,00;69,63;76,74;64,80;89,10;205,20;91,80;62,10;59,40;70,20;24,30;55,00;20,00;17,00;31,00;20,00;38,00;31,00;20,00;3,38;0,00;74,25;7,00;3,00;7,00;7,00;14,00;7,00;0,00
2019-03-24;34,00;145,27;102,00;111,27;108,18;75,39;7,39;72,43;69,48;75,85;91,54;185,69;99,38;36,62;86,31;68,00;54,92;44,00;55,00;27,00;54,00;14,00;75,00;34,00;24,00;13,60;6,80;63,47;7,00;0,00;7,00;0,00;3,00;14,00;0,00
2019-03-31;40,00;181,54;113,85;73,85;92,31;78,57;2,86;50,00;98,57;66,67;98,67;224,00;72,00;58,67;74,67;74,67;26,67;37,00;50,00;13,00;30,00;27,00;44,00;17,00;13,00;3,43;3,43;60,57;0,00;3,00;10,00;3,00;10,00;0,00;3,00
2019-04-07;57,00;207,00;120,00;57,00;168,00;100,85;2,92;86,23;121,31;72,55;171,00;176,18;77,73;65,14;86,86;78,71;48,86;57,00;32,00;38,00;44,00;22,00;92,00;32,00;9,00;3,49;9,31;83,76;3,00;6,00;0,00;3,00;3,00;13,00;9,00
2019-04-14;49,00;306,25;150,06;98,00;183,75;148,48;0,00;72,76;99,48;77,37;159,89;252,74;85,11;81,67;122,50;92,56;57,17;52,00;49,00;67,00;60,00;11,00;78,00;15,00;15,00;23,33;0,00;84,00;7,00;7,00;4,00;7,00;26,00;7,00;7,00
2019-04-21;34,00;188,55;163,82;83,45;182,36;87,22;4,43;84,26;110,87;75,85;133,38;227,54;94,15;81,08;107,23;86,31;44,46;34,00;64,00;49,00;49,00;11,00;94,00;19,00;26,00;8,21;0,00;76,21;0,00;0,00;8,00;4,00;15,00;11,00;4,00
2019-04-28;29,00;148,22;164,33;90,22;141,78;76,85;2,90;87,00;55,10;52,73;84,36;203,00;76,45;52,73;89,64;60,64;29,00;36,00;45,00;26,00;49,00;19,00;65,00;19,00;26,00;9,28;9,28;64,96;3,00;10,00;6,00;0,00;3,00;6,00;6,00
2019-05-05;49,00;189,88;189,88;91,88;165,38;96,56;2,88;87,91;83,59;54,16;100,58;149,58;51,58;51,72;84,39;70,78;29,94;29,00;33,00;29,00;62,00;20,00;46,00;20,00;36,00;6,84;3,42;84,33;3,00;7,00;16,00;3,00;7,00;0,00;3,00
2019-05-12;40,00;147,69;113,85;64,62;120,00;137,78;0,00;84,44;94,81;64,00;122,67;210,67;72,00;88,00;96,00;88,00;40,00;56,00;30,00;43,00;60,00;13,00;36,00;13,00;23,00;10,59;7,06;105,88;3,00;3,00;0,00;7,00;3,00;7,00;3,00
2019-05-19;40,00;135,38;104,62;49,23;129,23;124,44;2,96;94,81;87,41;48,00;101,33;173,33;82,67;50,67;117,33;77,33;64,00;53,00;53,00;50,00;63,00;20,00;53,00;23,00;17,00;13,71;3,43;59,43;7,00;0,00;10,00;3,00;17,00;10,00;0,00
2019-05-26;43,00;178,14;162,79;67,57;153,57;97,86;0,00;57,83;83,03;59,13;83,31;228,44;88,69;115,56;96,75;61,81;43,00;53,00;46,00;53,00;46,00;21,00;82,00;32,00;21,00;10,46;0,00;94,14;18,00;21,00;4,00;4,00;32,00;4,00;4,00
2019-06-02;67,00;158,36;121,82;57,86;134,00;87,39;7,28;87,39;67,00;46,38;72,15;224,19;69,58;91,12;182,24;64,32;40,20;43,00;47,00;23,00;47,00;17,00;50,00;40,00;20,00;13,86;6,93;54,29;0,00;7,00;3,00;7,00;0,00;7,00;0,00
2019-06-09;57,00;147,00;144,00;57,00;123,00;84,77;2,92;80,38;43,85;54,41;80,32;181,36;101,05;64,77;93,27;49,23;38,86;30,00;30,00;50,00;74,00;20,00;50,00;37,00;10,00;17,10;10,26;53,58;13,00;10,00;3,00;0,00;3,00;10,00;0,00
2019-06-16;64,00;164,57;128,00;70,10;97,52;77,09;2,91;46,55;74,18;40,96;112,64;168,96;89,60;45,33;90,67;53,33;48,00;57,00;30,00;37,00;47,00;10,00;68,00;24,00;17,00;10,29;0,00;67,43;7,00;3,00;7,00;14,00;20,00;3,00;7,00
2019-06-23;65,00;151,67;151,67;71,19;176,43;54,66;2,95;51,70;87,16;49,40;93,60;130,00;83,20;62,29;89,38;48,75;27,08;65,00;32,00;47,00;40,00;14,00;65,00;50,00;7,00;3,48;6,96;80,09;7,00;0,00;11,00;4,00;14,00;11,00;7,00
