Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;74,00;88,80;0,00;59,20;29,60;89,00
2019-01-13;75,00;29,41;14,71;75,00;0,00;0,00
2019-01-20;15,00;60,00;0,00;45,00;30,00;59,00
2019-01-27;88,00;58,17;14,92;74,58;0,00;44,00
2019-02-03;30,00;61,50;46,50;0,00;15,00;91,00
2019-02-10;31,00;62,00;14,76;76,76;31,00;31,00
2019-02-17;31,00;0,00;14,76;62,00;0,00;15,00
2019-02-24;61,00;46,12;14,88;122,00;0,00;46,00
2019-03-03;58,00;58,00;29,74;58,00;44,62;29,00
2019-03-10;45,00;30,00;30,00;15,00;15,00;15,00
2019-03-17;31,00;45,76;0,00;62,00;31,00;31,00
2019-03-24;31,00;14,76;45,76;62,00;0,00;15,00
2019-03-31;46,00;75,68;31,16;31,16;0,00;31,00
2019-04-07;14,00;54,60;0,00;95,20;26,60;43,00
2019-04-14;17,00;17,00;0,00;17,00;0,00;0,00
2019-04-21;17,00;0,00;0,00;18,55;18,55;17,00
2019-04-28;59,00;59,00;29,50;14,75;14,75;29,00
2019-05-05;15,00;0,00;0,00;0,00;0,00;30,00
2019-05-12;30,00;76,50;15,00;106,50;0,00;0,00
2019-05-19;30,00;30,00;15,00;61,50;0,00;0,00
2019-05-26;32,00;32,00;16,00;0,00;16,00;16,00
2019-06-02;0,00;31,00;0,00;31,00;0,00;0,00
2019-06-09;15,00;15,00;15,00;46,50;0,00;46,00
2019-06-16;0,00;41,00;0,00;31,00;10,00;15,00
2019-06-23;16,00;16,00;32,00;48,00;16,00;16,00
2019-06-30;48,00;48,00;16,50;16,50;0,00;32,00
2019-07-07;32,00;78,55;32,00;94,55;0,00;32,00
2019-07-14;17,00;32,58;0,00;17,00;17,00;0,00
2019-07-21;19,00;19,00;19,00;73,08;0,00;56,00
2019-07-28;38,00;19,76;19,76;19,76;0,00;19,00
2019-08-04;34,00;103,48;0,00;51,74;17,74;35,00
2019-08-11;47,00;30,84;0,00;30,84;0,00;48,00
2019-08-18;0,00;10,00;0,00;41,00;10,00;0,00
2019-08-25;46,00;60,84;0,00;106,84;0,00;0,00
2019-09-01;15,00;0,00;0,00;58,50;15,00;44,00
2019-09-08;15,00;123,00;0,00;46,50;0,00;30,00
2019-09-15;0,00;61,00;10,00;21,00;10,00;15,00
2019-09-22;15,00;150,00;15,00;60,00;0,00;0,00
2019-09-29;45,00;45,00;0,00;61,50;0,00;76,00
2019-10-06;30,00;106,50;0,00;61,50;0,00;76,00
2019-10-13;15,00;15,00;15,00;30,00;0,00;15,00
2019-10-20;58,00;0,00;0,00;87,74;14,87;29,00
2019-10-27;43,00;43,00;0,00;14,83;14,83;44,00
2019-11-03;71,00;85,79;28,10;14,79;0,00;100,00
2019-11-10;29,00;103,79;15,26;59,53;30,53;29,00
2019-11-17;28,00;42,74;0,00;42,74;28,00;14,00
2019-11-24;98,00;28,21;28,21;41,58;0,00;42,00
2019-12-01;29,00;29,00;14,50;71,05;0,00;29,00
2019-12-08;14,00;26,60;0,00;26,60;26,60;86,00
2019-12-15;29,00;98,60;14,50;71,05;29,00;29,00
2019-12-22;17,00;82,17;0,00;17,00;0,00;34,00
2019-12-29;0,00;33,00;22,00;34,00;34,00;0,00
2020-01-05;28,00;56,00;0,00;84,00;28,00;70,00
2020-01-12;95,00;26,72;13,36;54,92;0,00;41,00
2020-01-19;55,00;55,00;41,62;83,24;13,38;83,00
2020-01-26;14,00;85,56;0,00;71,56;0,00;68,00
2020-02-02;27,00;55,50;13,50;82,50;0,00;82,00
2020-02-09;27,00;69,00;0,00;28,50;0,00;55,00
2020-02-16;28,00;54,53;0,00;82,53;0,00;28,00
2020-02-23;53,00;39,75;13,25;53,00;0,00;53,00
2020-03-01;26,00;50,56;13,00;39,00;26,00;26,00
2020-03-08;50,00;63,24;13,24;75,00;13,24;0,00
2020-03-15;13,00;37,56;0,00;13,00;0,00;39,00
2020-03-22;12,00;12,00;12,00;49,50;0,00;25,00
