Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;70,00;0,00;56,00;0,00;0,00
2019-01-13;14,00;0,00;100,00;0,00;0,00
2019-01-20;42,00;14,00;98,00;0,00;14,00
2019-01-27;28,00;0,00;0,00;0,00;0,00
2019-02-03;57,00;29,00;14,00;0,00;43,00
2019-02-10;29,00;0,00;58,00;15,00;29,00
2019-02-17;29,00;0,00;29,00;0,00;0,00
2019-02-24;72,00;0,00;14,00;0,00;0,00
2019-03-03;41,00;28,00;0,00;0,00;0,00
2019-03-10;85,00;14,00;43,00;0,00;0,00
2019-03-17;88,00;0,00;88,00;0,00;0,00
2019-03-24;58,00;0,00;44,00;15,00;0,00
2019-03-31;43,00;0,00;58,00;0,00;14,00
2019-04-07;27,00;0,00;81,00;0,00;0,00
2019-04-14;48,00;0,00;32,00;0,00;0,00
2019-04-21;32,00;48,00;48,00;0,00;0,00
2019-04-28;42,00;0,00;69,00;0,00;28,00
2019-05-05;28,00;0,00;42,00;0,00;14,00
2019-05-12;71,00;0,00;71,00;14,00;0,00
2019-05-19;14,00;0,00;43,00;0,00;0,00
2019-05-26;31,00;0,00;76,00;0,00;15,00
2019-06-02;14,00;0,00;14,00;0,00;0,00
2019-06-09;29,00;0,00;58,00;14,00;0,00
2019-06-16;14,00;14,00;14,00;0,00;0,00
2019-06-23;0,00;15,00;62,00;0,00;0,00
2019-06-30;15,00;0,00;15,00;0,00;15,00
2019-07-07;15,00;0,00;15,00;0,00;0,00
2019-07-14;48,00;16,00;0,00;0,00;0,00
2019-07-21;35,00;0,00;35,00;0,00;0,00
2019-07-28;18,00;18,00;71,00;0,00;0,00
2019-08-04;49,00;16,00;16,00;0,00;0,00
2019-08-11;15,00;30,00;30,00;0,00;15,00
2019-08-18;29,00;0,00;29,00;0,00;14,00
2019-08-25;14,00;29,00;58,00;14,00;0,00
2019-09-01;41,00;0,00;27,00;0,00;0,00
2019-09-08;43,00;0,00;57,00;0,00;0,00
2019-09-15;14,00;0,00;14,00;0,00;29,00
2019-09-22;14,00;28,00;56,00;0,00;0,00
2019-09-29;14,00;0,00;28,00;0,00;0,00
2019-10-06;43,00;0,00;29,00;14,00;14,00
2019-10-13;28,00;0,00;43,00;0,00;0,00
2019-10-20;14,00;41,00;69,00;0,00;14,00
2019-10-27;27,00;0,00;27,00;14,00;0,00
2019-11-03;67,00;0,00;13,00;0,00;0,00
2019-11-10;27,00;0,00;41,00;14,00;0,00
2019-11-17;13,00;0,00;40,00;0,00;13,00
2019-11-24;40,00;0,00;13,00;0,00;0,00
2019-12-01;14,00;0,00;68,00;0,00;0,00
2019-12-08;54,00;13,00;40,00;0,00;0,00
2019-12-15;68,00;14,00;27,00;27,00;27,00
2019-12-22;32,00;16,00;49,00;0,00;0,00
2019-12-29;78,00;0,00;47,00;0,00;0,00
2020-01-05;26,00;0,00;40,00;13,00;0,00
2020-01-12;13,00;26,00;26,00;0,00;0,00
2020-01-19;39,00;13,00;26,00;0,00;0,00
2020-01-26;39,00;13,00;26,00;0,00;0,00
2020-02-02;0,00;39,00;52,00;13,00;13,00
2020-02-09;65,00;13,00;39,00;0,00;0,00
2020-02-16;52,00;0,00;78,00;0,00;0,00
2020-02-23;50,00;0,00;25,00;0,00;0,00
2020-03-01;12,00;12,00;25,00;0,00;0,00
2020-03-08;0,00;0,00;60,00;12,00;0,00
2020-03-15;12,00;12,00;12,00;0,00;12,00
2020-03-22;23,00;0,00;35,00;0,00;12,00
2020-03-29;12,00;0,00;24,00;0,00;12,00
2020-04-05;52,00;13,00;13,00;0,00;13,00
2020-04-12;0,00;0,00;13,00;0,00;39,00
2020-04-19;24,00;24,00;24,00;12,00;0,00
2020-04-26;23,00;11,00;23,00;11,00;0,00
2020-05-03;24,00;0,00;72,00;24,00;12,00
2020-05-10;12,00;0,00;0,00;24,00;0,00
2020-05-17;78,00;0,00;13,00;0,00;0,00
2020-05-24;50,00;12,00;13,00;13,00;0,00
2020-05-31;12,00;0,00;0,00;0,00;0,00
2020-06-07;36,00;0,00;0,00;12,00;0,00
2020-06-14;36,00;0,00;12,00;0,00;0,00
2020-06-21;39,00;0,00;26,00;0,00;0,00
2020-06-28;51,00;0,00;0,00;0,00;0,00
2020-07-05;27,00;0,00;13,00;0,00;0,00
2020-07-12;14,00;0,00;14,00;0,00;0,00
2020-07-19;28,00;0,00;28,00;0,00;0,00
2020-07-26;0,00;0,00;14,00;14,00;0,00
2020-08-02;41,00;0,00;55,00;14,00;0,00
2020-08-09;0,00;0,00;0,00;0,00;39,00
2020-08-16;13,00;26,00;0,00;0,00;0,00
2020-08-23;0,00;13,00;25,00;0,00;0,00
2020-08-30;38,00;0,00;0,00;0,00;0,00
2020-09-06;38,00;0,00;0,00;0,00;0,00
2020-09-13;26,00;0,00;0,00;0,00;0,00
2020-09-20;38,00;13,00;0,00;13,00;0,00
2020-09-27;79,00;0,00;13,00;0,00;0,00
2020-10-04;13,00;27,00;27,00;0,00;13,00
2020-10-11;27,00;0,00;14,00;0,00;0,00
2020-10-18;27,00;0,00;41,00;0,00;0,00
2020-10-25;26,00;0,00;39,00;0,00;13,00
2020-11-01;37,00;12,00;0,00;0,00;0,00
2020-11-08;53,00;13,00;0,00;0,00;0,00
2020-11-15;13,00;0,00;26,00;0,00;0,00
2020-11-22;51,00;13,00;0,00;13,00;13,00
2020-11-29;26,00;26,00;13,00;13,00;0,00
2020-12-06;0,00;26,00;0,00;0,00;13,00
2020-12-13;26,00;0,00;26,00;0,00;0,00
2020-12-20;15,00;30,00;0,00;0,00;0,00
2020-12-27;15,00;0,00;0,00;0,00;0,00
2021-01-03;0,00;13,00;13,00;13,00;0,00
2021-01-10;26,00;0,00;26,00;0,00;0,00
2021-01-17;13,00;13,00;0,00;13,00;13,00
2021-01-24;38,00;0,00;0,00;13,00;0,00
2021-01-31;76,00;13,00;13,00;13,00;0,00
2021-02-07;39,00;13,00;13,00;0,00;13,00
2021-02-14;13,00;13,00;0,00;0,00;0,00
2021-02-21;54,00;0,00;13,00;0,00;0,00
2021-02-28;52,00;0,00;13,00;0,00;0,00
2021-03-07;26,00;0,00;13,00;13,00;0,00
2021-03-14;24,00;0,00;0,00;0,00;0,00
2021-03-21;40,00;0,00;26,00;13,00;0,00
2021-03-28;14,00;0,00;29,00;0,00;0,00
2021-04-04;41,00;0,00;14,00;14,00;0,00
2021-04-11;13,00;0,00;26,00;26,00;0,00
2021-04-18;27,00;0,00;14,00;14,00;14,00
2021-04-25;26,00;0,00;0,00;0,00;0,00
2021-05-02;13,00;0,00;13,00;0,00;0,00
2021-05-09;53,00;13,00;13,00;0,00;13,00
2021-05-16;51,00;0,00;0,00;13,00;0,00
2021-05-23;14,00;0,00;14,00;0,00;0,00
2021-05-30;27,00;0,00;14,00;0,00;0,00
2021-06-06;26,00;0,00;0,00;0,00;0,00
2021-06-13;0,00;0,00;0,00;0,00;0,00
2021-06-20;53,00;0,00;27,00;0,00;13,00
2021-06-27;67,00;0,00;13,00;13,00;0,00
2021-07-04;70,00;0,00;0,00;14,00;0,00
2021-07-11;85,00;0,00;28,00;0,00;0,00
2021-07-18;31,00;0,00;31,00;0,00;16,00
2021-07-25;46,00;0,00;31,00;31,00;15,00
2021-08-01;31,00;0,00;46,00;0,00;0,00
2021-08-08;77,00;0,00;0,00;0,00;0,00
2021-08-15;72,00;14,00;0,00;14,00;0,00
2021-08-22;75,00;0,00;15,00;0,00;0,00
2021-08-29;58,00;0,00;15,00;0,00;0,00
2021-09-05;15,00;0,00;0,00;0,00;0,00
2021-09-12;29,00;0,00;14,00;14,00;0,00
2021-09-19;29,00;0,00;15,00;0,00;0,00
2021-09-26;86,00;14,00;14,00;0,00;0,00
2021-10-03;0,00;0,00;0,00;0,00;0,00
2021-10-10;45,00;15,00;0,00;0,00;0,00
2021-10-17;15,00;0,00;15,00;0,00;0,00
2021-10-24;29,00;15,00;44,00;0,00;15,00
2021-10-31;14,00;0,00;0,00;0,00;0,00
2021-11-07;48,00;0,00;48,00;0,00;0,00
