Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;39,00;0,00;243,75;134,06;19,50;20,00
2019-01-13;47,00;0,00;153,37;106,37;19,79;13,00
2019-01-20;66,00;0,00;180,23;81,23;7,62;46,00
2019-01-27;39,00;0,00;95,06;75,56;12,19;19,00
2019-02-03;27,00;0,00;125,18;66,27;0,00;7,00
2019-02-10;54,00;0,00;162,00;162,00;0,00;14,00
2019-02-17;82,00;12,42;121,76;82,00;0,00;20,00
2019-02-24;13,00;0,00;132,60;98,80;0,00;40,00
2019-03-03;19,00;0,00;111,63;85,50;0,00;32,00
2019-03-10;46,00;7,26;89,58;65,37;0,00;7,00
2019-03-17;62,00;12,40;205,84;54,56;0,00;14,00
2019-03-24;14,00;0,00;100,80;53,20;0,00;14,00
2019-03-31;40,00;0,00;87,50;60,00;0,00;7,00
2019-04-07;38,00;12,67;162,13;103,87;7,60;13,00
2019-04-14;22,00;7,33;102,67;124,67;7,33;30,00
2019-04-21;30,00;7,50;105,00;105,00;30,00;30,00
2019-04-28;13,00;0,00;62,40;75,40;7,80;39,00
2019-05-05;46,00;7,67;148,22;102,22;7,67;13,00
2019-05-12;46,00;7,26;96,84;70,21;7,26;27,00
2019-05-19;47,00;0,00;47,00;79,16;7,42;20,00
2019-05-26;43,00;7,59;73,35;93,59;0,00;29,00
2019-06-02;27,00;0,00;93,27;100,64;7,36;20,00
2019-06-09;34,00;7,29;53,43;104,43;12,14;13,00
2019-06-16;34,00;0,00;106,86;80,14;7,29;14,00
2019-06-23;14,00;14,00;109,67;39,67;21,00;22,00
2019-06-30;35,00;27,50;120,00;92,50;22,50;21,00
2019-07-07;57,00;14,87;114,00;84,26;14,87;35,00
2019-07-14;23,00;7,67;76,67;102,22;7,67;15,00
2019-07-21;25,00;7,50;172,50;165,00;7,50;16,00
2019-07-28;100,00;25,00;150,00;85,00;17,50;25,00
2019-08-04;46,00;0,00;163,56;102,22;7,67;15,00
2019-08-11;35,00;0,00;147,50;70,00;27,50;28,00
2019-08-18;47,00;7,42;141,00;66,79;12,37;7,00
2019-08-25;40,00;7,50;135,00;130,00;20,00;7,00
2019-09-01;26,00;0,00;228,80;93,60;20,80;13,00
2019-09-08;27,00;0,00;159,55;112,91;19,64;13,00
2019-09-15;40,00;0,00;87,50;95,00;0,00;20,00
2019-09-22;33,00;7,62;147,23;114,23;20,31;26,00
2019-09-29;33,00;7,62;142,15;121,85;12,69;20,00
2019-10-06;74,00;12,33;120,87;59,20;7,40;27,00
2019-10-13;26,00;7,09;139,45;68,55;26,00;46,00
2019-10-20;58,00;20,17;123,57;151,30;12,61;6,00
2019-10-27;58,00;12,61;116,00;136,17;12,61;6,00
2019-11-03;82,00;19,88;131,70;69,58;12,42;13,00
2019-11-10;45,00;0,00;160,00;70,00;0,00;13,00
2019-11-17;57,00;24,78;118,96;101,61;0,00;31,00
2019-11-24;37,00;0,00;152,93;78,93;12,33;6,00
2019-12-01;19,00;11,88;128,25;42,75;11,88;19,00
2019-12-08;25,00;7,50;132,50;70,00;7,50;6,00
2019-12-15;32,00;12,31;132,92;113,23;12,31;13,00
2019-12-22;68,00;0,00;93,19;93,19;22,67;0,00
2019-12-29;66,00;0,00;187,85;119,31;22,85;29,00
2020-01-05;87,00;4,97;191,40;87,00;29,83;25,00
2020-01-12;48,00;5,05;103,58;133,89;25,26;6,00
