Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;19,00;399,00;3,17;3,17;25,33;48,36;19,00;32,82;91,55;72,44;13,06;17,81;23,75;23,22;4,22;4,22;2,11;6,00;3,00;1,00;4,00;7,00;3,00;6,00;3,00;1,00;0,00;0,00;0,00;1,00;3,00;1,00;0,00;4,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;29,00;324,80;2,90;2,90;23,20;32,22;20,94;16,11;77,33;60,32;9,28;19,72;40,60;38,32;7,25;4,14;0,00;1,00;3,00;6,00;1,00;12,00;3,00;19,00;3,00;0,00;6,00;0,00;1,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;25,00;285,00;5,00;2,50;30,00;45,00;15,00;11,67;85,00;63,10;10,71;27,38;35,71;30,21;8,33;4,17;3,13;5,00;2,00;0,00;2,00;6,00;2,00;8,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;23,00;327,75;11,50;5,75;17,25;41,07;18,07;14,79;64,07;66,58;4,84;16,95;29,05;27,18;18,82;2,09;6,27;3,00;2,00;5,00;2,00;6,00;2,00;6,00;6,00;0,00;0,00;1,00;0,00;3,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-02-03;18,00;324,00;6,00;6,00;36,00;36,00;16,36;13,09;60,55;40,80;14,40;24,00;24,00;20,12;22,24;5,29;1,06;2,00;2,00;3,00;0,00;13,00;4,00;10,00;3,00;0,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;25,00;337,50;6,25;3,13;31,25;36,67;25,00;15,00;78,33;45,24;4,76;27,38;23,81;19,79;11,46;4,17;3,13;1,00;2,00;3,00;1,00;8,00;6,00;17,00;2,00;0,00;0,00;0,00;2,00;1,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;26,00;254,80;5,20;5,20;20,80;39,00;16,25;16,25;61,75;46,09;10,64;20,09;22,45;22,88;8,32;2,08;1,04;3,00;1,00;4,00;1,00;8,00;4,00;9,00;4,00;0,00;0,00;1,00;0,00;4,00;0,00;1,00;0,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;285,00;10,00;2,50;20,00;36,67;20,00;15,00;58,33;57,65;3,53;22,35;23,53;26,32;9,47;7,37;2,11;5,00;3,00;1,00;1,00;6,00;1,00;8,00;2,00;0,00;2,00;0,00;0,00;2,00;2,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;28,00;358,40;5,60;2,80;22,40;42,82;21,41;13,18;57,65;52,35;6,09;21,91;32,87;20,46;20,46;5,38;1,08;1,00;3,00;5,00;2,00;10,00;4,00;19,00;3,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;39,00;323,14;5,57;2,79;16,71;35,61;15,26;11,87;69,52;47,27;5,91;24,82;40,18;29,51;8,43;4,22;1,05;1,00;0,00;6,00;3,00;12,00;6,00;12,00;6,00;0,00;0,00;0,00;0,00;1,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-03-17;26,00;322,40;5,20;2,60;20,80;32,50;14,63;13,00;63,38;50,82;9,45;23,64;30,73;21,67;10,83;4,33;1,08;5,00;2,00;3,00;1,00;9,00;8,00;9,00;2,00;1,00;1,00;0,00;1,00;2,00;1,00;0,00;0,00;3,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;31,00;315,17;5,17;2,58;25,83;44,05;17,95;17,95;75,05;52,46;5,96;19,08;35,77;39,27;10,33;3,10;1,03;3,00;3,00;3,00;1,00;8,00;6,00;6,00;2,00;0,00;1,00;0,00;0,00;3,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;28,00;319,20;5,60;5,60;22,40;56,00;19,76;19,76;82,35;42,00;12,83;30,33;16,33;28,00;6,22;5,19;1,04;3,00;0,00;4,00;0,00;11,00;3,00;23,00;5,00;0,00;1,00;0,00;1,00;3,00;0,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;39,00;339,86;5,57;5,57;22,29;52,57;16,96;20,35;79,70;55,55;7,09;24,82;23,64;25,30;9,49;6,32;0,00;3,00;2,00;5,00;1,00;18,00;4,00;11,00;3,00;0,00;1,00;1,00;0,00;3,00;0,00;1,00;1,00;4,00;0,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00
