Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;57,00;57,00;28,50;0,00;912,00;19,00;38,00;1900,00;19,00;7,13;7,13;520,13;163,88;731,50;9,50;38,00;950,00;0,00;0,00;155,17;0,00;0,00;0,00;152,86;31,09;0,00;8,00;0,00;24,00;23,47;0,00;241,41;0,00;197,31;0,00;179,77;0,00;24,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;41,00;20,50;20,50;20,50;492,00;10,25;0,00;1599,00;0,00;6,83;13,67;416,83;109,33;430,50;10,25;30,75;471,50;9,46;15,77;138,77;9,46;7,69;0,00;256,25;56,38;0,00;24,00;0,00;16,00;0,00;6,83;187,92;0,00;88,47;0,00;209,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;56,00;28,00;28,00;0,00;420,00;0,00;0,00;616,00;9,33;14,00;7,00;245,00;147,00;345,33;9,33;9,33;317,33;0,00;15,56;192,89;9,33;0,00;22,91;117,09;22,91;0,00;8,00;0,00;0,00;0,00;0,00;200,94;0,00;150,77;0,00;38,77;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;32,00;32,00;0,00;16,00;544,00;16,00;8,00;528,00;32,00;24,00;0,00;208,00;152,00;200,00;8,00;24,00;296,00;0,00;0,00;89,60;0,00;0,00;0,00;98,67;8,00;0,00;0,00;0,00;16,00;0,00;6,40;195,20;0,00;108,80;0,00;78,93;0,00;16,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;58,00;29,00;0,00;29,00;435,00;19,33;9,67;676,67;0,00;7,25;7,25;203,00;108,75;290,00;9,67;19,33;512,33;0,00;0,00;122,11;0,00;7,91;0,00;134,45;7,91;0,00;0,00;0,00;8,00;9,67;9,67;203,00;0,00;73,04;0,00;81,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;17,00;8,50;17,00;0,00;204,00;8,50;8,50;459,00;0,00;8,50;8,50;314,50;119,00;195,50;0,00;34,00;391,00;27,20;0,00;125,80;0,00;8,50;8,50;116,17;8,50;0,00;8,00;0,00;17,00;0,00;10,20;197,20;0,00;138,13;0,00;80,75;8,00;17,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;33,00;33,00;33,00;16,50;462,00;0,00;16,50;478,50;0,00;0,00;0,00;217,80;132,00;288,75;0,00;8,25;231,00;9,00;9,00;144,00;9,00;0,00;7,62;48,23;7,62;8,00;0,00;0,00;0,00;0,00;0,00;168,30;0,00;92,40;0,00;68,20;0,00;8,00;8,00;0,00;0,00;0,00;0,00
2019-02-24;26,00;26,00;26,00;13,00;312,00;13,00;0,00;572,00;0,00;6,50;0,00;188,50;149,50;225,33;0,00;17,33;277,33;0,00;0,00;133,25;0,00;7,80;0,00;67,60;0,00;0,00;9,00;0,00;0,00;0,00;0,00;94,25;0,00;84,50;0,00;43,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;58,00;58,00;58,00;29,00;435,00;9,67;9,67;502,67;38,67;0,00;21,75;174,00;145,00;222,33;0,00;48,33;299,67;9,16;9,16;112,95;0,00;7,91;7,91;100,18;15,82;0,00;0,00;0,00;8,00;9,67;0,00;138,56;0,00;73,04;0,00;40,81;0,00;33,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;49,00;24,50;49,00;0,00;465,50;0,00;0,00;408,33;16,33;14,00;14,00;273,00;112,00;284,20;9,80;39,20;352,80;9,19;15,31;79,63;0,00;0,00;7,74;105,74;33,53;0,00;8,00;0,00;16,00;16,33;0,00;173,13;0,00;78,83;0,00;46,87;0,00;8,00;8,00;0,00;0,00;0,00;0,00
