Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;19,00;167,20;197,60;155,80;163,40;141,44;2,11;73,89;122,44;163,40;53,20;129,20;76,00;120,33;145,67;44,33;57,00;89,06;3,56;12,00;38,00;26,00;7,00;13,00;2,00;8,00;7,00;0,00;0,00;2,00;0,00;0,00
2019-01-13;29,00;174,00;210,25;152,25;177,63;108,27;3,87;73,47;106,33;178,14;62,14;132,57;75,40;121,80;121,80;46,40;53,17;71,29;13,29;11,00;42,00;35,00;8,00;10,00;1,00;7,00;4,00;4,00;0,00;4,00;0,00;1,00
2019-01-20;25,00;128,57;182,14;125,00;153,57;105,77;0,96;67,31;88,46;150,00;58,33;129,17;68,75;118,75;143,75;68,75;47,62;82,14;9,52;12,00;29,00;28,00;5,00;6,00;4,00;4,00;1,00;6,00;3,00;5,00;1,00;1,00
2019-01-27;23,00;164,83;199,33;157,17;126,50;78,58;0,96;76,67;103,50;161,00;69,00;126,50;69,00;115,00;138,00;51,75;50,84;77,47;7,26;21,00;43,00;24,00;4,00;11,00;1,00;5,00;8,00;5,00;1,00;5,00;1,00;0,00
2019-02-03;18,00;144,00;183,60;165,60;118,80;78,00;2,00;76,00;116,00;180,00;58,50;139,50;66,00;156,00;150,00;54,00;55,20;55,20;7,20;11,00;33,00;25,00;5,00;7,00;1,00;3,00;6,00;1,00;0,00;9,00;0,00;0,00
2019-02-10;25,00;162,50;204,17;183,33;112,50;91,67;1,04;85,42;129,17;166,67;75,00;137,50;81,25;137,50;106,25;68,75;65,48;85,71;7,14;9,00;43,00;33,00;9,00;11,00;5,00;2,00;5,00;3,00;2,00;9,00;0,00;0,00
2019-02-17;26,00;170,86;200,57;159,71;133,71;74,00;2,00;78,00;134,00;186,33;69,33;143,00;62,40;109,20;104,00;72,80;54,36;80,36;3,55;10,00;31,00;19,00;6,00;6,00;1,00;3,00;6,00;3,00;2,00;11,00;1,00;0,00
2019-02-24;20,00;172,00;208,00;208,00;128,00;80,00;2,00;94,00;120,00;216,00;68,00;144,00;70,00;120,00;110,00;60,00;63,53;89,41;8,24;12,00;30,00;35,00;8,00;14,00;1,00;6,00;4,00;5,00;3,00;9,00;1,00;0,00
2019-03-03;28,00;180,00;204,00;184,00;160,00;82,00;4,00;82,00;104,00;224,00;64,00;140,00;89,60;140,00;140,00;78,40;54,78;80,35;7,30;13,00;33,00;30,00;12,00;22,00;1,00;8,00;4,00;5,00;5,00;7,00;1,00;2,00
2019-03-10;39,00;191,10;198,90;175,50;128,70;98,53;2,05;90,32;139,58;199,33;95,33;151,67;83,57;133,71;117,00;61,29;62,16;74,34;4,88;18,00;38,00;24,00;11,00;17,00;2,00;7,00;2,00;1,00;3,00;5,00;1,00;2,00
2019-03-17;26,00;204,29;196,86;189,43;130,00;86,00;4,00;76,00;136,00;238,33;69,33;151,67;78,00;140,40;104,00;62,40;57,91;98,09;9,45;13,00;31,00;21,00;6,00;7,00;3,00;2,00;7,00;4,00;2,00;6,00;2,00;3,00
2019-03-24;31,00;166,63;189,88;217,00;139,50;87,19;0,97;79,44;155,00;193,75;65,88;131,75;77,50;129,17;129,17;82,67;46,50;70,35;5,96;12,00;27,00;32,00;7,00;11,00;6,00;5,00;5,00;2,00;0,00;6,00;2,00;1,00
2019-03-31;28,00;180,00;188,00;180,00;208,00;118,00;0,00;72,00;130,00;216,00;60,00;188,00;78,40;123,20;145,60;72,80;52,50;78,17;9,33;14,00;27,00;21,00;6,00;9,00;2,00;5,00;3,00;2,00;2,00;10,00;0,00;1,00
2019-04-07;39,00;210,60;218,40;218,40;226,20;113,10;1,95;97,50;195,00;277,33;95,33;190,67;83,57;150,43;150,43;78,00;54,84;67,03;17,06;14,00;40,00;30,00;8,00;14,00;5,00;6,00;6,00;1,00;2,00;3,00;1,00;1,00
2019-04-14;49,00;376,92;203,54;233,69;214,85;121,52;3,92;78,40;158,76;265,42;93,92;142,92;92,56;201,44;163,33;103,44;66,93;69,32;13,15;11,00;50,00;21,00;9,00;15,00;2,00;8,00;4,00;5,00;3,00;9,00;1,00;0,00
2019-04-21;51,00;204,00;192,23;188,31;215,77;125,54;0,00;72,58;92,19;229,50;68,00;144,50;96,33;158,67;113,33;96,33;45,07;71,16;4,74;18,00;33,00;31,00;8,00;17,00;0,00;7,00;1,00;3,00;1,00;8,00;1,00;1,00
2019-04-28;45,00;153,75;187,50;153,75;213,75;131,09;3,91;72,39;109,57;245,45;81,82;143,18;78,75;168,75;135,00;73,13;55,66;76,97;3,55;11,00;45,00;29,00;9,00;13,00;3,00;5,00;4,00;1,00;1,00;6,00;0,00;0,00
2019-05-05;31,00;186,00;182,13;151,13;232,50;127,88;0,97;85,25;114,31;197,63;65,88;151,13;77,50;165,33;118,83;56,83;66,77;78,69;13,12;15,00;53,00;34,00;16,00;17,00;4,00;2,00;5,00;3,00;3,00;7,00;0,00;2,00
2019-05-12;43,00;199,36;183,73;164,18;195,45;119,23;3,91;78,18;127,05;206,40;73,10;154,80;107,50;177,38;118,25;69,88;63,31;71,67;8,36;11,00;34,00;24,00;10,00;8,00;2,00;12,00;9,00;3,00;2,00;9,00;0,00;2,00
2019-05-19;39,00;202,80;167,70;171,60;183,30;123,16;4,11;75,95;100,58;225,33;69,33;121,33;78,00;178,29;144,86;61,29;58,50;68,25;9,75;12,00;38,00;30,00;11,00;19,00;4,00;7,00;3,00;5,00;3,00;10,00;0,00;0,00
2019-05-26;36,00;184,00;216,00;192,00;188,00;122,00;1,00;94,00;122,00;220,00;72,00;140,00;222,00;198,00;156,00;108,00;48,00;66,00;7,20;16,00;40,00;24,00;9,00;12,00;2,00;10,00;6,00;4,00;2,00;16,00;4,00;1,00
2019-06-02;41,00;205,00;186,36;145,36;197,55;119,10;3,90;78,10;113,24;233,70;73,80;143,50;111,29;369,00;146,43;82,00;50,37;69,11;11,71;17,00;51,00;32,00;7,00;13,00;5,00;9,00;6,00;5,00;2,00;11,00;2,00;1,00
2019-06-09;48,00;192,00;180,92;184,62;203,08;136,00;4,00;80,00;118,00;232,00;68,00;116,00;96,00;181,33;144,00;80,00;61,20;84,00;2,40;15,00;46,00;31,00;14,00;10,00;2,00;5,00;3,00;9,00;4,00;14,00;0,00;3,00
2019-06-16;31,00;197,63;182,13;162,75;189,88;98,81;3,88;77,50;98,81;259,63;69,75;124,00;82,67;165,33;155,00;87,83;51,27;87,04;7,15;11,00;63,00;54,00;16,00;14,00;4,00;10,00;11,00;2,00;2,00;6,00;3,00;2,00
2019-06-23;48,00;155,08;151,38;166,15;203,08;104,00;0,00;70,00;96,00;184,00;76,00;224,00;90,67;144,00;117,33;53,33;51,51;80,78;8,20;24,00;49,00;26,00;14,00;9,00;4,00;5,00;8,00;1,00;2,00;5,00;0,00;1,00
2019-06-30;39,00;175,50;210,60;179,40;183,30;89,70;0,98;72,15;89,70;195,00;69,33;151,67;100,29;167,14;128,14;72,43;58,50;80,44;12,19;27,00;39,00;31,00;8,00;10,00;1,00;9,00;9,00;2,00;4,00;13,00;2,00;2,00
2019-07-07;47,00;188,00;199,75;191,92;231,08;115,54;1,96;72,46;103,79;260,64;72,64;132,45;78,33;188,00;135,78;78,33;68,15;70,50;15,28;20,00;48,00;39,00;9,00;8,00;5,00;7,00;9,00;4,00;5,00;7,00;1,00;3,00
2019-07-14;47,00;215,42;188,00;211,50;231,08;117,50;1,96;68,54;97,92;246,75;70,50;152,75;94,00;161,89;135,78;88,78;76,38;75,20;9,40;15,00;60,00;35,00;16,00;11,00;2,00;3,00;6,00;5,00;4,00;3,00;4,00;0,00
2019-07-21;42,00;183,27;202,36;213,82;229,09;122,00;4,00;72,00;102,00;239,40;46,20;151,20;89,25;173,25;131,25;99,75;66,00;82,80;8,40;16,00;43,00;31,00;15,00;5,00;2,00;9,00;4,00;1,00;4,00;10,00;0,00;1,00
2019-07-28;42,00;206,18;175,64;210,00;183,27;128,00;4,00;70,00;96,00;231,00;54,60;147,00;99,75;157,50;131,25;73,50;38,50;59,50;9,33;13,00;50,00;34,00;11,00;15,00;5,00;5,00;10,00;2,00;5,00;8,00;0,00;2,00
2019-08-04;43,00;195,45;179,82;199,36;207,18;107,50;7,82;62,55;95,77;223,60;60,20;146,20;102,13;166,63;150,50;102,13;48,97;72,86;3,58;18,00;37,00;33,00;15,00;10,00;5,00;2,00;4,00;3,00;2,00;8,00;0,00;0,00
2019-08-11;34,00;185,11;185,11;211,56;230,44;122,00;2,00;52,00;116,00;272,00;68,00;157,25;102,00;192,67;164,33;85,00;69,21;68,00;7,29;22,00;37,00;32,00;12,00;14,00;1,00;9,00;5,00;0,00;2,00;12,00;3,00;3,00
