Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;31,00;45,88;6,20;91,76;12,40;59,00
2019-01-13;47,00;21,59;6,35;71,14;12,70;84,00
2019-01-20;28,00;36,91;2,55;82,73;8,91;61,00
2019-01-27;22,00;28,47;12,94;75,06;18,12;80,00
2019-02-03;41,00;55,91;6,21;99,39;2,48;54,00
2019-02-10;25,00;60,00;8,75;100,00;8,75;47,00
2019-02-17;16,00;52,92;12,31;65,23;6,15;54,00
2019-02-24;7,00;58,80;18,20;91,00;14,00;76,00
2019-03-03;38,00;38,00;15,20;76,00;6,33;38,00
2019-03-10;13,00;35,10;28,60;70,20;19,50;81,00
2019-03-17;26,00;32,19;28,48;44,57;16,10;39,00
2019-03-24;10,00;32,50;10,00;63,75;16,25;55,00
2019-03-31;16,00;32,00;3,69;60,31;9,85;42,00
2019-04-07;0,00;15,00;3,00;41,00;8,00;74,00
2019-04-14;18,00;18,00;0,00;50,14;7,71;42,00
2019-04-21;17,00;24,85;3,92;62,77;6,54;41,00
2019-04-28;25,00;47,50;10,00;56,25;15,00;38,00
2019-05-05;9,00;28,29;0,00;82,29;6,43;41,00
2019-05-12;16,00;22,15;3,69;84,92;3,69;49,00
2019-05-19;13,00;13,00;6,50;62,40;3,90;29,00
2019-05-26;10,00;16,25;10,00;36,25;10,00;40,00
2019-06-02;16,00;46,77;16,00;46,77;0,00;73,00
2019-06-09;10,00;22,50;3,75;67,50;6,25;49,00
2019-06-16;30,00;20,00;12,50;88,75;10,00;56,00
2019-06-23;26,00;12,38;0,00;66,86;0,00;59,00
2019-06-30;29,00;29,00;10,09;60,52;3,78;39,00
2019-07-07;26,00;32,50;16,90;62,40;0,00;38,00
2019-07-14;17,00;17,00;0,00;92,85;3,92;40,00
2019-07-21;17,00;30,36;9,71;103,21;6,07;66,00
2019-07-28;17,00;10,46;0,00;62,77;10,46;74,00
2019-08-04;21,00;31,50;3,94;77,44;10,50;99,00
2019-08-11;16,00;28,31;0,00;64,00;9,85;69,00
2019-08-18;37,00;40,83;0,00;74,00;6,38;66,00
2019-08-25;13,00;27,30;6,50;80,60;3,90;52,00
2019-09-01;10,00;16,25;6,25;75,00;6,25;83,00
2019-09-08;10,00;28,75;6,25;68,75;6,25;64,00
2019-09-15;10,00;28,75;3,75;50,00;6,25;61,00
2019-09-22;22,00;22,00;6,47;60,82;9,06;41,00
2019-09-29;38,00;19,00;2,53;78,53;15,20;60,00
2019-10-06;38,00;65,87;6,33;78,53;21,53;53,00
2019-10-13;25,00;27,50;8,75;81,25;18,75;50,00
2019-10-20;12,00;31,20;0,00;66,00;14,40;54,00
2019-10-27;9,00;27,00;9,00;57,86;11,57;60,00
2019-11-03;15,00;28,75;15,00;70,00;20,00;94,00
2019-11-10;30,00;35,00;6,25;56,25;2,50;99,00
2019-11-17;18,00;24,43;11,57;63,00;11,57;86,00
2019-11-24;12,00;42,67;6,67;57,33;2,67;66,00
2019-12-01;12,00;34,67;2,67;69,33;16,00;51,00
2019-12-08;21,00;24,94;6,56;86,63;24,94;48,00
2019-12-15;12,00;28,80;6,00;66,00;2,40;84,00
2019-12-22;25,00;47,37;3,95;82,89;6,58;98,00
2019-12-29;16,00;9,85;0,00;75,08;9,85;83,00
2020-01-05;23,00;31,94;0,00;104,78;17,89;72,00
