Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;33,00;0,00;10,00;2,00;3,00
2019-01-13;13,00;3,00;16,00;3,00;3,00
2019-01-20;10,00;2,00;16,00;0,00;2,00
2019-01-27;14,00;0,00;13,00;2,00;2,00
2019-02-03;10,00;2,00;16,00;0,00;2,00
2019-02-10;10,00;3,00;18,00;2,00;5,00
2019-02-17;32,00;2,00;8,00;0,00;5,00
2019-02-24;19,00;2,00;15,00;5,00;5,00
2019-03-03;5,00;2,00;20,00;2,00;2,00
2019-03-10;13,00;5,00;16,00;2,00;0,00
2019-03-17;21,00;3,00;21,00;5,00;3,00
2019-03-24;3,00;5,00;15,00;2,00;3,00
2019-03-31;12,00;0,00;8,00;0,00;2,00
2019-04-07;13,00;3,00;8,00;0,00;3,00
2019-04-14;13,00;0,00;20,00;0,00;2,00
2019-04-21;12,00;4,00;12,00;0,00;0,00
2019-04-28;17,00;0,00;13,00;0,00;3,00
2019-05-05;11,00;0,00;13,00;2,00;5,00
2019-05-12;12,00;0,00;10,00;0,00;0,00
2019-05-19;20,00;2,00;17,00;2,00;0,00
2019-05-26;16,00;2,00;9,00;3,00;5,00
2019-06-02;7,00;3,00;15,00;2,00;2,00
2019-06-09;15,00;2,00;17,00;2,00;2,00
2019-06-16;10,00;3,00;14,00;0,00;2,00
2019-06-23;19,00;3,00;9,00;0,00;2,00
2019-06-30;19,00;7,00;17,00;0,00;10,00
2019-07-07;12,00;3,00;15,00;5,00;0,00
2019-07-14;11,00;4,00;19,00;0,00;2,00
2019-07-21;13,00;4,00;9,00;0,00;7,00
2019-07-28;7,00;4,00;12,00;5,00;3,00
2019-08-04;11,00;2,00;18,00;2,00;2,00
2019-08-11;12,00;0,00;19,00;2,00;2,00
2019-08-18;19,00;2,00;21,00;2,00;0,00
2019-08-25;17,00;2,00;12,00;5,00;3,00
2019-09-01;5,00;2,00;20,00;5,00;2,00
2019-09-08;10,00;3,00;13,00;2,00;0,00
2019-09-15;10,00;5,00;17,00;2,00;0,00
2019-09-22;28,00;2,00;16,00;3,00;3,00
2019-09-29;15,00;0,00;15,00;3,00;2,00
2019-10-06;21,00;0,00;11,00;0,00;0,00
2019-10-13;10,00;3,00;18,00;5,00;3,00
2019-10-20;6,00;5,00;22,00;2,00;2,00
2019-10-27;8,00;3,00;11,00;2,00;3,00
2019-11-03;2,00;2,00;5,00;2,00;2,00
2019-11-10;9,00;3,00;11,00;0,00;2,00
2019-11-17;6,00;2,00;23,00;3,00;0,00
2019-11-24;6,00;0,00;9,00;0,00;3,00
2019-12-01;8,00;3,00;16,00;2,00;0,00
2019-12-08;11,00;8,00;12,00;3,00;0,00
2019-12-15;11,00;3,00;11,00;0,00;0,00
2019-12-22;15,00;5,00;7,00;4,00;4,00
2019-12-29;20,00;3,00;23,00;0,00;0,00
2020-01-05;6,00;2,00;19,00;3,00;7,00
2020-01-12;14,00;9,00;20,00;1,00;6,00
2020-01-19;9,00;3,00;24,00;4,00;3,00
2020-01-26;13,00;1,00;13,00;1,00;0,00
2020-02-02;10,00;0,00;16,00;3,00;1,00
2020-02-09;7,00;3,00;23,00;0,00;1,00
2020-02-16;21,00;0,00;22,00;1,00;0,00
2020-02-23;9,00;1,00;12,00;4,00;1,00
2020-03-01;6,00;3,00;7,00;3,00;1,00
2020-03-08;7,00;1,00;7,00;1,00;1,00
