Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;65,00;2,95;289,55;218,64;2,95;32,00
2019-01-13;49,00;6,13;220,50;238,88;0,00;42,00
2019-01-20;64,00;0,00;180,36;162,91;0,00;23,00
2019-01-27;41,00;11,71;169,86;234,29;0,00;23,00
2019-02-03;57,00;2,85;153,90;148,20;2,85;19,00
2019-02-10;24,00;6,00;162,00;168,00;0,00;16,00
2019-02-17;43,00;6,14;159,71;294,86;0,00;26,00
2019-02-24;44,00;12,57;138,29;188,57;0,00;22,00
2019-03-03;50,00;3,13;206,25;131,25;0,00;31,00
2019-03-10;42,00;3,00;174,00;162,00;0,00;16,00
2019-03-17;27,00;2,70;124,20;135,00;5,40;20,00
2019-03-24;34,00;11,33;119,00;153,00;0,00;19,00
2019-03-31;29,00;5,80;127,60;110,20;0,00;17,00
2019-04-07;60,00;3,00;126,00;126,00;0,00;12,00
2019-04-14;100,00;0,00;111,76;135,29;0,00;34,00
2019-04-21;51,00;2,83;130,33;119,00;0,00;20,00
2019-04-28;40,00;2,86;125,71;165,71;0,00;17,00
2019-05-05;44,00;6,29;144,57;106,86;0,00;9,00
2019-05-12;41,00;11,71;146,43;169,86;0,00;24,00
2019-05-19;38,00;3,17;139,33;126,67;0,00;14,00
2019-05-26;42,00;3,00;132,00;132,00;0,00;10,00
2019-06-02;26,00;3,25;136,50;130,00;0,00;17,00
2019-06-09;49,00;3,06;153,13;147,00;3,06;15,00
2019-06-16;40,00;2,86;131,43;125,71;0,00;12,00
2019-06-23;32,00;3,20;134,40;121,60;0,00;37,00
2019-06-30;48,00;6,00;138,00;156,00;3,00;26,00
2019-07-07;41,00;5,86;169,86;140,57;2,93;43,00
2019-07-14;38,00;6,33;152,00;215,33;3,17;12,00
2019-07-21;55,00;0,00;140,56;140,56;3,06;18,00
2019-07-28;55,00;3,06;146,67;177,22;3,06;3,00
2019-08-04;51,00;2,83;153,00;192,67;0,00;18,00
2019-08-11;39,00;5,57;122,57;161,57;0,00;29,00
2019-08-18;42,00;6,00;156,00;234,00;0,00;22,00
2019-08-25;54,00;3,00;144,00;462,00;0,00;12,00
2019-09-01;36,00;3,00;132,00;174,00;0,00;24,00
2019-09-08;43,00;0,00;135,14;165,86;0,00;24,00
2019-09-15;43,00;6,14;141,29;178,14;3,07;24,00
2019-09-22;47,00;5,88;141,00;141,00;2,94;16,00
2019-09-29;45,00;5,63;95,63;151,88;0,00;12,00
2019-10-06;56,00;6,22;136,89;155,56;0,00;12,00
2019-10-13;38,00;6,33;177,33;171,00;3,17;33,00
2019-10-20;50,00;12,50;150,00;156,25;0,00;13,00
2019-10-27;59,00;0,00;153,40;135,70;0,00;16,00
2019-11-03;57,00;2,85;148,20;136,80;0,00;13,00
2019-11-10;63,00;2,86;154,64;143,18;0,00;20,00
2019-11-17;64,00;5,82;162,91;174,55;0,00;24,00
2019-11-24;43,00;3,07;147,43;147,43;0,00;32,00
2019-12-01;29,00;5,80;110,20;121,80;0,00;11,00
2019-12-08;40,00;5,71;137,14;114,29;0,00;29,00
2019-12-15;34,00;5,67;124,67;153,00;0,00;22,00
2019-12-22;60,00;0,00;216,00;198,00;0,00;18,00
2019-12-29;67,00;3,05;286,27;231,45;0,00;24,00
2020-01-05;73,00;3,04;237,25;219,00;0,00;13,00
2020-01-12;39,00;2,79;189,43;195,00;0,00;25,00
2020-01-19;81,00;5,79;179,36;173,57;2,89;30,00
2020-01-26;41,00;17,57;216,71;187,43;0,00;30,00
2020-02-02;48,00;12,00;210,00;162,00;0,00;23,00
2020-02-09;41,00;5,86;199,14;193,29;0,00;12,00
2020-02-16;41,00;5,86;117,14;281,14;0,00;21,00
2020-02-23;37,00;6,17;141,83;203,50;0,00;12,00
2020-03-01;62,00;12,40;111,60;204,60;3,10;16,00
2020-03-08;42,00;6,00;114,00;168,00;0,00;20,00
2020-03-15;25,00;6,25;75,00;100,00;0,00;13,00
2020-03-22;23,00;5,75;34,50;69,00;2,88;11,00
2020-03-29;27,00;5,40;32,40;64,80;2,70;13,00
2020-04-05;23,00;2,88;34,50;80,50;0,00;10,00
2020-04-12;38,00;6,33;38,00;82,33;0,00;18,00
2020-04-19;25,00;12,50;31,25;56,25;0,00;10,00
2020-04-26;17,00;5,67;22,67;34,00;0,00;4,00
2020-05-03;21,00;10,50;21,00;47,25;2,63;13,00
2020-05-10;55,00;6,11;30,56;55,00;0,00;16,00
2020-05-17;37,00;12,33;43,17;61,67;0,00;16,00
2020-05-24;28,00;5,60;50,40;39,20;0,00;6,00
2020-05-31;15,00;2,50;45,00;70,00;0,00;14,00
2020-06-07;23,00;5,75;46,00;57,50;0,00;8,00
2020-06-14;29,00;0,00;52,20;69,60;0,00;6,00
2020-06-21;27,00;10,80;43,20;43,20;0,00;4,00
2020-06-28;22,00;2,75;33,00;55,00;0,00;4,00
2020-07-05;21,00;5,25;31,50;42,00;0,00;21,00
2020-07-12;32,00;0,00;51,20;76,80;0,00;17,00
2020-07-19;7,00;0,00;56,00;77,00;0,00;7,00
2020-07-26;20,00;6,67;46,67;66,67;0,00;7,00
2020-08-02;11,00;5,50;55,00;44,00;2,75;13,00
2020-08-09;43,00;6,14;73,71;79,86;0,00;11,00
2020-08-16;28,00;5,60;61,60;72,80;0,00;4,00
2020-08-23;50,00;0,00;25,00;62,50;0,00;9,00
2020-08-30;24,00;6,00;36,00;72,00;3,00;17,00
2020-09-06;41,00;5,86;29,29;52,71;0,00;2,00
2020-09-13;33,00;0,00;19,80;79,20;0,00;9,00
2020-09-20;23,00;11,50;34,50;40,25;0,00;15,00
2020-09-27;13,00;0,00;45,50;143,00;3,25;2,00
2020-10-04;19,00;6,33;25,33;101,33;0,00;21,00
