Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;0,00;40,00;0,00
2019-01-13;0,00;80,00;0,00
2019-01-20;0,00;20,00;0,00
2019-01-27;0,00;0,00;0,00
2019-02-03;0,00;61,00;20,00
2019-02-10;0,00;0,00;0,00
2019-02-17;20,00;0,00;20,00
2019-02-24;21,00;42,00;0,00
2019-03-03;40,00;61,00;0,00
2019-03-10;0,00;100,00;0,00
2019-03-17;21,00;63,00;0,00
2019-03-24;0,00;62,00;0,00
2019-03-31;21,00;63,00;0,00
2019-04-07;0,00;21,00;0,00
2019-04-14;45,00;0,00;0,00
2019-04-21;22,00;22,00;0,00
2019-04-28;20,00;20,00;20,00
2019-05-05;20,00;40,00;0,00
2019-05-12;21,00;21,00;0,00
2019-05-19;0,00;41,00;0,00
2019-05-26;21,00;42,00;0,00
2019-06-02;0,00;0,00;0,00
2019-06-09;21,00;42,00;0,00
2019-06-16;0,00;21,00;0,00
2019-06-23;0,00;21,00;0,00
2019-06-30;21,00;21,00;0,00
2019-07-07;20,00;0,00;0,00
2019-07-14;0,00;64,00;0,00
2019-07-21;0,00;0,00;0,00
2019-07-28;43,00;21,00;0,00
2019-08-04;44,00;0,00;0,00
2019-08-11;0,00;42,00;0,00
2019-08-18;21,00;43,00;0,00
2019-08-25;21,00;0,00;21,00
2019-09-01;0,00;41,00;20,00
2019-09-08;0,00;0,00;0,00
2019-09-15;20,00;20,00;0,00
2019-09-22;0,00;40,00;20,00
2019-09-29;0,00;0,00;0,00
2019-10-06;0,00;20,00;0,00
2019-10-13;0,00;0,00;0,00
2019-10-20;19,00;0,00;0,00
2019-10-27;19,00;39,00;0,00
2019-11-03;19,00;0,00;0,00
2019-11-10;0,00;38,00;0,00
2019-11-17;19,00;0,00;0,00
2019-11-24;0,00;18,00;0,00
2019-12-01;0,00;0,00;0,00
2019-12-08;19,00;19,00;0,00
2019-12-15;0,00;39,00;0,00
2019-12-22;22,00;0,00;45,00
2019-12-29;41,00;21,00;0,00
2020-01-05;18,00;37,00;0,00
2020-01-12;53,00;70,00;0,00
2020-01-19;18,00;54,00;0,00
2020-01-26;0,00;18,00;18,00
2020-02-02;0,00;18,00;0,00
2020-02-09;35,00;35,00;0,00
2020-02-16;18,00;18,00;55,00
2020-02-23;0,00;0,00;18,00
2020-03-01;35,00;35,00;18,00
2020-03-08;34,00;68,00;0,00
2020-03-15;33,00;16,00;16,00
2020-03-22;0,00;0,00;16,00
2020-03-29;0,00;16,00;0,00
2020-04-05;36,00;0,00;18,00
2020-04-12;17,00;34,00;0,00
2020-04-19;50,00;17,00;0,00
2020-04-26;16,00;33,00;16,00
2020-05-03;16,00;49,00;0,00
2020-05-10;17,00;0,00;0,00
2020-05-17;35,00;0,00;0,00
2020-05-24;17,00;34,00;0,00
2020-05-31;50,00;0,00;17,00
2020-06-07;0,00;0,00;0,00
2020-06-14;17,00;0,00;0,00
2020-06-21;18,00;0,00;0,00
2020-06-28;17,00;17,00;0,00
2020-07-05;0,00;18,00;18,00
2020-07-12;18,00;18,00;0,00
2020-07-19;19,00;0,00;0,00
2020-07-26;38,00;0,00;0,00
2020-08-02;19,00;0,00;0,00
2020-08-09;0,00;0,00;0,00
2020-08-16;19,00;0,00;0,00
2020-08-23;0,00;37,00;0,00
2020-08-30;18,00;0,00;0,00
