Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;29,00;4,00;25,00;13,00;33,00;67,67;21,75;0,00;23,20;34,80;0,00;0,00;4,00;4,00;0,00;0,00;4,00;17,00;4,00;0,00;4,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;20,00;0,00;12,00;8,00;36,00;120,00;20,00;13,33;26,67;33,33;0,00;8,00;4,00;0,00;4,00;16,00;8,00;32,00;0,00;0,00;4,62;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;23,00;8,00;19,00;4,00;27,00;97,11;12,78;0,00;38,33;69,00;7,67;4,00;0,00;0,00;8,00;26,00;8,00;49,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;15,00;4,00;12,00;15,00;23,00;97,50;35,00;0,00;22,50;75,00;7,50;0,00;8,00;4,00;0,00;19,00;4,00;31,00;15,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;33,00;0,00;20,00;4,00;29,00;101,36;16,50;13,20;26,40;52,80;0,00;4,00;8,00;4,00;0,00;4,00;16,00;45,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;24,00;0,00;20,00;0,00;16,00;96,00;36,00;12,00;42,00;42,00;0,00;12,00;12,00;0,00;4,00;28,00;8,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;45,00;4,00;16,00;0,00;8,00;132,63;23,68;6,43;19,29;51,43;6,43;0,00;4,00;4,00;4,00;20,00;0,00;16,00;4,00;0,00;4,50;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;32,00;4,00;12,00;4,00;24,00;130,46;24,62;12,80;25,60;70,40;12,80;4,00;0,00;0,00;4,00;20,00;4,00;20,00;0,00;0,00;4,57;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;25,00;12,00;33,00;0,00;25,00;102,50;30,00;6,25;37,50;50,00;6,25;12,00;0,00;0,00;4,00;21,00;4,00;21,00;4,00;0,00;0,00;4,41;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;33,00;4,00;12,00;0,00;37,00;110,79;40,07;13,20;39,60;59,40;0,00;4,00;4,00;0,00;4,00;4,00;4,00;58,00;16,00;0,00;4,50;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
