Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;63,00;0,00;8,00;16,00;16,00;0,00;24,00;24,00;0,00;8,00;0,00;24,00;32,00;24,00;0,00;16,00;0,00;8,00;0,00;16,00;0,00;0,00;16,00;0,00;8,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;23,40;39,60;7,20;0,00;8,00;0,00
2019-01-13;45,00;23,00;15,00;0,00;15,00;15,00;0,00;15,00;0,00;8,00;0,00;15,00;30,00;8,00;0,00;23,00;8,00;0,00;0,00;15,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;61,20;23,40;0,00;0,00;8,00
2019-01-20;79,00;7,00;0,00;0,00;14,00;29,00;0,00;14,00;0,00;14,00;0,00;7,00;29,00;0,00;7,00;14,00;14,00;0,00;7,00;14,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;71,82;0,00;14,00;21,00;0,00
2019-01-27;65,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;15,00;7,00;7,00;22,00;0,00;0,00;7,00;0,00;7,00;0,00;44,00;0,00;7,00;0,00;7,00;0,00;7,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;114,19;7,03;0,00;14,00;7,00
2019-02-03;46,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;38,00;0,00;0,00;0,00;0,00;8,00;0,00;38,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,08;7,08;53,08;30,08;0,00;31,00;8,00
2019-02-10;68,00;0,00;8,00;8,00;0,00;30,00;8,00;0,00;0,00;8,00;0,00;15,00;23,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;68,00;0,00;0,00;8,00;15,00
2019-02-17;38,00;8,00;8,00;8,00;8,00;8,00;0,00;8,00;8,00;0,00;0,00;8,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;67,36;6,91;0,00;8,00;0,00
2019-02-24;7,00;7,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;15,00;0,00;8,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,75;14,00;0,00;0,00;22,00
2019-03-03;54,00;0,00;8,00;23,00;8,00;8,00;0,00;8,00;0,00;0,00;0,00;16,00;23,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;16,00;8,00;0,00;0,00;0,00;0,00;16,00;16,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;55,80;23,40;0,00;0,00;8,00
2019-03-10;47,00;0,00;23,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,23;7,23;0,00;8,00;0,00
2019-03-17;32,00;0,00;8,00;0,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;16,00;16,00;0,00;0,00;24,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;7,11;0,00;0,00;8,00;0,00
