Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;81,00;61,88;22,50;64,00;0,00;16,00;28,00;24,00;14,00;17,00;22,00;24,00;24,00;2,00;4,00;18,00;5,00;4,00;3,00;10,00;10,00;4,00;3,00;4,00;2,00;5,00;3,00;1,00;2,00;0,00;1,00;0,00;0,00
2019-01-13;79,00;60,94;19,19;60,00;1,00;12,00;35,00;24,00;17,00;15,00;19,00;23,00;26,00;2,00;5,00;17,00;3,00;7,00;3,00;7,00;8,00;7,00;4,00;3,00;1,00;4,00;2,00;0,50;1,00;1,00;1,00;0,50;0,00
2019-01-20;83,00;48,89;18,19;64,00;1,00;10,00;28,00;20,00;19,00;18,00;26,00;22,00;18,00;2,00;4,00;15,00;2,00;6,00;2,00;7,00;12,00;3,00;2,00;4,00;1,00;2,00;4,00;2,00;2,00;0,00;1,00;0,00;1,00
2019-01-27;92,00;57,93;22,72;60,00;1,00;13,00;30,00;21,00;13,00;18,00;21,00;21,00;22,00;2,00;4,00;16,00;2,00;7,00;3,00;8,00;10,00;3,00;3,00;4,00;2,00;3,00;3,00;1,00;1,00;1,00;0,00;0,50;1,00
2019-02-03;86,00;62,24;18,11;50,00;1,00;14,00;29,00;21,00;18,00;20,00;25,00;21,00;22,00;1,00;5,00;16,00;2,00;8,00;2,00;6,00;10,00;3,00;5,00;1,00;1,00;5,00;2,00;1,00;2,00;0,00;1,00;0,00;0,50
2019-02-10;75,00;55,68;18,18;53,00;1,00;17,00;23,00;20,00;13,00;16,00;24,00;24,00;27,00;1,00;4,00;15,00;1,00;7,00;2,00;6,00;7,00;3,00;3,00;1,00;1,00;2,00;2,00;2,00;1,00;0,50;0,50;0,00;0,00
2019-02-17;68,00;56,67;18,13;52,00;1,00;13,00;31,00;24,00;16,00;19,00;23,00;24,00;20,00;2,00;4,00;16,00;3,00;6,00;3,00;5,00;7,00;3,00;6,00;1,00;1,00;3,00;1,00;0,50;1,00;1,00;1,00;0,50;0,50
2019-02-24;88,00;56,41;14,67;57,00;1,00;17,00;31,00;19,00;16,00;21,00;19,00;25,00;24,00;1,00;3,00;14,00;2,00;7,00;5,00;6,00;9,00;3,00;4,00;3,00;1,00;5,00;3,00;2,00;1,00;1,00;1,00;0,00;0,00
2019-03-03;81,00;61,88;12,38;55,00;1,00;12,00;33,00;17,00;14,00;16,00;20,00;27,00;25,00;1,00;6,00;19,00;2,00;7,00;3,00;8,00;7,00;4,00;2,00;2,00;1,00;4,00;2,00;1,00;1,00;1,00;1,00;0,50;0,00
2019-03-10;77,00;57,75;20,38;48,00;0,00;19,00;33,00;16,00;14,00;19,00;20,00;20,00;24,00;4,00;5,00;18,00;3,00;7,00;2,00;7,00;9,00;4,00;4,00;1,00;1,00;4,00;4,00;1,00;2,00;1,00;2,00;0,00;0,00
2019-03-17;67,00;53,37;18,17;54,00;0,00;18,00;29,00;22,00;17,00;23,00;23,00;19,00;27,00;3,00;5,00;18,00;2,00;6,00;3,00;7,00;10,00;3,00;7,00;0,50;0,50;2,00;3,00;1,00;1,00;1,00;1,00;0,00;0,00
2019-03-24;76,00;62,39;13,61;48,00;1,00;18,00;29,00;22,00;14,00;19,00;18,00;27,00;21,00;2,00;6,00;20,00;4,00;9,00;4,00;10,00;5,00;2,00;4,00;3,00;0,00;3,00;4,00;1,00;3,00;1,00;1,00;0,50;1,00
2019-03-31;64,00;55,02;14,60;58,00;0,50;19,00;37,00;23,00;18,00;22,00;18,00;25,00;25,00;3,00;6,00;17,00;3,00;6,00;5,00;6,00;10,00;4,00;7,00;3,00;1,00;6,00;3,00;2,00;2,00;1,00;1,00;0,00;1,00
2019-04-07;83,00;53,44;12,51;65,00;1,00;19,00;29,00;20,00;15,00;22,00;19,00;23,00;21,00;2,00;8,00;15,00;2,00;8,00;4,00;8,00;8,00;5,00;7,00;4,00;1,00;5,00;3,00;2,00;1,00;1,00;0,00;0,00;1,00
2019-04-14;77,00;113,24;15,85;59,00;1,00;22,00;27,00;19,00;14,00;27,00;23,00;19,00;23,00;2,00;7,00;23,00;3,00;6,00;2,00;9,00;8,00;2,00;8,00;2,00;1,00;4,00;4,00;1,00;3,00;1,00;1,00;0,50;1,00
2019-04-21;63,00;46,13;13,50;57,00;0,50;15,00;28,00;14,00;17,00;17,00;21,00;21,00;18,00;2,00;5,00;16,00;2,00;7,00;5,00;7,00;7,00;3,00;6,00;3,00;2,00;6,00;3,00;1,00;3,00;1,00;1,00;0,00;1,00
2019-04-28;59,00;48,79;10,21;54,00;0,50;13,00;21,00;13,00;15,00;18,00;22,00;18,00;19,00;2,00;9,00;15,00;4,00;7,00;3,00;6,00;8,00;5,00;3,00;3,00;2,00;4,00;4,00;0,50;2,00;0,50;1,00;1,00;0,00
2019-05-05;65,00;54,74;14,82;51,00;0,50;15,00;25,00;18,00;16,00;18,00;18,00;24,00;18,00;3,00;10,00;13,00;3,00;11,00;4,00;7,00;4,00;4,00;6,00;4,00;1,00;3,00;3,00;2,00;1,00;1,00;1,00;0,00;0,50
2019-05-12;56,00;52,64;13,44;58,00;0,50;15,00;25,00;17,00;14,00;22,00;19,00;18,00;15,00;2,00;6,00;13,00;4,00;7,00;4,00;8,00;7,00;3,00;4,00;2,00;2,00;5,00;3,00;2,00;2,00;1,00;1,00;0,00;1,00
2019-05-19;58,00;52,31;12,51;55,00;0,50;17,00;28,00;16,00;18,00;21,00;20,00;21,00;20,00;2,00;7,00;18,00;4,00;9,00;3,00;6,00;8,00;4,00;5,00;4,00;2,00;5,00;4,00;1,00;3,00;1,00;2,00;0,50;0,00
2019-05-26;64,00;48,00;11,43;52,00;0,50;15,00;24,00;18,00;14,00;19,00;21,00;20,00;19,00;4,00;5,00;14,00;1,00;9,00;2,00;7,00;8,00;3,00;3,00;4,00;2,00;3,00;4,00;1,00;2,00;1,00;3,00;0,00;0,00
2019-06-02;73,00;50,54;16,85;53,00;1,00;13,00;22,00;16,00;18,00;17,00;16,00;35,00;15,00;5,00;7,00;17,00;2,00;8,00;4,00;7,00;9,00;3,00;4,00;3,00;1,00;5,00;3,00;2,00;3,00;1,00;1,00;0,00;1,00
2019-06-09;79,00;48,53;11,29;47,00;0,50;20,00;30,00;21,00;15,00;23,00;24,00;24,00;20,00;4,00;7,00;13,00;2,00;9,00;4,00;7,00;10,00;3,00;5,00;4,00;2,00;4,00;1,00;2,00;2,00;1,00;2,00;0,00;1,00
2019-06-16;68,00;55,53;12,47;55,00;1,00;14,00;25,00;17,00;15,00;17,00;26,00;24,00;20,00;7,00;7,00;14,00;3,00;6,00;6,00;7,00;6,00;4,00;7,00;3,00;1,00;3,00;2,00;2,00;2,00;1,00;2,00;0,00;0,50
2019-06-23;67,00;47,69;14,76;45,00;0,50;20,00;28,00;22,00;13,00;19,00;22,00;20,00;21,00;5,00;6,00;20,00;2,00;9,00;4,00;9,00;9,00;3,00;5,00;5,00;1,00;4,00;2,00;2,00;2,00;1,00;2,00;1,00;0,50
2019-06-30;63,00;50,63;20,25;48,00;1,00;19,00;33,00;18,00;17,00;22,00;21,00;26,00;25,00;5,00;8,00;25,00;4,00;6,00;7,00;8,00;9,00;7,00;7,00;4,00;2,00;6,00;4,00;4,00;2,00;1,00;1,00;0,00;0,50
2019-07-07;73,00;60,45;15,97;52,00;1,00;22,00;35,00;23,00;16,00;16,00;28,00;32,00;26,00;3,00;7,00;18,00;5,00;6,00;4,00;10,00;10,00;3,00;7,00;3,00;3,00;6,00;3,00;2,00;4,00;1,00;2,00;0,50;1,00
2019-07-14;71,00;66,49;21,41;52,00;0,50;21,00;31,00;24,00;16,00;22,00;28,00;23,00;24,00;3,00;9,00;23,00;4,00;8,00;6,00;7,00;10,00;4,00;9,00;5,00;2,00;4,00;4,00;3,00;2,00;2,00;2,00;1,00;0,50
2019-07-21;81,00;61,88;18,00;49,00;1,00;22,00;38,00;24,00;16,00;18,00;26,00;24,00;28,00;1,00;8,00;19,00;4,00;7,00;4,00;7,00;11,00;4,00;6,00;5,00;1,00;4,00;5,00;2,00;2,00;1,00;1,00;0,00;0,00
2019-07-28;88,00;69,71;21,71;51,00;0,50;22,00;33,00;24,00;19,00;20,00;27,00;24,00;26,00;2,00;8,00;17,00;3,00;8,00;9,00;9,00;12,00;3,00;7,00;4,00;3,00;5,00;6,00;2,00;5,00;0,50;2,00;0,50;0,50
2019-08-04;77,00;65,68;16,99;65,00;1,00;29,00;42,00;23,00;12,00;24,00;33,00;26,00;28,00;1,00;6,00;23,00;4,00;8,00;9,00;9,00;13,00;6,00;8,00;5,00;3,00;2,00;4,00;3,00;4,00;1,00;2,00;1,00;1,00
2019-08-11;85,00;61,20;19,27;69,00;1,00;26,00;37,00;22,00;23,00;24,00;30,00;29,00;29,00;4,00;10,00;23,00;4,00;11,00;7,00;7,00;11,00;4,00;13,00;3,00;2,00;6,00;8,00;4,00;3,00;2,00;1,00;0,50;0,00
