Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;52,00;17,00;2,00;0,50;13,00;3,00;16,00;3,00;4,00;11,00;2,00;5,00;2,00;1,37;1,37;19,16;6,84;26,00;5,00;1,00;18,00;1,00;6,00;1,00;21,00;1,00;1,00;4,00;3,00;0,50;5,00;3,00;3,00;0,00;1,00;1,00;2,00;1,00;0,50;0,00;1,00;1,00;0,00
2019-01-13;50,00;17,00;2,00;0,50;13,00;3,00;16,00;3,00;6,00;10,00;2,00;7,00;2,00;1,39;2,78;18,06;5,56;24,00;7,00;0,50;20,00;1,00;8,00;2,00;18,00;2,00;0,00;4,00;3,00;1,00;5,00;3,00;3,00;0,00;1,00;0,50;2,00;1,00;0,50;0,50;0,50;1,00;0,00
2019-01-20;50,00;16,00;1,00;0,50;10,00;3,00;16,00;4,00;4,00;8,00;2,00;5,00;4,00;1,39;1,39;22,22;6,94;23,00;6,00;1,00;18,00;1,00;7,00;2,00;21,00;1,00;0,00;2,00;3,00;0,50;5,00;2,00;5,00;0,50;1,00;1,00;1,00;2,00;0,50;0,50;1,00;1,00;0,50
2019-01-27;44,00;20,00;2,00;0,50;11,00;3,00;13,00;4,00;5,00;7,00;2,00;3,00;2,00;2,84;2,84;24,13;5,68;26,00;9,00;1,00;17,00;1,00;7,00;2,00;19,00;2,00;0,50;3,00;5,00;1,00;4,00;3,00;2,00;0,50;1,00;1,00;2,00;1,00;0,50;1,00;1,00;1,00;0,00
2019-02-03;40,00;20,00;2,00;0,50;15,00;3,00;16,00;6,00;4,00;4,00;1,00;4,00;2,00;1,38;2,76;26,21;6,90;27,00;8,00;2,00;16,00;1,00;9,00;1,00;17,00;3,00;0,00;6,00;5,00;1,00;4,00;3,00;3,00;1,00;1,00;1,00;2,00;2,00;0,00;1,00;2,00;2,00;0,00
2019-02-10;38,00;18,00;2,00;0,50;12,00;4,00;18,00;4,00;5,00;5,00;2,00;5,00;3,00;1,41;2,81;22,52;11,26;29,00;10,00;1,00;20,00;1,00;8,00;2,00;22,00;3,00;0,00;5,00;6,00;0,50;6,00;4,00;4,00;0,00;0,50;2,00;3,00;2,00;0,50;0,50;1,00;0,50;0,00
2019-02-17;43,00;17,00;1,00;0,00;14,00;4,00;19,00;6,00;4,00;6,00;2,00;5,00;2,00;1,39;2,77;36,06;12,48;37,00;11,00;1,00;18,00;1,00;9,00;1,00;23,00;2,00;0,50;4,00;4,00;1,00;5,00;5,00;4,00;1,00;1,00;3,00;3,00;2,00;0,50;1,00;3,00;1,00;0,50
2019-02-24;49,00;21,00;3,00;1,00;15,00;4,00;20,00;8,00;4,00;7,00;1,00;4,00;2,00;2,80;4,20;32,20;15,40;26,00;10,00;1,00;20,00;2,00;11,00;3,00;21,00;1,00;0,50;4,00;6,00;0,50;7,00;5,00;5,00;0,00;2,00;1,00;2,00;3,00;0,50;1,00;1,00;1,00;0,00
2019-03-03;45,00;24,00;2,00;1,00;12,00;4,00;17,00;5,00;7,00;7,00;2,00;7,00;4,00;2,81;2,81;28,13;12,66;29,00;8,00;1,00;17,00;1,00;7,00;2,00;20,00;1,00;0,00;5,00;3,00;1,00;6,00;3,00;4,00;1,00;2,00;2,00;2,00;2,00;0,00;0,50;1,00;1,00;0,50
2019-03-10;46,00;19,00;2,00;1,00;9,00;4,00;16,00;5,00;6,00;8,00;2,00;7,00;4,00;2,79;2,79;25,09;9,76;24,00;8,00;1,00;21,00;1,00;9,00;2,00;19,00;2,00;0,50;4,00;4,00;1,00;5,00;2,00;4,00;0,50;2,00;1,00;2,00;1,00;0,50;1,00;1,00;1,00;0,00
2019-03-17;53,00;23,00;2,00;1,00;11,00;4,00;21,00;5,00;6,00;7,00;2,00;5,00;3,00;1,39;2,79;27,89;15,34;32,00;9,00;1,00;22,00;2,00;11,00;3,00;24,00;2,00;0,50;5,00;5,00;0,50;4,00;5,00;5,00;0,00;1,00;2,00;3,00;2,00;0,50;1,00;2,00;1,00;0,50
2019-03-24;51,00;24,00;3,00;1,00;14,00;4,00;23,00;5,00;5,00;8,00;2,00;5,00;3,00;1,42;2,83;32,58;14,17;30,00;9,00;1,00;20,00;2,00;10,00;2,00;19,00;1,00;0,50;4,00;5,00;1,00;7,00;4,00;7,00;0,50;1,00;1,00;2,00;2,00;0,50;0,50;2,00;1,00;0,00
2019-03-31;60,00;23,00;3,00;1,00;13,00;4,00;20,00;7,00;8,00;7,00;2,00;5,00;4,00;2,79;2,79;37,67;18,14;29,00;12,00;1,00;25,00;1,00;8,00;2,00;24,00;2,00;0,00;5,00;5,00;1,00;8,00;4,00;4,00;0,50;1,00;1,00;2,00;3,00;0,00;0,50;1,00;0,50;0,00
