Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;51,00;29,00;34,00;26,00;3,00;26,00;24,00;0,00;19,00;18,00;18,00;2,00;1,00;1,00;28,00;4,00;1,00;17,00;5,00;2,00;14,00;9,00;15,00;0,00;0,00;17,00;12,00;6,00;14,00;7,00;8,00;0,00;17,00;0,00;0,50;7,00;0,00;1,00;0,00;18,00;9,00;0,50;4,00;6,00
2019-01-13;48,00;25,00;39,00;24,00;1,00;23,00;28,00;0,00;16,00;15,00;14,00;1,00;3,00;0,50;28,00;2,00;0,50;15,00;6,00;1,00;19,00;6,00;14,00;1,00;0,00;19,00;12,00;7,00;10,00;13,00;12,00;1,00;14,00;0,00;0,00;7,00;0,00;0,50;0,00;21,00;14,00;3,00;5,00;8,00
2019-01-20;47,00;29,00;36,00;33,00;1,00;19,00;23,00;0,00;17,00;15,00;13,00;0,50;5,00;1,00;19,00;3,00;0,50;17,00;7,00;3,00;16,00;11,00;24,00;0,50;0,00;18,00;12,00;11,00;16,00;9,00;10,00;0,50;15,00;1,00;0,50;5,00;0,00;0,50;0,00;28,00;15,00;3,00;6,00;11,00
2019-01-27;49,00;24,00;34,00;31,00;1,00;26,00;25,00;0,00;19,00;20,00;12,00;1,00;2,00;0,00;25,00;2,00;0,50;15,00;8,00;0,50;20,00;12,00;13,00;0,00;0,00;17,00;11,00;6,00;15,00;10,00;12,00;0,50;7,00;0,50;0,00;7,00;0,00;0,50;1,00;31,00;15,00;1,00;8,00;8,00
2019-02-03;51,00;24,00;50,00;26,00;1,00;32,00;32,00;0,00;20,00;20,00;15,00;1,00;3,00;0,00;24,00;3,00;0,00;17,00;12,00;0,50;15,00;16,00;17,00;0,50;0,00;15,00;12,00;9,00;12,00;8,00;12,00;0,50;4,00;1,00;0,50;8,00;0,00;1,00;1,00;31,00;18,00;3,00;11,00;12,00
2019-02-10;48,00;30,00;36,00;32,00;1,00;28,00;25,00;0,00;18,00;13,00;14,00;0,50;2,00;0,00;23,00;1,00;0,50;14,00;12,00;0,50;22,00;7,00;17,00;0,50;0,50;28,00;17,00;6,00;19,00;12,00;16,00;1,00;7,00;0,50;0,00;9,00;0,00;0,50;0,00;25,00;17,00;3,00;8,00;7,00
2019-02-17;48,00;23,00;41,00;31,00;0,00;27,00;25,00;0,50;17,00;17,00;15,00;2,00;3,00;0,00;26,00;4,00;1,00;18,00;16,00;2,00;22,00;7,00;18,00;0,00;0,50;34,00;11,00;5,00;16,00;9,00;14,00;0,50;5,00;0,50;0,00;7,00;0,00;1,00;0,00;27,00;14,00;3,00;7,00;5,00
2019-02-24;52,00;24,00;34,00;28,00;0,50;29,00;30,00;1,00;34,00;15,00;13,00;0,50;4,00;1,00;24,00;5,00;0,50;15,00;12,00;2,00;14,00;6,00;17,00;0,00;0,00;19,00;13,00;6,00;11,00;10,00;10,00;0,00;5,00;0,00;0,00;9,00;0,00;0,00;0,50;21,00;14,00;2,00;8,00;3,00
2019-03-03;57,00;27,00;32,00;26,00;1,00;27,00;26,00;0,50;17,00;18,00;12,00;0,50;2,00;0,00;16,00;2,00;0,50;13,00;7,00;2,00;15,00;13,00;12,00;0,50;0,00;20,00;10,00;5,00;10,00;8,00;9,00;0,50;5,00;0,00;0,00;6,00;0,00;1,00;1,00;20,00;17,00;0,00;7,00;7,00
2019-03-10;49,00;24,00;35,00;25,00;1,00;30,00;31,00;0,00;25,00;16,00;12,00;1,00;2,00;0,00;20,00;4,00;0,00;11,00;7,00;1,00;14,00;6,00;13,00;0,50;0,00;20,00;10,00;3,00;13,00;7,00;6,00;0,50;2,00;0,00;0,00;4,00;0,00;0,50;0,50;11,00;6,00;1,00;7,00;3,00
