Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;52,00;352,44;63,56;17,33;23,11;36,00;41,00;18,00;31,00;17,00;8,00;10,00;15,00;13,68;19,16;4,11;49,26;5,20;11,44;93,60;7,28;55,63;3,63;1,21;1,21;43,00;12,00;33,00;1,00;41,12;24,19;38,70;4,84;5,00;9,00;6,00
2019-01-13;50,00;333,33;55,56;11,11;27,78;30,00;33,00;17,00;29,00;15,00;9,00;14,00;11,00;12,50;19,44;4,17;51,39;5,21;12,50;89,58;4,17;57,32;1,22;2,44;1,22;49,00;15,00;35,00;1,00;48,78;28,05;36,59;7,32;4,00;7,00;8,00
2019-01-20;50,00;327,78;50,00;16,67;22,22;29,00;36,00;18,00;26,00;17,00;10,00;12,00;13,00;11,11;16,67;5,56;55,56;5,32;10,64;88,30;4,26;60,00;3,75;2,50;2,50;54,00;17,00;29,00;2,00;42,50;25,00;41,25;6,25;4,00;8,00;6,00
2019-01-27;44,00;341,00;44,00;16,50;27,50;31,00;39,00;14,00;29,00;13,00;9,00;12,00;13,00;12,77;18,45;4,26;52,52;5,37;11,80;64,39;4,29;56,57;2,51;2,51;2,51;60,00;16,00;20,00;1,00;40,23;25,14;40,23;8,80;5,00;6,00;7,00
2019-02-03;40,00;377,14;51,43;17,14;22,86;34,00;39,00;20,00;32,00;15,00;10,00;11,00;14,00;11,03;15,17;4,14;52,41;5,26;11,58;73,68;6,32;70,00;3,75;3,75;2,50;46,00;17,00;18,00;2,00;44,85;24,24;38,79;8,48;4,00;6,00;8,00
2019-02-10;38,00;352,86;48,86;16,29;27,14;37,00;44,00;17,00;33,00;15,00;11,00;9,00;11,00;14,07;19,70;4,22;54,89;7,39;9,50;70,72;7,39;63,33;3,80;2,53;1,27;45,00;15,00;18,00;1,00;45,35;29,42;39,23;8,58;5,00;8,00;6,00
2019-02-17;43,00;354,75;53,75;16,13;32,25;37,00;46,00;21,00;33,00;15,00;9,00;12,00;16,00;15,26;22,19;4,16;54,10;6,29;10,49;72,37;6,29;62,66;4,91;3,69;1,23;50,00;14,00;16,00;1,00;43,00;33,17;38,09;8,60;6,00;9,00;6,00
2019-02-24;49,00;353,89;49,00;16,33;27,22;38,00;39,00;22,00;37,00;16,00;9,00;11,00;14,00;12,60;18,20;5,60;54,60;8,52;10,65;74,57;5,33;77,90;2,51;2,51;1,26;55,00;17,00;21,00;4,00;47,78;31,85;31,85;9,80;6,00;7,00;8,00
2019-03-03;45,00;354,38;56,25;16,88;33,75;36,00;36,00;21,00;35,00;18,00;9,00;9,00;11,00;12,66;23,91;4,22;53,44;7,33;14,65;72,21;5,23;63,75;3,75;2,50;1,25;55,00;16,00;19,00;2,00;42,57;36,49;37,70;8,51;6,00;7,00;7,00
2019-03-10;46,00;362,25;51,75;17,25;23,00;31,00;33,00;18,00;32,00;13,00;9,00;11,00;13,00;12,55;19,52;4,18;55,76;9,41;12,55;70,05;6,27;59,68;2,49;2,49;2,49;49,00;17,00;16,00;3,00;47,24;27,35;37,30;6,22;4,00;7,00;8,00
2019-03-17;53,00;400,44;53,00;17,67;29,44;38,00;37,00;20,00;32,00;12,00;8,00;10,00;12,00;9,76;22,32;5,58;51,61;7,42;10,60;66,78;6,36;69,02;3,70;2,47;2,47;45,00;16,00;18,00;2,00;40,67;24,65;36,98;7,40;4,00;7,00;8,00
2019-03-24;51,00;357,00;51,00;17,00;28,33;37,00;39,00;20,00;41,00;12,00;7,00;9,00;13,00;11,03;17,92;4,14;56,51;5,31;11,69;76,50;7,44;69,66;2,49;2,49;2,49;47,00;12,00;17,00;3,00;42,29;31,10;38,56;8,71;6,00;7,00;10,00
2019-03-31;60,00;387,27;49,09;21,82;27,27;39,00;42,00;20,00;35,00;14,00;7,00;12,00;16,00;11,16;18,14;6,98;53,02;8,42;12,63;105,26;5,26;66,25;3,75;2,50;2,50;54,00;16,00;34,00;2,00;41,63;31,84;55,10;9,80;5,00;8,00;9,00
2019-04-07;60,00;387,27;49,09;16,36;32,73;38,00;40,00;22,00;40,00;14,00;8,00;19,00;14,00;9,77;25,12;5,58;64,19;8,42;14,74;89,47;6,32;68,75;3,75;1,25;2,50;56,00;16,00;37,00;3,00;45,31;34,29;44,08;11,02;6,00;11,00;8,00
2019-04-14;66,00;550,00;49,50;16,50;38,50;36,00;51,00;18,00;35,00;13,00;12,00;14,00;15,00;12,38;19,25;4,13;57,75;8,38;12,57;84,86;6,29;73,47;2,49;2,49;2,49;53,00;14,00;40,00;3,00;48,89;36,67;56,22;11,00;6,00;13,00;7,00
2019-04-21;69,00;419,75;51,75;17,25;34,50;34,00;40,00;21,00;32,00;16,00;9,00;9,00;14,00;9,66;17,94;4,14;59,34;7,32;13,59;83,64;6,27;70,23;3,70;2,46;2,46;47,00;13,00;44,00;2,00;36,96;38,20;34,50;9,86;9,00;9,00;10,00
2019-04-28;66,00;379,50;49,50;16,50;33,00;34,00;41,00;20,00;30,00;13,00;9,00;14,00;14,00;11,00;19,25;4,13;67,38;6,29;8,38;80,67;7,33;73,33;3,67;3,67;2,44;50,00;13,00;40,00;2,00;42,78;30,56;39,11;8,56;6,00;12,00;10,00
2019-05-05;58,00;353,80;52,20;11,60;34,80;29,00;38,00;21,00;32,00;13,00;9,00;13,00;12,00;11,05;20,71;4,14;55,24;7,38;9,49;72,76;5,27;67,87;2,47;2,47;2,47;45,00;13,00;32,00;2,00;41,96;32,09;38,26;9,87;9,00;9,00;8,00
2019-05-12;63,00;360,82;40,09;11,45;34,36;34,00;38,00;20,00;28,00;11,00;7,00;12,00;12,00;12,33;16,43;5,48;57,52;7,35;10,50;75,60;6,30;65,47;3,71;1,24;2,47;49,00;16,00;38,00;2,00;42,00;29,65;32,12;8,65;5,00;9,00;9,00
2019-05-19;59,00;359,90;47,20;11,80;35,40;31,00;39,00;21,00;31,00;11,00;9,00;11,00;13,00;8,23;13,72;4,12;53,51;7,38;7,38;86,39;2,11;65,15;2,46;1,23;1,23;50,00;11,00;32,00;1,00;39,33;30,73;35,65;8,60;6,00;8,00;9,00
2019-05-26;66,00;379,50;44,00;11,00;33,00;28,00;38,00;18,00;31,00;11,00;8,00;13,00;13,00;16,85;16,85;4,21;56,17;6,39;8,52;86,23;5,32;70,98;3,74;3,74;3,74;51,00;12,00;34,00;2,00;42,34;27,40;38,60;14,94;9,00;12,00;11,00
