Semaine;Guyane (GF);Dominique (DM);Suriname (SR);Guyana (GY)
2019-01-06;54,00;14,00;0,00;0,00
2019-01-13;47,00;14,00;0,00;0,00
2019-01-20;46,00;20,00;7,00;0,00
2019-01-27;84,00;0,00;0,00;0,00
2019-02-03;33,00;13,00;7,00;0,00
2019-02-10;55,00;7,00;14,00;7,00
2019-02-17;35,00;7,00;7,00;0,00
2019-02-24;55,00;28,00;0,00;0,00
2019-03-03;53,00;7,00;13,00;0,00
2019-03-10;40,00;0,00;0,00;0,00
2019-03-17;56,00;0,00;7,00;0,00
2019-03-24;55,00;0,00;0,00;7,00
2019-03-31;34,00;0,00;14,00;0,00
2019-04-07;35,00;7,00;0,00;0,00
2019-04-14;29,00;0,00;0,00;0,00
2019-04-21;21,00;0,00;0,00;0,00
2019-04-28;81,00;7,00;7,00;0,00
2019-05-05;20,00;0,00;7,00;0,00
2019-05-12;47,00;20,00;0,00;0,00
2019-05-19;40,00;20,00;0,00;0,00
2019-05-26;40,00;7,00;0,00;13,00
2019-06-02;50,00;6,00;6,00;6,00
2019-06-09;39,00;7,00;0,00;7,00
2019-06-16;41,00;0,00;0,00;7,00
2019-06-23;40,00;0,00;0,00;0,00
2019-06-30;47,00;13,00;0,00;0,00
2019-07-07;46,00;7,00;0,00;0,00
2019-07-14;55,00;7,00;7,00;0,00
2019-07-21;28,00;7,00;0,00;0,00
2019-07-28;58,00;7,00;7,00;7,00
2019-08-04;43,00;7,00;0,00;0,00
2019-08-11;43,00;7,00;0,00;7,00
2019-08-18;49,00;7,00;14,00;0,00
2019-08-25;53,00;7,00;7,00;0,00
2019-09-01;39,00;6,00;6,00;6,00
2019-09-08;39,00;0,00;0,00;0,00
2019-09-15;32,00;0,00;0,00;0,00
2019-09-22;31,00;6,00;0,00;0,00
2019-09-29;37,00;13,00;13,00;0,00
2019-10-06;70,00;0,00;0,00;13,00
2019-10-13;44,00;6,00;0,00;0,00
2019-10-20;38,00;0,00;6,00;0,00
2019-10-27;37,00;19,00;6,00;6,00
2019-11-03;12,00;0,00;0,00;0,00
2019-11-10;25,00;18,00;0,00;6,00
2019-11-17;37,00;12,00;6,00;6,00
2019-11-24;59,00;18,00;0,00;6,00
