Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;65,00;87,67;3,02;21,16;3,02;5,00
2019-01-13;68,00;92,18;4,53;10,58;4,53;6,00
2019-01-20;66,00;85,50;1,50;12,00;1,50;4,00
2019-01-27;64,00;88,38;6,10;16,76;3,05;5,00
2019-02-03;70,00;89,36;4,47;14,89;5,96;3,00
2019-02-10;57,00;87,00;3,00;12,00;3,00;2,00
2019-02-17;55,00;71,35;4,46;10,41;5,95;4,00
2019-02-24;58,00;90,72;7,44;8,92;4,46;3,00
2019-03-03;52,00;90,24;4,59;12,24;3,06;3,00
2019-03-10;49,00;66,82;7,42;10,39;1,48;1,00
2019-03-17;54,00;70,50;9,00;7,50;3,00;3,00
2019-03-24;45,00;73,50;3,00;9,00;3,00;6,00
2019-03-31;44,00;63,07;4,40;5,87;1,47;3,00
2019-04-07;49,00;66,82;4,45;10,39;2,97;2,00
2019-04-14;48,00;66,00;3,00;7,50;4,50;1,00
2019-04-21;45,00;72,00;6,00;10,50;4,50;5,00
2019-04-28;40,00;58,46;6,15;7,69;1,54;1,00
2019-05-05;41,00;56,19;3,04;9,11;1,52;2,00
2019-05-12;36,00;54,00;7,50;7,50;3,00;3,00
2019-05-19;38,00;50,16;1,52;4,56;1,52;3,00
2019-05-26;34,00;51,74;7,39;7,39;1,48;4,00
2019-06-02;27,00;48,00;3,00;9,00;4,50;2,00
2019-06-09;41,00;57,70;4,56;7,59;1,52;4,00
2019-06-16;36,00;61,50;3,00;4,50;1,50;3,00
2019-06-23;43,00;62,28;4,45;4,45;1,48;2,00
2019-06-30;45,00;58,50;1,50;7,50;1,50;1,00
2019-07-07;36,00;54,00;3,00;6,00;3,00;4,00
2019-07-14;44,00;65,24;3,03;6,07;3,03;4,00
2019-07-21;43,00;51,90;4,45;10,38;4,45;3,00
2019-07-28;40,00;60,00;6,15;9,23;9,23;1,00
2019-08-04;52,00;73,41;4,59;10,71;3,06;2,00
2019-08-11;45,00;73,50;6,00;10,50;3,00;1,00
2019-08-18;42,00;66,00;6,00;12,00;4,50;3,00
2019-08-25;52,00;61,18;3,06;7,65;3,06;2,00
2019-09-01;46,00;57,87;4,45;8,90;2,97;3,00
2019-09-08;38,00;50,16;3,04;7,60;1,52;3,00
2019-09-15;46,00;59,35;7,42;10,39;2,97;3,00
2019-09-22;41,00;45,39;4,39;10,25;1,46;3,00
2019-09-29;39,00;60,00;4,50;13,50;0,75;3,00
2019-10-06;39,00;51,00;3,00;9,00;4,50;3,00
2019-10-13;43,00;62,28;5,93;7,41;1,48;1,00
2019-10-20;43,00;65,24;7,41;5,93;1,48;1,00
2019-10-27;52,00;66,86;5,94;5,94;2,97;2,00
2019-11-03;47,00;63,68;4,55;6,06;3,03;4,00
2019-11-10;40,00;65,19;4,44;7,41;2,96;3,00
2019-11-17;47,00;65,19;6,06;9,10;3,03;3,00
2019-11-24;52,00;66,86;2,97;7,43;4,46;2,00
2019-12-01;48,00;61,50;4,50;7,50;3,00;3,00
2019-12-08;53,00;62,09;6,06;6,06;13,63;5,00
2019-12-15;43,00;67,57;6,14;12,29;1,54;4,00
2019-12-22;67,00;92,31;5,96;8,93;4,47;5,00
2019-12-29;48,00;97,50;6,00;10,50;6,00;6,00
2020-01-05;63,00;82,50;4,50;10,50;4,50;3,00
2020-01-12;58,00;94,63;3,05;12,21;4,58;4,00
2020-01-19;61,00;87,78;4,46;10,41;4,46;5,00
2020-01-26;54,00;79,50;6,00;9,00;1,50;4,00
2020-02-02;52,00;85,65;3,06;7,65;4,59;5,00
2020-02-09;57,00;81,00;4,50;12,00;1,50;4,00
2020-02-16;53,00;86,31;6,06;10,60;3,03;4,00
2020-02-23;49,00;68,30;2,97;5,94;2,97;4,00
2020-03-01;59,00;77,15;4,54;7,56;3,03;4,00
2020-03-08;56,00;82,53;5,89;7,37;1,47;2,00
2020-03-15;36,00;64,50;3,00;6,00;1,50;2,00
2020-03-22;23,00;47,44;1,44;2,88;4,31;1,00
2020-03-29;19,00;29,23;2,92;2,92;1,46;1,00
2020-04-05;19,00;38,00;1,46;1,46;2,92;2,00
2020-04-12;17,00;28,33;1,42;2,83;2,83;2,00
2020-04-19;26,00;38,24;3,06;1,53;1,53;1,00
2020-04-26;21,00;33,00;4,50;3,00;1,50;2,00
2020-05-03;22,00;34,57;3,14;3,14;1,57;2,00
2020-05-10;20,00;44,62;4,62;3,08;1,54;3,00
2020-05-17;32,00;42,67;1,52;1,52;1,52;2,00
2020-05-24;28,00;36,84;1,47;1,47;1,47;1,00
2020-05-31;23,00;47,53;4,60;3,07;1,53;3,00
2020-06-07;25,00;57,81;3,13;3,13;3,13;1,00
