Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;49,00;9,00;7,00;2,00;1,00
2019-01-13;58,00;10,00;6,00;2,00;2,00
2019-01-20;54,00;14,00;5,00;2,00;0,00
2019-01-27;38,00;7,00;9,00;1,00;2,00
2019-02-03;45,00;14,00;8,00;1,00;0,00
2019-02-10;56,00;9,00;4,00;1,00;1,00
2019-02-17;62,00;6,00;9,00;2,00;5,00
2019-02-24;49,00;6,00;5,00;1,00;3,00
2019-03-03;46,00;7,00;6,00;1,00;3,00
2019-03-10;55,00;10,00;17,00;3,00;0,00
2019-03-17;52,00;9,00;18,00;2,00;1,00
2019-03-24;56,00;11,00;20,00;3,00;1,00
2019-03-31;45,00;7,00;9,00;0,00;1,00
2019-04-07;36,00;10,00;10,00;0,00;2,00
2019-04-14;44,00;8,00;15,00;3,00;3,00
2019-04-21;50,00;1,00;11,00;1,00;0,00
2019-04-28;43,00;7,00;17,00;1,00;3,00
2019-05-05;46,00;13,00;14,00;2,00;1,00
2019-05-12;40,00;9,00;6,00;2,00;2,00
2019-05-19;36,00;6,00;6,00;1,00;3,00
2019-05-26;52,00;4,00;17,00;2,00;2,00
2019-06-02;43,00;6,00;5,00;1,00;1,00
2019-06-09;56,00;5,00;11,00;1,00;2,00
2019-06-16;70,00;7,00;16,00;3,00;2,00
2019-06-23;42,00;8,00;11,00;2,00;2,00
2019-06-30;63,00;12,00;6,00;0,00;1,00
2019-07-07;51,00;10,00;4,00;0,00;1,00
2019-07-14;57,00;4,00;7,00;0,00;4,00
2019-07-21;63,00;4,00;5,00;1,00;0,00
2019-07-28;60,00;11,00;2,00;0,00;11,00
2019-08-04;70,00;11,00;5,00;0,00;1,00
2019-08-11;59,00;2,00;5,00;0,00;2,00
2019-08-18;80,00;12,00;4,00;0,00;1,00
2019-08-25;64,00;7,00;9,00;2,00;2,00
2019-09-01;45,00;10,00;5,00;5,00;0,00
2019-09-08;60,00;5,00;10,00;3,00;0,00
2019-09-15;46,00;8,00;11,00;0,00;0,00
2019-09-22;39,00;6,00;9,00;0,00;0,00
2019-09-29;43,00;7,00;5,00;3,00;0,00
2019-10-06;51,00;10,00;14,00;0,00;3,00
2019-10-13;53,00;8,00;9,00;1,00;0,00
2019-10-20;45,00;6,00;5,00;1,00;1,00
2019-10-27;47,00;8,00;6,00;0,00;0,00
2019-11-03;54,00;9,00;7,00;2,00;0,00
2019-11-10;42,00;12,00;6,00;1,00;0,00
2019-11-17;49,00;6,00;6,00;1,00;0,00
2019-11-24;50,00;8,00;0,00;0,00;0,00
2019-12-01;39,00;6,00;6,00;0,00;0,00
2019-12-08;87,00;5,00;4,00;0,00;1,00
2019-12-15;55,00;8,00;1,00;1,00;0,00
2019-12-22;70,00;10,00;7,00;0,00;2,00
2019-12-29;72,00;16,00;6,00;1,00;0,00
2020-01-05;59,00;14,00;3,00;1,00;2,00
2020-01-12;45,00;13,00;10,00;0,00;1,00
2020-01-19;63,00;10,00;2,00;0,00;3,00
2020-01-26;47,00;12,00;12,00;3,00;2,00
2020-02-02;58,00;10,00;3,00;1,00;1,00
2020-02-09;52,00;11,00;6,00;1,00;1,00
2020-02-16;49,00;4,00;14,00;1,00;1,00
2020-02-23;44,00;5,00;10,00;1,00;2,00
2020-03-01;47,00;6,00;7,00;0,00;0,00
2020-03-08;36,00;8,00;6,00;3,00;1,00
2020-03-15;43,00;4,00;10,00;1,00;0,00
2020-03-22;47,00;8,00;11,00;0,00;0,00
2020-03-29;43,00;11,00;7,00;0,00;8,00
2020-04-05;66,00;7,00;14,00;2,00;1,00
2020-04-12;48,00;8,00;10,00;2,00;1,00
2020-04-19;45,00;10,00;9,00;1,00;1,00
2020-04-26;52,00;9,00;6,00;1,00;2,00
2020-05-03;55,00;6,00;4,00;1,00;1,00
2020-05-10;46,00;8,00;6,00;0,00;1,00
2020-05-17;56,00;9,00;3,00;0,00;0,00
2020-05-24;45,00;8,00;4,00;2,00;2,00
2020-05-31;45,00;9,00;2,00;1,00;1,00
2020-06-07;49,00;6,00;5,00;0,00;1,00
2020-06-14;50,00;7,00;3,00;1,00;1,00
2020-06-21;52,00;7,00;4,00;2,00;0,00
2020-06-28;46,00;10,00;2,00;1,00;0,00
2020-07-05;49,00;5,00;2,00;1,00;2,00
2020-07-12;86,00;4,00;7,00;1,00;1,00
2020-07-19;70,00;4,00;6,00;0,00;2,00
2020-07-26;63,00;6,00;5,00;0,00;1,00
2020-08-02;81,00;7,00;7,00;1,00;0,00
2020-08-09;60,00;2,00;0,00;0,00;3,00
2020-08-16;86,00;8,00;7,00;0,00;1,00
2020-08-23;69,00;13,00;17,00;1,00;2,00
2020-08-30;60,00;6,00;11,00;0,00;2,00
2020-09-06;49,00;7,00;8,00;1,00;0,00
2020-09-13;41,00;8,00;11,00;0,00;0,00
2020-09-20;45,00;3,00;7,00;0,00;1,00
2020-09-27;47,00;5,00;5,00;1,00;1,00
2020-10-04;48,00;17,00;8,00;1,00;0,00
2020-10-11;45,00;5,00;8,00;1,00;1,00
2020-10-18;56,00;8,00;8,00;0,00;1,00
2020-10-25;45,00;5,00;4,00;0,00;1,00
2020-11-01;43,00;5,00;2,00;0,00;0,00
2020-11-08;50,00;5,00;10,00;1,00;0,00
2020-11-15;49,00;4,00;8,00;1,00;0,00
2020-11-22;36,00;7,00;4,00;0,00;1,00
2020-11-29;32,00;4,00;10,00;1,00;1,00
2020-12-06;59,00;9,00;3,00;0,00;1,00
2020-12-13;56,00;13,00;7,00;0,00;2,00
2020-12-20;49,00;10,00;2,00;0,00;0,00
2020-12-27;81,00;13,00;3,00;0,00;0,00
2021-01-03;55,00;7,00;3,00;0,00;0,00
2021-01-10;59,00;9,00;5,00;1,00;1,00
2021-01-17;48,00;6,00;1,00;0,00;1,00
2021-01-24;57,00;11,00;4,00;1,00;0,00
2021-01-31;45,00;8,00;3,00;0,00;0,00
2021-02-07;39,00;6,00;0,00;0,00;2,00
2021-02-14;47,00;6,00;3,00;1,00;1,00
2021-02-21;49,00;11,00;1,00;1,00;0,00
2021-02-28;40,00;7,00;3,00;1,00;0,00
2021-03-07;44,00;5,00;3,00;0,00;2,00
2021-03-14;46,00;5,00;2,00;1,00;2,00
2021-03-21;48,00;5,00;0,00;0,00;0,00
2021-03-28;47,00;7,00;5,00;0,00;0,00
2021-04-04;51,00;6,00;3,00;2,00;1,00
2021-04-11;46,00;7,00;2,00;2,00;0,00
2021-04-18;51,00;7,00;4,00;0,00;2,00
2021-04-25;40,00;8,00;3,00;1,00;1,00
2021-05-02;49,00;6,00;4,00;0,00;1,00
2021-05-09;52,00;6,00;4,00;0,00;1,00
2021-05-16;45,00;5,00;3,00;1,00;0,00
2021-05-23;60,00;3,00;5,00;1,00;0,00
2021-05-30;52,00;6,00;2,00;0,00;2,00
2021-06-06;56,00;6,00;2,00;1,00;1,00
2021-06-13;45,00;6,00;3,00;2,00;0,00
2021-06-20;54,00;5,00;1,00;0,00;0,00
2021-06-27;51,00;9,00;3,00;0,00;0,00
2021-07-04;40,00;3,00;7,00;0,00;1,00
2021-07-11;60,00;2,00;2,00;0,00;2,00
2021-07-18;65,00;5,00;5,00;1,00;2,00
2021-07-25;100,00;8,00;12,00;0,00;1,00
2021-08-01;58,00;5,00;3,00;2,00;3,00
2021-08-08;73,00;4,00;3,00;2,00;0,00
2021-08-15;95,00;10,00;3,00;1,00;1,00
2021-08-22;65,00;8,00;3,00;0,00;2,00
2021-08-29;71,00;4,00;5,00;3,00;0,00
2021-09-05;48,00;7,00;1,00;2,00;2,00
2021-09-12;47,00;9,00;5,00;0,00;1,00
2021-09-19;59,00;8,00;3,00;0,00;1,00
2021-09-26;37,00;6,00;9,00;0,00;1,00
2021-10-03;45,00;4,00;2,00;0,00;0,00
2021-10-10;49,00;6,00;2,00;1,00;1,00
2021-10-17;39,00;7,00;2,00;1,00;0,00
2021-10-24;40,00;6,00;5,00;0,00;0,00
2021-10-31;53,00;7,00;3,00;1,00;2,00
2021-11-07;74,00;6,00;6,00;0,00;0,00
