Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;49,00;6,00;34,00;11,00;10,00;6,00
2019-01-13;46,00;9,00;32,00;11,00;7,00;7,00
2019-01-20;45,00;10,00;28,00;12,00;12,00;5,00
2019-01-27;35,00;8,00;27,00;11,00;2,00;4,00
2019-02-03;32,00;9,00;29,00;14,00;0,00;5,00
2019-02-10;35,00;8,00;33,00;13,00;0,50;4,00
2019-02-17;41,00;14,00;28,00;9,00;0,50;7,00
2019-02-24;36,00;8,00;29,00;10,00;0,50;4,00
2019-03-03;37,00;8,00;33,00;10,00;0,00;3,00
2019-03-10;32,00;8,00;22,00;9,00;0,00;6,00
2019-03-17;35,00;10,00;25,00;12,00;0,50;6,00
2019-03-24;39,00;12,00;25,00;8,00;0,00;4,00
2019-03-31;39,00;7,00;26,00;11,00;9,00;4,00
2019-04-07;42,00;9,00;21,00;11,00;5,00;4,00
2019-04-14;38,00;9,00;22,00;8,00;5,00;2,00
2019-04-21;36,00;8,00;20,00;10,00;7,00;4,00
2019-04-28;41,00;8,00;22,00;12,00;7,00;3,00
2019-05-05;47,00;8,00;21,00;8,00;6,00;5,00
2019-05-12;43,00;8,00;23,00;8,00;5,00;3,00
2019-05-19;37,00;8,00;17,00;7,00;5,00;3,00
2019-05-26;39,00;8,00;16,00;7,00;6,00;3,00
2019-06-02;39,00;8,00;17,00;7,00;8,00;4,00
2019-06-09;42,00;11,00;20,00;7,00;9,00;5,00
2019-06-16;38,00;9,00;23,00;10,00;14,00;4,00
2019-06-23;39,00;14,00;23,00;9,00;8,00;4,00
2019-06-30;38,00;13,00;26,00;8,00;6,00;8,00
2019-07-07;42,00;10,00;24,00;8,00;8,00;9,00
2019-07-14;47,00;8,00;21,00;9,00;7,00;7,00
2019-07-21;37,00;11,00;22,00;8,00;11,00;5,00
2019-07-28;46,00;9,00;24,00;14,00;10,00;8,00
2019-08-04;45,00;11,00;27,00;12,00;10,00;6,00
2019-08-11;45,00;10,00;33,00;19,00;11,00;4,00
2019-08-18;42,00;7,00;29,00;13,00;12,00;5,00
2019-08-25;39,00;9,00;25,00;14,00;13,00;4,00
2019-09-01;40,00;12,00;22,00;9,00;10,00;4,00
2019-09-08;37,00;8,00;24,00;9,00;8,00;4,00
2019-09-15;43,00;9,00;22,00;9,00;9,00;3,00
2019-09-22;40,00;9,00;22,00;9,00;11,00;4,00
2019-09-29;40,00;6,00;24,00;9,00;10,00;4,00
2019-10-06;43,00;9,00;23,00;19,00;8,00;5,00
2019-10-13;49,00;11,00;21,00;11,00;9,00;4,00
2019-10-20;62,00;37,00;24,00;11,00;9,00;4,00
2019-10-27;42,00;12,00;28,00;17,00;7,00;3,00
2019-11-03;52,00;11,00;28,00;7,00;7,00;3,00
2019-11-10;45,00;8,00;25,00;5,00;11,00;5,00
2019-11-17;39,00;12,00;21,00;8,00;9,00;2,00
2019-11-24;47,00;8,00;21,00;5,00;9,00;4,00
2019-12-01;42,00;10,00;24,00;9,00;8,00;4,00
2019-12-08;40,00;21,00;22,00;8,00;6,00;4,00
2019-12-15;39,00;9,00;24,00;8,00;8,00;4,00
2019-12-22;47,00;6,00;35,00;12,00;21,00;4,00
2019-12-29;55,00;9,00;35,00;13,00;16,00;5,00
2020-01-05;48,00;9,00;31,00;11,00;11,00;5,00
2020-01-12;47,00;8,00;31,00;11,00;13,00;4,00
2020-01-19;46,00;8,00;30,00;11,00;10,00;5,00
2020-01-26;48,00;11,00;43,00;12,00;12,00;6,00
2020-02-02;43,00;7,00;37,00;9,00;9,00;2,00
2020-02-09;42,00;9,00;28,00;12,00;12,00;4,00
2020-02-16;46,00;8,00;30,00;10,00;11,00;5,00
2020-02-23;40,00;9,00;27,00;12,00;12,00;4,00
2020-03-01;42,00;7,00;30,00;11,00;8,00;5,00
2020-03-08;51,00;8,00;37,00;8,00;7,00;5,00
2020-03-15;42,00;9,00;22,00;7,00;3,00;3,00
2020-03-22;34,00;10,00;16,00;6,00;3,00;3,00
2020-03-29;33,00;14,00;14,00;16,00;3,00;2,00
2020-04-05;32,00;10,00;10,00;5,00;3,00;2,00
2020-04-12;35,00;7,00;15,00;6,00;5,00;2,00
2020-04-19;32,00;12,00;10,00;5,00;3,00;2,00
2020-04-26;31,00;8,00;12,00;4,00;3,00;1,00
2020-05-03;28,00;26,00;11,00;4,00;4,00;2,00
2020-05-10;31,00;14,00;11,00;4,00;3,00;2,00
2020-05-17;30,00;10,00;10,00;4,00;3,00;2,00
2020-05-24;31,00;14,00;9,00;4,00;3,00;3,00
2020-05-31;30,00;8,00;12,00;4,00;4,00;4,00
2020-06-07;29,00;11,00;13,00;3,00;4,00;3,00
2020-06-14;35,00;12,00;13,00;6,00;4,00;2,00
2020-06-21;37,00;11,00;12,00;4,00;2,00;3,00
2020-06-28;31,00;12,00;11,00;4,00;2,00;3,00
2020-07-05;40,00;14,00;11,00;5,00;3,00;3,00
2020-07-12;37,00;9,00;10,00;6,00;2,00;2,00
2020-07-19;42,00;11,00;12,00;7,00;3,00;3,00
2020-07-26;36,00;11,00;13,00;5,00;3,00;2,00
2020-08-02;38,00;8,00;25,00;5,00;3,00;2,00
2020-08-09;40,00;7,00;54,00;5,00;3,00;3,00
2020-08-16;44,00;8,00;27,00;6,00;12,00;3,00
2020-08-23;40,00;7,00;14,00;6,00;3,00;2,00
2020-08-30;46,00;10,00;17,00;4,00;3,00;2,00
2020-09-06;44,00;9,00;11,00;4,00;3,00;4,00
2020-09-13;35,00;8,00;8,00;3,00;3,00;2,00
2020-09-20;39,00;7,00;11,00;4,00;4,00;2,00
2020-09-27;39,00;7,00;10,00;4,00;4,00;3,00
2020-10-04;41,00;8,00;9,00;3,00;3,00;4,00
2020-10-11;39,00;8,00;10,00;3,00;4,00;3,00
2020-10-18;41,00;8,00;9,00;5,00;5,00;3,00
2020-10-25;51,00;11,00;7,00;3,00;3,00;3,00
2020-11-01;33,00;9,00;7,00;3,00;2,00;1,00
2020-11-08;34,00;7,00;9,00;4,00;2,00;3,00
2020-11-15;35,00;6,00;8,00;3,00;4,00;3,00
2020-11-22;36,00;8,00;10,00;4,00;5,00;1,00
2020-11-29;38,00;6,00;9,00;4,00;4,00;3,00
2020-12-06;46,00;11,00;10,00;4,00;5,00;2,00
2020-12-13;49,00;16,00;9,00;5,00;7,00;2,00
2020-12-20;46,00;8,00;11,00;4,00;12,00;2,00
2020-12-27;52,00;7,00;13,00;8,00;10,00;4,00
2021-01-03;58,00;8,00;13,00;6,00;11,00;3,00
2021-01-10;100,00;11,00;13,00;4,00;9,00;4,00
2021-01-17;68,00;11,00;15,00;6,00;11,00;3,00
2021-01-24;55,00;11,00;9,00;5,00;9,00;2,00
2021-01-31;43,00;20,00;9,00;5,00;5,00;2,00
2021-02-07;37,00;10,00;9,00;5,00;5,00;1,00
2021-02-14;43,00;8,00;8,00;4,00;6,00;3,00
2021-02-21;38,00;13,00;8,00;3,00;7,00;2,00
2021-02-28;40,00;10,00;10,00;5,00;5,00;2,00
2021-03-07;39,00;8,00;11,00;6,00;50,00;2,00
2021-03-14;32,00;9,00;9,00;6,00;8,00;1,00
2021-03-21;34,00;9,00;8,00;6,00;16,00;2,00
2021-03-28;34,00;10,00;8,00;5,00;5,00;3,00
2021-04-04;30,00;7,00;6,00;7,00;4,00;2,00
2021-04-11;35,00;9,00;8,00;7,00;4,00;2,00
2021-04-18;36,00;7,00;10,00;8,00;6,00;2,00
2021-04-25;35,00;8,00;10,00;7,00;7,00;2,00
2021-05-02;43,00;8,00;9,00;16,00;5,00;2,00
2021-05-09;35,00;7,00;12,00;32,00;18,00;2,00
2021-05-16;39,00;9,00;9,00;10,00;9,00;2,00
2021-05-23;44,00;7,00;10,00;9,00;9,00;3,00
2021-05-30;40,00;6,00;11,00;18,00;7,00;3,00
2021-06-06;42,00;11,00;13,00;11,00;9,00;3,00
2021-06-13;44,00;10,00;14,00;7,00;9,00;2,00
2021-06-20;39,00;8,00;15,00;12,00;10,00;3,00
2021-06-27;43,00;11,00;10,00;9,00;9,00;2,00
2021-07-04;44,00;8,00;11,00;7,00;9,00;2,00
2021-07-11;52,00;12,00;11,00;16,00;9,00;3,00
2021-07-18;45,00;8,00;10,00;7,00;17,00;4,00
2021-07-25;70,00;10,00;16,00;7,00;10,00;2,00
2021-08-01;45,00;8,00;14,00;8,00;13,00;3,00
2021-08-08;52,00;11,00;15,00;9,00;13,00;3,00
2021-08-15;40,00;9,00;16,00;10,00;13,00;3,00
2021-08-22;45,00;10,00;19,00;10,00;15,00;3,00
2021-08-29;45,00;9,00;14,00;8,00;12,00;3,00
2021-09-05;40,00;8,00;16,00;9,00;14,00;2,00
2021-09-12;43,00;8,00;18,00;10,00;10,00;3,00
2021-09-19;42,00;9,00;20,00;7,00;11,00;2,00
2021-09-26;43,00;10,00;22,00;7,00;14,00;2,00
2021-10-03;48,00;8,00;23,00;8,00;12,00;4,00
2021-10-10;45,00;9,00;23,00;9,00;12,00;4,00
2021-10-17;58,00;8,00;24,00;10,00;11,00;6,00
2021-10-24;56,00;10,00;25,00;7,00;21,00;4,00
2021-10-31;53,00;9,00;25,00;15,00;23,00;3,00
2021-11-07;48,00;11,00;24,00;9,00;19,00;2,00
