Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;45,00;2,00;12,00
2019-01-13;12,00;0,00;12,00
2019-01-20;25,00;7,00;11,00
2019-01-27;9,00;0,00;4,00
2019-02-03;27,00;0,00;28,00
2019-02-10;31,00;5,00;10,00
2019-02-17;27,00;2,00;7,00
2019-02-24;26,00;5,00;7,00
2019-03-03;21,00;12,00;2,00
2019-03-10;33,00;0,00;5,00
2019-03-17;12,00;0,00;5,00
2019-03-24;19,00;2,00;5,00
2019-03-31;19,00;5,00;5,00
2019-04-07;19,00;5,00;10,00
2019-04-14;30,00;5,00;2,00
2019-04-21;2,00;5,00;2,00
2019-04-28;21,00;0,00;7,00
2019-05-05;9,00;7,00;0,00
2019-05-12;16,00;2,00;2,00
2019-05-19;14,00;0,00;5,00
2019-05-26;7,00;0,00;7,00
2019-06-02;11,00;0,00;4,00
2019-06-09;18,00;5,00;0,00
2019-06-16;12,00;2,00;0,00
2019-06-23;23,00;0,00;2,00
2019-06-30;18,00;0,00;7,00
2019-07-07;21,00;7,00;5,00
2019-07-14;10,00;2,00;2,00
2019-07-21;20,00;0,00;10,00
2019-07-28;30,00;0,00;3,00
2019-08-04;17,00;0,00;5,00
2019-08-11;22,00;3,00;3,00
2019-08-18;12,00;2,00;5,00
2019-08-25;35,00;7,00;2,00
2019-09-01;7,00;5,00;5,00
2019-09-08;16,00;7,00;5,00
2019-09-15;9,00;2,00;7,00
2019-09-22;4,00;7,00;4,00
2019-09-29;15,00;0,00;4,00
2019-10-06;13,00;4,00;4,00
2019-10-13;26,00;0,00;0,00
2019-10-20;17,00;2,00;4,00
2019-10-27;4,00;4,00;4,00
2019-11-03;13,00;4,00;2,00
2019-11-10;23,00;0,00;13,00
2019-11-17;21,00;0,00;9,00
2019-11-24;12,00;6,00;0,00
2019-12-01;10,00;4,00;2,00
2019-12-08;10,00;2,00;6,00
2019-12-15;17,00;19,00;8,00
2019-12-22;24,00;7,00;7,00
2019-12-29;25,00;9,00;2,00
2020-01-05;14,00;2,00;4,00
2020-01-12;12,00;0,00;6,00
2020-01-19;6,00;6,00;15,00
