Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;53,00;397,50;490,25;6,63;46,38;159,00;2,65;39,75;124,55;159,00;76,56;85,39;76,56;45,58;65,72;14,84;3,18;12,00;2,00;4,00;4,00;26,00;16,00;30,00;2,00;2,00;17,00;1,00;1,00;6,00;0,00;1,00;0,00;7,00;2,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;51,00;325,13;446,25;6,38;70,13;142,26;2,68;45,63;128,84;183,00;78,00;81,00;81,00;39,31;59,50;11,69;6,38;10,00;1,00;6,00;0,00;43,00;11,00;26,00;6,00;4,00;7,00;0,00;2,00;5,00;1,00;1,00;0,00;8,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;60,00;280,00;406,67;6,67;46,67;101,74;1,30;28,70;101,74;150,00;78,00;69,00;87,00;26,79;50,36;9,64;6,43;11,00;2,00;8,00;5,00;40,00;8,00;33,00;2,00;4,00;7,00;0,00;0,00;8,00;1,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-01-27;55,00;316,25;398,75;6,88;48,13;130,95;1,31;34,05;104,76;141,84;72,37;75,26;78,16;29,12;43,14;6,47;6,47;8,00;0,00;5,00;3,00;33,00;8,00;36,00;5,00;1,00;15,00;0,00;1,00;2,00;2,00;1,00;0,00;6,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;43,00;315,33;451,50;0,00;50,17;110,19;1,34;29,56;120,94;141,29;67,57;79,86;76,79;34,40;32,25;7,53;6,45;8,00;2,00;4,00;0,00;32,00;6,00;25,00;2,00;1,00;11,00;0,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;63,00;287,00;399,00;7,00;56,00;81,38;2,63;21,00;81,38;126,00;69,00;57,00;102,00;27,76;26,69;7,47;6,41;11,00;2,00;2,00;1,00;26,00;9,00;35,00;12,00;1,00;10,00;0,00;1,00;11,00;2,00;1,00;0,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;1,00;0,00
2019-02-17;60,00;320,00;413,33;6,67;40,00;83,48;2,61;23,48;91,30;148,57;60,00;82,86;91,43;24,64;33,21;5,36;3,21;7,00;1,00;2,00;2,00;26,00;9,00;30,00;7,00;6,00;11,00;0,00;0,00;6,00;2,00;0,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-02-24;48,00;322,29;438,86;3,43;41,14;104,00;5,33;29,33;93,33;162,00;69,00;75,00;72,00;39,47;40,53;9,60;9,60;7,00;1,00;5,00;2,00;43,00;8,00;23,00;7,00;1,00;13,00;0,00;0,00;4,00;0,00;0,00;0,00;5,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;57,00;349,13;427,50;3,56;49,88;93,27;1,30;23,32;95,86;168,00;63,00;87,00;75,00;24,74;34,42;8,60;6,45;12,00;4,00;4,00;2,00;23,00;12,00;32,00;11,00;2,00;4,00;0,00;0,00;5,00;0,00;1,00;0,00;5,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;62,00;330,67;399,56;6,89;41,33;124,00;1,35;26,96;107,83;141,71;73,81;76,76;97,43;23,93;30,46;10,88;6,53;12,00;2,00;2,00;1,00;37,00;19,00;30,00;7,00;1,00;8,00;0,00;0,00;1,00;2,00;0,00;2,00;1,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
