Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;94,00;29,00;60,00;42,00;13,00;65,00;49,00;41,00;10,00;23,00;15,00;88,00;44,00;13,00;8,00;36,00;0,00;113,79;23,50;49,47;35,87;3,00;10,00;10,00;8,00;3,00;16,00;5,00;44,00;29,00;10,00;21,00;0,00;5,00;3,00;5,00;3,00;21,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;95,00;31,00;49,00;46,00;13,00;64,00;51,00;38,00;15,00;30,00;18,00;94,00;41,00;5,00;5,00;20,00;0,00;77,50;2,50;20,00;33,75;3,00;28,00;5,00;0,00;5,00;20,00;3,00;36,00;43,00;8,00;5,00;0,00;0,00;10,00;3,00;3,00;8,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-01-20;91,00;39,00;36,00;46,00;13,00;88,00;33,00;21,00;3,00;26,00;15,00;59,00;23,00;5,00;10,00;28,00;0,00;100,97;4,99;36,15;26,18;0,00;67,00;8,00;0,00;18,00;8,00;0,00;16,00;15,00;8,00;10,00;3,00;3,00;0,00;3,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;70,00;35,00;42,00;30,00;10,00;30,00;37,00;12,00;7,00;10,00;7,00;45,00;32,00;0,00;7,00;40,00;2,00;67,50;5,00;25,00;25,00;0,00;17,00;12,00;0,00;12,00;12,00;0,00;22,00;15,00;7,00;2,00;0,00;0,00;5,00;0,00;0,00;12,00;0,00;5,00;2,00;0,00;0,00;0,00
2019-02-03;91,00;41,00;36,00;15,00;10,00;35,00;18,00;28,00;5,00;30,00;18,00;53,00;33,00;5,00;5,00;23,00;5,00;122,97;4,92;38,12;14,76;3,00;28,00;0,00;0,00;5,00;10,00;0,00;51,00;18,00;8,00;15,00;0,00;0,00;0,00;3,00;0,00;18,00;0,00;0,00;3,00;0,00;3,00;0,00
2019-02-10;65,00;39,00;26,00;29,00;13,00;39,00;18,00;26,00;8,00;10,00;5,00;44,00;28,00;3,00;5,00;34,00;3,00;71,13;4,91;23,30;25,75;5,00;18,00;10,00;0,00;3,00;16,00;0,00;29,00;16,00;8,00;16,00;0,00;5,00;3,00;5,00;0,00;16,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;69,00;21,00;40,00;29,00;5,00;26,00;32,00;29,00;5,00;10,00;10,00;24,00;45,00;0,00;8,00;50,00;3,00;63,98;2,51;28,85;16,31;0,00;16,00;5,00;0,00;5,00;8,00;0,00;50,00;37,00;13,00;13,00;3,00;5,00;0,00;0,00;0,00;16,00;5,00;3,00;0,00;0,00;0,00;0,00
2019-02-24;49,00;21,00;36,00;21,00;10,00;54,00;39,00;16,00;16,00;13,00;8,00;59,00;36,00;3,00;3,00;23,00;5,00;74,73;4,90;23,28;15,93;0,00;23,00;5,00;0,00;0,00;3,00;0,00;36,00;18,00;8,00;13,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-03-03;59,00;56,00;26,00;33,00;3,00;41,00;18,00;26,00;10,00;13,00;10,00;23,00;48,00;0,00;3,00;28,00;0,00;62,69;9,83;14,75;17,21;0,00;18,00;5,00;0,00;15,00;10,00;0,00;41,00;49,00;10,00;15,00;0,00;3,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;52,00;49,00;26,00;18,00;0,00;52,00;28,00;21,00;3,00;23,00;8,00;31,00;18,00;3,00;0,00;33,00;3,00;66,86;2,48;33,43;28,48;0,00;8,00;0,00;0,00;8,00;13,00;0,00;21,00;5,00;15,00;5,00;3,00;0,00;0,00;3,00;0,00;10,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-03-17;42,00;29,00;24,00;18,00;8,00;26,00;16,00;5,00;11,00;18,00;5,00;31,00;16,00;0,00;8,00;18,00;3,00;42,00;7,41;13,59;21,00;0,00;23,00;5,00;0,00;3,00;3,00;0,00;26,00;24,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;70,00;30,00;30,00;27,00;5,00;35,00;13,00;11,00;5,00;24,00;13,00;29,00;13,00;0,00;5,00;11,00;0,00;58,75;5,00;13,75;7,50;0,00;19,00;11,00;0,00;5,00;8,00;0,00;21,00;27,00;3,00;5,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-31;47,00;32,00;16,00;10,00;3,00;29,00;18,00;3,00;10,00;18,00;3,00;13,00;13,00;0,00;3,00;18,00;3,00;13,61;4,95;13,61;2,47;0,00;8,00;8,00;0,00;3,00;5,00;0,00;8,00;16,00;5,00;8,00;0,00;0,00;3,00;3,00;0,00;8,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-04-07;55,00;16,00;13,00;24,00;0,00;29,00;13,00;5,00;0,00;5,00;3,00;24,00;16,00;5,00;3,00;13,00;0,00;36,67;0,00;4,89;18,33;3,00;16,00;3,00;0,00;3,00;3,00;0,00;21,00;24,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-04-14;47,00;33,00;11,00;6,00;3,00;17,00;14,00;6,00;3,00;5,00;0,00;11,00;14,00;0,00;6,00;3,00;0,00;22,26;0,00;8,66;2,47;3,00;5,00;3,00;0,00;8,00;3,00;0,00;17,00;3,00;3,00;3,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;29,00;19,00;11,00;13,00;0,00;8,00;8,00;11,00;0,00;8,00;0,00;5,00;18,00;0,00;3,00;11,00;0,00;22,96;0,00;10,88;4,83;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;8,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-04-28;23,00;8,00;13,00;5,00;5,00;5,00;3,00;0,00;0,00;8,00;5,00;0,00;10,00;0,00;3,00;10,00;0,00;9,68;2,42;12,11;2,42;3,00;5,00;8,00;0,00;3,00;0,00;0,00;3,00;5,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-05-05;29,00;10,00;5,00;5,00;3,00;5,00;5,00;8,00;0,00;3,00;5,00;3,00;16,00;0,00;0,00;5,00;0,00;12,61;5,04;12,61;2,52;0,00;3,00;5,00;0,00;5,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;21,00;5,00;11,00;8,00;0,00;5,00;8,00;8,00;0,00;0,00;5,00;5,00;8,00;0,00;3,00;0,00;0,00;23,47;0,00;18,53;7,41;0,00;0,00;3,00;0,00;5,00;3,00;0,00;13,00;0,00;0,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;42,00;13,00;18,00;8,00;3,00;10,00;5,00;13,00;3,00;5,00;3,00;10,00;13,00;0,00;3,00;5,00;5,00;23,47;0,00;16,06;7,41;0,00;0,00;3,00;0,00;8,00;3,00;3,00;10,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;31,00;3,00;5,00;5,00;3,00;15,00;5,00;5,00;0,00;0,00;0,00;13,00;18,00;0,00;0,00;13,00;0,00;14,88;0,00;22,32;4,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;5,00;3,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-06-02;34,00;2,00;12,00;10,00;5,00;7,00;10,00;2,00;5,00;2,00;0,00;10,00;17,00;0,00;0,00;10,00;0,00;24,29;4,86;14,57;9,71;0,00;2,00;5,00;0,00;0,00;2,00;0,00;10,00;10,00;2,00;7,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00
2019-06-09;35,00;10,00;8,00;8,00;3,00;10,00;0,00;13,00;0,00;3,00;3,00;8,00;15,00;5,00;0,00;8,00;5,00;20,00;0,00;17,50;5,00;0,00;5,00;2,00;0,00;5,00;8,00;0,00;3,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;36,00;8,00;26,00;5,00;0,00;8,00;3,00;3,00;0,00;0,00;0,00;13,00;13,00;10,00;5,00;3,00;0,00;23,59;2,48;18,62;9,93;0,00;10,00;3,00;0,00;3,00;0,00;3,00;3,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-06-23;29,00;0,00;16,00;3,00;3,00;26,00;5,00;0,00;0,00;8,00;5,00;21,00;5,00;0,00;3,00;8,00;0,00;23,96;5,04;12,61;15,13;0,00;0,00;0,00;0,00;0,00;3,00;0,00;8,00;5,00;0,00;10,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-06-30;42,00;3,00;10,00;3,00;0,00;10,00;16,00;5,00;3,00;5,00;0,00;13,00;18,00;0,00;0,00;3,00;0,00;30,88;0,00;7,41;2,47;0,00;5,00;3,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;33,00;3,00;10,00;3,00;0,00;3,00;10,00;5,00;0,00;10,00;0,00;3,00;18,00;3,00;5,00;10,00;5,00;19,56;4,89;19,56;4,89;0,00;3,00;3,00;0,00;0,00;5,00;0,00;8,00;8,00;0,00;5,00;0,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;46,00;10,00;13,00;3,00;3,00;13,00;15,00;5,00;0,00;5,00;0,00;10,00;15,00;0,00;3,00;10,00;5,00;26,11;0,00;14,92;7,46;0,00;3,00;10,00;0,00;0,00;5,00;3,00;5,00;3,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;29,00;13,00;16,00;5,00;0,00;19,00;5,00;13,00;3,00;8,00;3,00;8,00;13,00;0,00;3,00;13,00;0,00;33,83;0,00;18,13;4,83;0,00;3,00;8,00;0,00;5,00;3,00;3,00;8,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;58,00;10,00;26,00;3,00;0,00;13,00;0,00;5,00;3,00;10,00;8,00;8,00;5,00;3,00;3,00;13,00;5,00;25,91;2,47;20,98;2,47;0,00;8,00;8,00;0,00;0,00;8,00;0,00;13,00;10,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;46,00;0,00;13,00;8,00;0,00;13,00;5,00;5,00;0,00;8,00;5,00;5,00;18,00;0,00;5,00;10,00;3,00;67,14;0,00;12,43;9,95;0,00;5,00;3,00;0,00;5,00;8,00;0,00;13,00;3,00;3,00;10,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-08-11;54,00;8,00;15,00;18,00;3,00;20,00;5,00;5,00;0,00;3,00;3,00;13,00;18,00;3,00;3,00;10,00;0,00;36,42;5,02;15,07;10,05;0,00;5,00;0,00;3,00;3,00;3,00;0,00;8,00;8,00;0,00;8,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;55,00;3,00;13,00;5,00;0,00;21,00;11,00;13,00;5,00;8,00;5,00;5,00;10,00;5,00;3,00;10,00;0,00;28,11;4,89;18,33;2,44;0,00;5,00;5,00;0,00;0,00;5,00;0,00;5,00;5,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;39,00;3,00;18,00;8,00;3,00;13,00;8,00;13,00;3,00;3,00;5,00;13,00;15,00;0,00;5,00;8,00;3,00;31,45;2,52;5,03;7,55;0,00;3,00;5,00;0,00;3,00;0,00;0,00;13,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;43,00;8,00;5,00;0,00;5,00;10,00;12,00;8,00;2,00;2,00;2,00;12,00;22,00;2,00;12,00;17,00;0,00;37,94;5,06;40,47;2,53;0,00;7,00;5,00;0,00;3,00;8,00;0,00;13,00;5,00;5,00;5,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;43,00;13,00;10,00;8,00;10,00;13,00;10,00;28,00;3,00;5,00;5,00;10,00;20,00;0,00;8,00;5,00;5,00;27,03;0,00;7,37;12,29;0,00;13,00;10,00;0,00;0,00;8,00;0,00;13,00;23,00;3,00;5,00;0,00;0,00;10,00;0,00;0,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-09-15;38,00;25,00;10,00;15,00;8,00;28,00;23,00;15,00;3,00;12,00;10,00;15,00;23,00;5,00;0,00;13,00;5,00;22,80;0,00;7,60;12,67;2,00;12,00;5,00;2,00;5,00;8,00;0,00;15,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;8,00;0,00;0,00;0,00;0,00
