Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;53,00;445,20;439,90;381,60;318,00;8,83;141,33;114,83;222,60;135,15;98,05;108,65;265,00;278,25;57,42;4,42;95,40;477,00;10,60;47,70;11,00;48,00;40,00;47,00;24,00;91,00;7,00;30,00;13,00;4,00;8,00;1,00;8,00;1,00;2,00
2019-01-13;51,00;392,70;357,00;367,20;272,00;8,50;144,50;102,00;190,58;136,89;91,26;118,11;199,75;246,50;55,25;4,25;91,80;438,60;10,20;40,80;20,00;40,00;37,00;45,00;19,00;65,00;5,00;26,00;14,00;4,00;7,00;6,00;14,00;4,00;2,00
2019-01-20;60,00;350,00;370,00;370,00;248,57;8,57;154,29;111,43;199,09;128,18;79,09;81,82;201,43;244,29;51,43;8,57;81,82;490,91;16,36;27,27;14,00;37,00;37,00;44,00;16,00;60,00;2,00;27,00;16,00;8,00;14,00;1,00;5,00;1,00;2,00
2019-01-27;55,00;355,00;320,00;350,00;204,29;15,71;141,43;86,43;187,00;129,25;88,00;96,25;177,69;211,54;38,08;8,46;88,00;473,00;11,00;33,00;12,00;32,00;27,00;31,00;22,00;85,00;2,00;26,00;10,00;3,00;10,00;8,00;15,00;3,00;1,00
2019-02-03;43,00;392,38;311,75;387,00;275,20;8,60;163,40;103,20;212,31;126,31;91,38;131,69;184,90;262,30;51,60;8,60;69,88;473,00;16,13;37,63;12,00;41,00;41,00;38,00;31,00;64,00;4,00;25,00;14,00;9,00;8,00;0,00;19,00;6,00;1,00
2019-02-10;63,00;346,50;294,00;388,50;259,88;15,75;141,75;94,50;178,04;109,57;95,87;115,04;205,80;256,20;58,80;8,40;73,50;404,25;10,50;42,00;16,00;44,00;45,00;21,00;28,00;59,00;5,00;32,00;11,00;5,00;5,00;4,00;11,00;5,00;0,00
2019-02-17;60,00;345,00;320,00;380,00;274,29;8,57;162,86;111,43;201,82;111,82;100,91;169,09;180,00;218,57;38,57;4,29;70,91;529,09;10,91;38,18;18,00;44,00;31,00;38,00;21,00;53,00;10,00;20,00;20,00;6,00;6,00;5,00;23,00;0,00;0,00
2019-02-24;48,00;341,33;309,33;389,33;256,00;8,00;136,00;96,00;168,00;114,67;77,33;117,33;218,18;231,27;52,36;8,73;69,33;442,67;21,33;26,67;17,00;36,00;36,00;37,00;34,00;43,00;6,00;23,00;18,00;5,00;10,00;2,00;12,00;0,00;1,00
2019-03-03;57,00;342,00;290,18;383,45;244,29;16,29;146,57;114,00;165,57;114,00;70,57;103,14;228,00;223,62;43,85;4,38;67,36;430,09;15,55;36,27;17,00;41,00;50,00;31,00;24,00;65,00;13,00;19,00;14,00;4,00;10,00;1,00;12,00;2,00;0,00
2019-03-10;62,00;397,83;263,50;382,33;274,57;8,86;168,29;124,00;188,70;121,30;88,96;126,70;181,57;230,29;57,57;22,14;72,33;444,33;20,67;31,00;16,00;51,00;29,00;47,00;14,00;59,00;7,00;28,00;10,00;7,00;7,00;2,00;12,00;2,00;2,00
2019-03-17;81,00;364,50;273,38;399,94;234,90;16,20;162,00;105,30;143,10;124,20;94,50;135,00;204,63;255,79;51,16;4,26;81,00;426,60;16,20;37,80;21,00;34,00;34,00;36,00;32,00;65,00;7,00;21,00;22,00;5,00;10,00;5,00;11,00;0,00;2,00
2019-03-24;64,00;314,67;272,00;421,33;224,00;8,00;136,00;112,00;152,00;114,67;93,33;112,00;170,67;234,67;42,67;8,53;96,00;448,00;5,33;48,00;19,00;42,00;27,00;36,00;25,00;56,00;11,00;25,00;24,00;11,00;4,00;2,00;16,00;2,00;2,00
2019-03-31;59,00;343,27;246,73;450,55;261,29;16,86;168,57;84,29;139,45;104,59;104,59;158,23;202,29;223,36;46,36;4,21;101,91;402,27;16,09;37,55;17,00;35,00;39,00;49,00;27,00;36,00;9,00;29,00;20,00;9,00;7,00;5,00;12,00;4,00;2,00
2019-04-07;84,00;357,00;273,00;441,00;260,40;8,40;168,00;134,40;176,13;121,94;89,42;146,32;193,20;281,40;54,60;16,80;84,00;430,50;15,75;31,50;16,00;33,00;37,00;40,00;33,00;54,00;9,00;26,00;21,00;15,00;7,00;4,00;15,00;1,00;4,00
2019-04-14;72,00;416,57;252,00;514,29;248,00;8,00;152,00;112,00;170,67;101,33;98,67;136,00;152,47;232,94;42,35;12,71;87,43;396,00;15,43;36,00;15,00;44,00;32,00;31,00;21,00;43,00;9,00;23,00;18,00;4,00;19,00;6,00;19,00;1,00;1,00
2019-04-21;68,00;282,46;256,31;428,92;229,50;8,50;161,50;102,00;144,16;103,36;81,60;130,56;191,25;242,25;46,75;8,50;88,92;455,08;10,46;31,38;19,00;49,00;40,00;32,00;31,00;27,00;17,00;22,00;14,00;9,00;11,00;2,00;7,00;1,00;5,00
2019-04-28;54,00;289,64;225,82;476,18;223,71;7,71;138,86;100,29;164,70;110,70;102,60;137,70;170,31;232,62;49,85;12,46;91,80;383,40;10,80;37,80;31,00;38,00;29,00;49,00;13,00;28,00;8,00;30,00;10,00;4,00;11,00;8,00;8,00;2,00;0,00
2019-05-05;80,00;370,00;260,00;490,00;232,00;8,00;800,00;128,00;170,67;93,33;96,00;133,33;189,47;265,26;54,74;12,63;112,00;394,67;10,67;37,33;16,00;35,00;45,00;35,00;28,00;50,00;12,00;21,00;21,00;9,00;19,00;10,00;23,00;1,00;2,00
