Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;7,00;19,00;5,00;100,00;56,00;378,00
2019-01-13;6,00;22,00;7,00;80,00;56,00;282,00
2019-01-20;5,00;16,00;5,00;72,00;44,00;275,00
2019-01-27;5,00;17,00;0,00;58,00;51,00;230,00
2019-02-03;5,00;6,00;1,00;57,00;44,00;195,00
2019-02-10;0,00;12,00;2,00;64,00;47,00;39,00
2019-02-17;3,00;9,00;1,00;49,00;38,00;234,00
2019-02-24;5,00;10,00;9,00;55,00;42,00;190,00
2019-03-03;5,00;9,00;6,00;54,00;43,00;185,00
2019-03-10;4,00;6,00;5,00;41,00;35,00;128,00
2019-03-17;6,00;6,00;1,00;58,00;21,00;234,00
2019-03-24;5,00;9,00;3,00;40,00;31,00;185,00
2019-03-31;5,00;8,00;4,00;62,00;31,00;150,00
2019-04-07;5,00;8,00;5,00;56,00;43,00;135,00
2019-04-14;3,00;3,00;7,00;37,00;29,00;168,00
2019-04-21;3,00;3,00;0,00;48,00;34,00;174,00
2019-04-28;1,00;11,00;1,00;49,00;28,00;58,00
2019-05-05;5,00;4,00;5,00;56,00;41,00;160,00
2019-05-12;1,00;6,00;3,00;72,00;28,00;54,00
2019-05-19;3,00;3,00;1,00;60,00;24,00;168,00
2019-05-26;5,00;6,00;2,00;43,00;24,00;120,00
2019-06-02;6,00;6,00;1,00;75,00;21,00;144,00
2019-06-09;4,00;8,00;2,00;84,00;27,00;112,00
2019-06-16;2,00;2,00;5,00;90,00;27,00;108,00
2019-06-23;6,00;10,00;0,00;86,00;25,00;168,00
2019-06-30;2,00;10,00;2,00;56,00;29,00;100,00
2019-07-07;5,00;7,00;2,00;65,00;33,00;115,00
2019-07-14;5,00;6,00;2,00;58,00;23,00;140,00
2019-07-21;4,00;5,00;1,00;69,00;37,00;116,00
2019-07-28;3,00;8,00;5,00;63,00;25,00;180,00
2019-08-04;4,00;10,00;7,00;53,00;25,00;100,00
2019-08-11;0,00;6,00;4,00;47,00;33,00;34,00
2019-08-18;6,00;9,00;1,00;53,00;42,00;192,00
2019-08-25;4,00;11,00;6,00;64,00;29,00;132,00
2019-09-01;7,00;4,00;5,00;73,00;38,00;217,00
2019-09-08;6,00;13,00;5,00;62,00;39,00;132,00
2019-09-15;5,00;7,00;2,00;73,00;40,00;120,00
2019-09-22;6,00;10,00;1,00;85,00;33,00;186,00
2019-09-29;6,00;7,00;1,00;57,00;32,00;168,00
2019-10-06;7,00;6,00;2,00;50,00;29,00;210,00
2019-10-13;8,00;7,00;6,00;62,00;29,00;232,00
2019-10-20;12,00;6,00;4,00;38,00;25,00;192,00
2019-10-27;2,00;6,00;2,00;44,00;27,00;112,00
2019-11-03;3,00;9,00;4,00;50,00;25,00;81,00
2019-11-10;9,00;4,00;3,00;45,00;24,00;130,50
2019-11-17;8,00;13,00;1,00;41,00;21,00;224,00
2019-11-24;8,00;11,00;7,00;47,00;33,00;192,00
2019-12-01;8,00;1,00;3,00;39,00;32,00;192,00
2019-12-08;10,00;9,00;5,00;39,00;30,00;95,00
2019-12-15;4,00;10,00;4,00;48,00;26,00;104,00
2019-12-22;4,00;5,00;4,00;61,00;32,00;148,00
2019-12-29;9,00;15,00;6,00;84,00;67,00;238,50
2020-01-05;4,00;20,00;3,00;72,00;42,00;220,00
2020-01-12;12,00;16,00;4,00;81,00;48,00;270,00
2020-01-19;10,00;11,00;3,00;76,00;45,00;215,00
2020-01-26;2,00;16,00;5,00;74,00;34,00;172,00
2020-02-02;4,00;28,00;9,00;42,00;39,00;136,00
2020-02-09;3,00;12,00;12,00;57,00;52,00;108,00
2020-02-16;8,00;11,00;9,00;52,00;40,00;156,00
