Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;20,00;0,00;220,00;135,00;0,00;20,00
2019-01-13;10,00;2,50;220,00;107,50;0,00;17,00
2019-01-20;10,00;2,50;207,50;140,00;0,00;20,00
2019-01-27;19,00;0,00;206,29;108,57;0,00;12,00
2019-02-03;22,00;2,44;166,22;100,22;0,00;22,00
2019-02-10;18,00;0,00;159,43;136,29;0,00;8,00
2019-02-17;13,00;5,20;223,60;114,40;0,00;13,00
2019-02-24;20,00;7,50;147,50;105,00;0,00;22,00
2019-03-03;7,00;4,67;151,67;84,00;0,00;17,00
2019-03-10;20,00;0,00;177,50;87,50;0,00;15,00
2019-03-17;8,00;8,00;170,67;144,00;0,00;23,00
2019-03-24;13,00;2,60;148,20;78,00;0,00;13,00
2019-03-31;20,00;2,50;137,50;97,50;7,50;25,00
2019-04-07;18,00;7,71;151,71;131,14;0,00;28,00
2019-04-14;19,00;0,00;133,00;111,29;0,00;13,00
2019-04-21;15,00;0,00;165,00;100,00;0,00;10,00
2019-04-28;5,00;5,00;155,00;102,50;0,00;15,00
2019-05-05;10,00;0,00;112,50;95,00;0,00;13,00
2019-05-12;18,00;7,71;136,29;90,00;2,57;15,00
2019-05-19;10,00;5,00;152,50;95,00;0,00;13,00
2019-05-26;17,00;0,00;119,00;111,71;2,43;12,00
2019-06-02;14,00;2,33;128,33;121,33;0,00;12,00
2019-06-09;17,00;2,43;145,71;77,71;4,86;17,00
2019-06-16;10,00;0,00;137,50;105,00;2,50;10,00
2019-06-23;7,00;0,00;119,00;86,33;0,00;15,00
2019-06-30;18,00;2,57;144,00;118,29;2,57;13,00
2019-07-07;10,00;2,50;157,50;90,00;2,50;37,00
2019-07-14;10,00;7,50;110,00;80,00;0,00;12,00
2019-07-21;21,00;5,25;199,50;76,13;0,00;18,00
2019-07-28;20,00;5,00;180,00;125,00;0,00;18,00
2019-08-04;7,00;0,00;179,67;93,33;2,33;17,00
2019-08-11;20,00;0,00;182,50;92,50;0,00;15,00
2019-08-18;18,00;2,57;141,43;95,14;2,57;20,00
2019-08-25;15,00;7,50;165,00;105,00;2,50;35,00
2019-09-01;27,00;5,40;172,80;116,10;0,00;17,00
2019-09-08;19,00;2,38;171,00;121,13;0,00;19,00
2019-09-15;22,00;2,44;173,56;102,67;2,44;22,00
2019-09-22;12,00;6,00;177,00;102,00;0,00;23,00
2019-09-29;12,00;2,40;144,00;81,60;0,00;23,00
2019-10-06;16,00;5,33;146,67;125,33;0,00;25,00
2019-10-13;26,00;0,00;163,80;106,60;0,00;28,00
2019-10-20;18,00;10,29;151,71;100,29;2,57;14,00
2019-10-27;7,00;9,33;140,00;67,67;0,00;5,00
2019-11-03;62,00;7,75;157,58;103,33;0,00;22,00
2019-11-10;16,00;2,67;128,00;77,33;2,67;16,00
2019-11-17;7,00;4,67;149,33;77,00;2,33;24,00
2019-11-24;13,00;2,60;124,80;93,60;0,00;26,00
2019-12-01;13,00;0,00;111,80;67,60;0,00;13,00
2019-12-08;9,00;2,25;110,25;78,75;2,25;14,00
2019-12-15;12,00;7,20;139,20;100,80;0,00;17,00
2019-12-22;23,00;2,56;161,00;89,44;0,00;21,00
2019-12-29;21,00;10,50;262,50;139,13;7,88;30,00
2020-01-05;26,00;0,00;213,20;143,00;2,60;13,00
2020-01-12;17,00;4,86;206,43;116,57;2,43;27,00
