Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;9,00;60,00;14,00
2019-01-13;59,00;59,00;32,00
2019-01-20;32,00;28,00;5,00
2019-01-27;4,00;4,00;0,00
2019-02-03;9,00;27,00;5,00
2019-02-10;18,00;37,00;9,00
2019-02-17;14,00;19,00;19,00
2019-02-24;23,00;28,00;9,00
2019-03-03;23,00;27,00;18,00
2019-03-10;18,00;18,00;14,00
2019-03-17;14,00;28,00;14,00
2019-03-24;5,00;5,00;10,00
2019-03-31;19,00;19,00;0,00
2019-04-07;14,00;19,00;0,00
2019-04-14;29,00;20,00;10,00
2019-04-21;14,00;38,00;5,00
2019-04-28;9,00;18,00;5,00
2019-05-05;5,00;33,00;9,00
2019-05-12;14,00;19,00;9,00
2019-05-19;5,00;23,00;5,00
2019-05-26;18,00;18,00;5,00
2019-06-02;13,00;22,00;4,00
2019-06-09;4,00;32,00;9,00
2019-06-16;9,00;14,00;9,00
2019-06-23;5,00;9,00;0,00
2019-06-30;14,00;28,00;5,00
2019-07-07;5,00;9,00;5,00
2019-07-14;18,00;23,00;5,00
2019-07-21;9,00;14,00;14,00
2019-07-28;14,00;19,00;5,00
2019-08-04;0,00;14,00;14,00
2019-08-11;23,00;23,00;5,00
2019-08-18;5,00;14,00;0,00
2019-08-25;9,00;23,00;5,00
2019-09-01;13,00;31,00;9,00
2019-09-08;18,00;41,00;14,00
2019-09-15;18,00;22,00;9,00
2019-09-22;0,00;21,00;13,00
2019-09-29;17,00;22,00;4,00
2019-10-06;21,00;21,00;17,00
2019-10-13;9,00;35,00;4,00
2019-10-20;4,00;13,00;17,00
2019-10-27;21,00;25,00;17,00
2019-11-03;24,00;20,00;8,00
2019-11-10;25,00;17,00;8,00
2019-11-17;20,00;33,00;16,00
2019-11-24;8,00;4,00;8,00
2019-12-01;16,00;12,00;8,00
2019-12-08;17,00;21,00;13,00
2019-12-15;35,00;18,00;0,00
2019-12-22;67,00;34,00;14,00
2019-12-29;43,00;39,00;30,00
2020-01-05;64,00;40,00;12,00
2020-01-12;23,00;19,00;19,00
2020-01-19;12,00;45,00;29,00
2020-01-26;8,00;12,00;12,00
2020-02-02;20,00;24,00;12,00
2020-02-09;19,00;24,00;8,00
2020-02-16;23,00;16,00;4,00
2020-02-23;15,00;19,00;15,00
2020-03-01;31,00;20,00;16,00
2020-03-08;15,00;19,00;8,00
2020-03-15;7,00;41,00;0,00
2020-03-22;7,00;29,00;4,00
2020-03-29;21,00;32,00;11,00
2020-04-05;14,00;4,00;7,00
2020-04-12;22,00;26,00;4,00
2020-04-19;7,00;47,00;11,00
2020-04-26;7,00;28,00;14,00
2020-05-03;18,00;32,00;0,00
2020-05-10;17,00;14,00;0,00
2020-05-17;4,00;25,00;11,00
2020-05-24;4,00;38,00;4,00
2020-05-31;3,00;17,00;0,00
2020-06-07;10,00;7,00;3,00
2020-06-14;4,00;18,00;11,00
2020-06-21;11,00;22,00;11,00
2020-06-28;14,00;28,00;7,00
2020-07-05;11,00;29,00;11,00
2020-07-12;15,00;19,00;4,00
2020-07-19;20,00;20,00;8,00
2020-07-26;16,00;28,00;24,00
2020-08-02;12,00;12,00;8,00
2020-08-09;12,00;28,00;0,00
2020-08-16;12,00;35,00;4,00
2020-08-23;4,00;27,00;8,00
2020-08-30;12,00;28,00;4,00
2020-09-06;4,00;20,00;4,00
2020-09-13;16,00;12,00;4,00
2020-09-20;4,00;16,00;12,00
2020-09-27;23,00;8,00;12,00
2020-10-04;12,00;36,00;0,00
2020-10-11;29,00;25,00;4,00
2020-10-18;41,00;17,00;4,00
2020-10-25;20,00;20,00;0,00
2020-11-01;27,00;20,00;16,00
2020-11-08;23,00;20,00;8,00
2020-11-15;12,00;16,00;4,00
2020-11-22;23,00;20,00;8,00
2020-11-29;20,00;16,00;4,00
2020-12-06;12,00;16,00;0,00
2020-12-13;8,00;29,00;4,00
2020-12-20;18,00;28,00;0,00
2020-12-27;53,00;25,00;4,00
