Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;31,00;10,00;0,00;16,00;16,00;5,00;0,00;21,00;5,00;0,00;0,00;25,36;45,09;52,00;0,00;5,00;16,00;0,00;0,00;128,77;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;5,00;26,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-01-13;35,00;0,00;10,00;0,00;0,00;5,00;5,00;10,00;0,00;8,75;0,00;8,75;29,17;5,00;0,00;35,00;5,00;0,00;0,00;79,33;0,00;5,00;5,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;10,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-01-20;24,00;5,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;6,00;0,00;24,00;39,00;5,00;5,00;0,00;0,00;0,00;0,00;110,40;0,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;38,00;5,00;5,00;0,00;5,00;9,00;0,00;0,00;0,00;0,00;5,85;5,85;32,15;5,00;10,00;10,00;0,00;9,50;0,00;83,13;0,00;0,00;14,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;14,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;19,00;5,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;5,43;32,57;0,00;5,00;19,00;10,00;4,75;0,00;59,38;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;44,00;5,00;0,00;20,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;14,67;38,13;0,00;0,00;10,00;15,00;0,00;0,00;83,37;0,00;0,00;5,00;5,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;25,00;5,00;10,00;15,00;5,00;0,00;0,00;15,00;0,00;0,00;0,00;5,56;22,22;5,00;0,00;0,00;0,00;0,00;0,00;84,09;0,00;5,00;5,00;5,00;10,00;0,00;5,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;39,00;0,00;5,00;25,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;9,00;39,00;0,00;0,00;10,00;5,00;0,00;0,00;78,00;0,00;0,00;0,00;5,00;10,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;51,00;5,00;5,00;10,00;0,00;0,00;0,00;5,00;0,00;5,67;0,00;8,50;25,50;0,00;0,00;15,00;5,00;0,00;0,00;41,73;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;10,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;35,00;5,00;5,00;0,00;5,00;5,00;0,00;5,00;0,00;5,83;0,00;5,83;20,42;5,00;0,00;10,00;0,00;0,00;0,00;86,33;0,00;0,00;0,00;0,00;15,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;26,00;0,00;5,00;5,00;15,00;5,00;0,00;0,00;0,00;0,00;0,00;8,67;26,00;5,00;0,00;5,00;5,00;0,00;0,00;82,73;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-03-24;31,00;10,00;0,00;5,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;6,20;0,00;0,00;0,00;5,00;0,00;0,00;0,00;35,77;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;25,00;5,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;33,33;0,00;0,00;5,00;5,00;0,00;0,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;65,00;10,00;0,00;5,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;26,59;5,00;0,00;5,00;5,00;0,00;0,00;34,82;4,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;57,00;5,00;15,00;10,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;5,00;10,00;0,00;0,00;21,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;22,00;5,00;0,00;22,00;0,00;0,00;5,00;0,00;0,00;6,29;0,00;6,29;22,00;0,00;0,00;0,00;11,00;0,00;0,00;80,67;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;11,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
