Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;81,00;93,66;30,38;25,31;0,50;21,00;12,00;23,00;24,00;9,00;24,00;9,00;2,00;8,00;7,00;2,00;7,00;2,00;13,00;6,00;10,00;2,00;1,00;0,50;3,00;1,00;1,00;0,00;0,50;2,00;0,00;0,00
2019-01-13;75,00;62,50;27,50;22,50;0,50;23,00;12,00;20,00;21,00;9,00;21,00;11,00;3,00;9,00;9,00;1,00;5,00;2,00;8,00;7,00;8,00;2,00;2,00;0,50;3,00;2,00;0,50;1,00;0,50;3,00;0,50;0,50
2019-01-20;69,00;56,68;22,18;22,18;0,50;24,00;15,00;16,00;22,00;8,00;21,00;7,00;1,00;9,00;7,00;2,00;8,00;2,00;9,00;7,00;9,00;0,50;2,00;0,50;3,00;1,00;1,00;0,50;0,50;2,00;0,50;0,50
2019-01-27;71,00;45,64;25,36;20,29;0,50;20,00;13,00;18,00;23,00;9,00;18,00;8,00;1,00;9,00;8,00;1,00;7,00;2,00;8,00;6,00;8,00;1,00;1,00;0,50;3,00;1,00;0,50;1,00;0,50;5,00;0,00;0,00
2019-02-03;70,00;45,00;20,00;17,50;0,50;19,00;13,00;16,00;23,00;9,00;20,00;10,00;1,00;8,00;9,00;1,00;6,00;2,00;6,00;7,00;7,00;1,00;2,00;0,00;3,00;0,50;0,50;1,00;0,50;6,00;0,00;0,00
2019-02-10;61,00;39,04;17,08;17,08;0,00;17,00;13,00;19,00;19,00;8,00;20,00;12,00;3,00;7,00;8,00;1,00;5,00;1,00;7,00;6,00;8,00;1,00;3,00;0,00;2,00;0,50;0,50;1,00;1,00;5,00;0,00;0,50
2019-02-17;65,00;42,50;22,50;22,50;0,50;22,00;14,00;19,00;23,00;8,00;17,00;11,00;3,00;10,00;8,00;1,00;6,00;3,00;9,00;5,00;8,00;1,00;2,00;0,50;3,00;0,00;0,50;1,00;0,50;4,00;0,00;0,50
2019-02-24;66,00;48,89;19,56;22,00;0,50;22,00;16,00;22,00;23,00;11,00;17,00;10,00;2,00;11,00;9,00;1,00;6,00;3,00;8,00;7,00;11,00;1,00;2,00;0,50;3,00;0,50;0,50;1,00;0,00;4,00;0,00;0,50
2019-03-03;71,00;43,11;20,29;17,75;0,50;21,00;11,00;19,00;21,00;9,00;22,00;7,00;3,00;12,00;9,00;2,00;9,00;2,00;7,00;7,00;10,00;2,00;4,00;0,50;3,00;0,50;0,50;1,00;0,50;4,00;0,00;0,00
2019-03-10;67,00;52,11;22,33;19,85;0,50;20,00;11,00;17,00;18,00;8,00;19,00;12,00;2,00;13,00;8,00;1,00;8,00;3,00;8,00;5,00;8,00;2,00;4,00;0,00;2,00;0,50;0,50;1,00;0,50;6,00;0,00;0,50
2019-03-17;69,00;46,00;28,11;20,44;0,00;22,00;16,00;23,00;20,00;8,00;23,00;10,00;2,00;13,00;10,00;1,00;5,00;3,00;9,00;7,00;12,00;1,00;2,00;0,00;3,00;0,50;0,50;1,00;1,00;3,00;0,00;0,00
2019-03-24;67,00;44,67;22,33;24,81;0,50;13,00;11,00;21,00;20,00;10,00;20,00;9,00;4,00;12,00;9,00;1,00;6,00;3,00;10,00;5,00;8,00;1,00;2,00;0,50;2,00;0,50;0,50;1,00;0,50;5,00;0,00;0,00
2019-03-31;65,00;40,00;15,00;30,00;0,50;19,00;13,00;21,00;26,00;11,00;21,00;9,00;2,00;12,00;11,00;1,00;4,00;2,00;13,00;7,00;7,00;1,00;2,00;0,50;6,00;0,00;1,00;0,50;0,50;3,00;0,00;0,00
