Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;28,00;252,00;72,80;0,00;39,20;160,00;12,00;112,00;88,00;152,92;47,38;79,69;68,92;28,00;14,74;0,00;0,00;3,73;3,73;0,00;13,07;5,00;0,00;32,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;51,00;224,40;81,60;10,20;30,60;174,25;0,00;80,75;127,50;114,75;31,88;51,00;106,25;45,33;18,42;8,50;4,25;3,78;13,22;3,78;3,78;9,00;0,00;14,00;9,00;0,00;9,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00
2019-01-20;45,00;235,00;80,00;0,00;45,00;163,64;8,18;65,45;65,45;98,57;12,86;66,43;115,71;68,23;31,94;18,87;0,00;3,75;26,25;3,75;0,00;18,00;18,00;18,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;22,00;231,00;88,00;5,50;60,50;171,60;0,00;44,00;110,00;96,80;41,80;79,20;101,20;38,50;12,38;8,25;4,13;3,67;3,67;3,67;9,17;9,00;4,00;13,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-02-03;18,00;153,00;99,00;9,00;67,50;153,00;0,00;27,00;94,50;70,00;34,00;48,00;96,00;18,00;4,15;4,15;0,00;3,60;12,60;9,00;3,60;23,00;5,00;18,00;0,00;0,00;23,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;37,00;206,14;95,14;0,00;63,43;139,78;0,00;61,67;115,11;56,59;37,00;43,53;100,12;37,00;28,46;4,27;4,27;9,25;3,70;22,20;9,25;14,00;0,00;14,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;24,00;168,00;100,80;4,80;33,60;160,00;0,00;32,00;60,00;82,91;24,00;74,18;98,18;48,00;24,00;14,12;14,12;0,00;5,54;5,54;5,54;10,00;0,00;29,00;0,00;0,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;23,00;188,60;59,80;0,00;50,60;141,83;0,00;34,50;95,83;77,36;23,00;73,18;92,00;40,59;13,53;0,00;21,65;0,00;0,00;5,31;5,31;9,00;14,00;28,00;0,00;0,00;19,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;14,00;172,67;88,67;0,00;32,67;158,67;4,67;42,00;51,33;88,00;44,00;36,00;70,00;64,40;28,00;9,80;4,20;0,00;8,75;8,75;14,00;24,00;0,00;24,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;36,00;303,43;92,57;0,00;61,71;212,00;4,00;16,00;44,00;59,29;36,00;48,71;91,06;18,00;4,15;13,85;0,00;9,00;0,00;9,00;9,00;9,00;5,00;9,00;0,00;0,00;14,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;28,00;212,80;84,00;5,60;28,00;168,00;12,00;40,00;88,00;64,62;28,00;28,00;127,08;40,60;8,40;14,00;9,80;3,73;3,73;3,73;13,07;14,00;0,00;18,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;28,00;252,00;123,20;0,00;22,40;136,00;0,00;80,00;76,00;62,46;38,77;47,38;114,15;32,20;0,00;14,00;4,20;5,60;5,60;0,00;5,60;5,00;0,00;19,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;23,00;225,40;69,00;4,60;13,80;168,67;26,83;65,17;65,17;60,64;60,64;69,00;83,64;62,24;9,47;9,47;9,47;8,85;5,31;8,85;14,15;9,00;0,00;19,00;9,00;0,00;9,00;0,00;0,00;9,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;37,00;306,57;68,71;0,00;21,14;213,78;4,11;57,56;111,00;49,33;22,61;53,44;63,72;51,23;22,77;9,96;9,96;5,55;5,55;14,80;9,25;42,00;0,00;19,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;9,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;24,00;264,00;67,20;0,00;33,60;188,00;12,00;28,00;80,00;98,18;50,18;34,91;69,82;57,88;9,88;9,88;4,24;9,23;5,54;0,00;18,46;19,00;5,00;14,00;0,00;0,00;10,00;5,00;5,00;0,00;5,00;0,00;0,00;10,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;49,00;332,11;54,44;0,00;32,67;220,50;8,17;32,67;118,42;102,26;34,09;34,09;68,17;59,09;20,18;20,18;4,32;0,00;9,42;0,00;9,42;29,00;10,00;39,00;5,00;0,00;14,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-04-28;92,00;327,11;97,11;0,00;46,00;351,27;4,18;25,09;200,73;147,63;55,63;27,81;115,53;82,09;18,40;14,15;8,49;12,88;12,88;12,88;18,40;28,00;5,00;18,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;54,00;358,36;68,73;0,00;24,55;232,62;4,15;58,15;220,15;77,76;49,68;49,68;73,44;103,74;14,21;8,53;14,21;35,38;9,31;3,72;3,72;14,00;9,00;27,00;5,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;55,00;385,00;55,00;5,00;20,00;334,23;0,00;55,00;181,92;74,04;40,19;40,19;55,00;91,67;18,33;8,46;8,46;18,33;3,67;12,83;18,33;14,00;5,00;9,00;5,00;0,00;5,00;5,00;5,00;9,00;0,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;77,00;420,93;77,00;5,13;15,40;344,47;4,05;56,74;105,37;117,64;36,36;49,19;104,81;41,35;14,26;4,28;8,56;12,83;12,83;18,33;9,17;23,00;27,00;27,00;5,00;0,00;14,00;5,00;0,00;5,00;18,00;0,00;5,00;9,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;72,00;298,29;72,00;5,14;30,86;312,00;4,00;88,00;172,00;76,24;31,76;27,53;63,53;76,24;26,82;8,47;8,47;22,15;0,00;12,92;9,23;14,00;9,00;23,00;5,00;0,00;18,00;0,00;4,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
