Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;69,00;122,67;30,67;53,67;138,00;39,43;29,57;985,71;9,86;15,92;84,92;318,46;42,46;492,86;14,79;14,79;167,57;69,00;26,66;54,89;26,66;0,00;13,80;55,20;0,00;0,00;0,00;0,00;28,00;14,00;55,00;69,00;0,00;69,00;13,46;0,00;138,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;28,00;91,00;112,00;35,00;98,00;37,33;84,00;373,33;9,33;28,00;56,00;280,00;56,00;373,33;0,00;14,00;144,67;0,00;28,00;28,00;72,47;0,00;0,00;84,00;14,00;0,00;0,00;0,00;14,00;14,00;14,00;41,00;0,00;14,00;14,00;0,00;157,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;0,00;14,00;11,00;12,00;11,00;1,00;0,00;36,00;0,00;3,00;5,00;33,00;10,00;33,00;6,00;3,00;19,00;0,00;42,00;8,00;8,00;12,00;58,00;35,00;0,00;0,00;0,00;0,00;13,00;13,00;0,00;40,00;0,00;16,00;8,00;8,00;48,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;40,00;112,00;40,00;40,00;112,00;60,00;70,00;330,00;10,00;25,00;15,00;165,00;15,00;195,00;40,00;15,00;55,00;12,31;38,46;78,46;26,15;40,00;0,00;93,71;0,00;0,00;13,00;27,00;0,00;0,00;0,00;13,00;0,00;53,33;40,00;0,00;53,33;13,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;14,00;98,00;35,00;91,00;63,00;14,00;42,00;686,00;0,00;0,00;37,33;158,67;37,33;252,00;14,00;42,00;107,33;14,00;40,44;0,00;14,00;0,00;28,00;28,00;0,00;0,00;14,00;14,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;43,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;28,00;105,00;49,00;28,00;245,00;74,67;18,67;364,00;18,67;16,80;44,80;145,60;61,60;228,67;28,00;42,00;42,00;14,00;14,00;40,44;28,00;14,00;14,00;56,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;14,00;14,00;0,00;43,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;14,00;161,00;42,00;28,00;133,00;35,00;0,00;217,00;0,00;0,00;14,00;191,33;51,33;308,00;0,00;14,00;56,00;0,00;85,56;28,00;28,00;0,00;14,00;26,92;0,00;0,00;0,00;15,00;15,00;0,00;0,00;0,00;0,00;14,00;14,00;14,00;93,33;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;28,00;119,00;49,00;28,00;49,00;28,00;28,00;354,67;46,67;44,80;28,00;224,00;89,60;191,33;0,00;56,00;93,33;0,00;28,00;42,00;14,00;0,00;0,00;68,32;0,00;0,00;0,00;0,00;0,00;28,00;0,00;42,00;14,00;0,00;13,18;0,00;41,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;71,00;55,22;71,00;55,22;102,56;26,63;17,75;337,25;0,00;27,31;27,31;114,69;43,69;179,87;0,00;14,20;85,20;14,20;42,60;14,20;14,20;13,74;0,00;56,11;0,00;14,00;14,00;0,00;0,00;0,00;0,00;28,00;0,00;13,52;13,52;0,00;55,79;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;27,00;33,75;33,75;33,75;108,00;27,00;36,00;270,00;0,00;0,00;16,20;167,40;54,00;90,00;13,50;27,00;36,00;0,00;41,29;27,00;0,00;0,00;27,00;40,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;40,50;0,00;27,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;28,00;28,00;63,00;28,00;105,00;37,33;9,33;270,67;9,33;16,80;16,80;179,20;89,60;172,67;0,00;14,00;51,33;0,00;28,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;14,00;14,00;14,00;28,00;28,00;0,00;14,00;98,00;0,00;14,00;23,33;112,00;14,00;93,33;14,00;56,00;93,33;0,00;14,00;0,00;14,00;0,00;28,00;43,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,75;0,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;0,00;11,00;7,00;4,00;15,00;0,00;2,00;15,00;2,00;0,00;0,00;13,00;5,00;3,00;0,00;3,00;3,00;0,00;9,00;27,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;14,00;49,00;0,00;14,00;63,00;14,00;0,00;98,00;0,00;14,00;0,00;0,00;23,33;0,00;0,00;28,00;28,00;0,00;0,00;54,44;14,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;14,00;0,00;29,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;15,00;15,00;60,00;0,00;30,00;15,00;0,00;0,00;15,00;0,00;0,00;40,00;25,00;30,00;0,00;0,00;75,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;15,00;82,50;60,00;0,00;0,00;37,50;15,00;22,50;15,00;0,00;0,00;40,00;0,00;30,00;0,00;0,00;45,00;0,00;15,00;0,00;0,00;0,00;0,00;15,00;15,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;0,00;2,00;4,00;4,00;9,00;1,00;0,00;10,00;1,00;0,00;0,00;3,00;8,00;9,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;14,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;8,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
