Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;28,00;658,00;630,00;336,00;248,50;10,50;157,50;206,50;220,00;232,00;128,00;204,00;128,33;77,00;105,00;28,00;77,00;110,25;5,25;43,75;4,20;85,40;51,80;89,60;18,00;23,00;5,00;27,00;9,00;9,00;9,00;5,00;9,00;5,00;0,00
2019-01-13;51,00;510,00;573,75;306,00;180,20;23,80;173,40;241,40;200,08;223,62;86,31;192,23;76,50;108,95;67,23;27,82;91,80;129,20;23,80;37,40;4,14;74,43;74,43;60,65;5,00;46,00;18,00;27,00;0,00;5,00;9,00;0,00;14,00;5,00;0,00
2019-01-20;45,00;570,00;510,00;375,00;197,31;13,85;169,62;193,85;195,00;202,50;52,50;101,25;120,79;75,79;66,32;14,21;77,88;124,62;19,04;64,04;13,64;98,18;45,00;31,36;13,00;49,00;9,00;62,00;4,00;4,00;13,00;0,00;4,00;0,00;4,00
2019-01-27;22,00;451,00;440,00;231,00;216,86;9,43;103,71;154,00;161,33;278,67;88,00;161,33;103,40;112,20;41,80;4,40;22,00;84,62;13,54;35,54;12,94;119,06;63,41;68,59;9,00;36,00;4,00;53,00;0,00;13,00;0,00;0,00;9,00;0,00;0,00
2019-02-03;18,00;720,00;792,00;342,00;177,00;21,00;108,00;216,00;252,00;234,00;165,60;136,80;146,25;96,75;78,75;18,00;62,18;93,27;18,00;85,09;30,86;91,29;74,57;47,57;18,00;23,00;5,00;50,00;14,00;5,00;0,00;0,00;0,00;5,00;0,00
2019-02-10;37,00;542,67;505,67;234,33;218,64;26,91;158,09;238,82;155,40;240,50;96,20;125,80;67,06;108,69;60,13;27,75;31,95;124,45;13,45;55,50;13,70;69,89;52,07;102,78;28,00;0,00;0,00;37,00;5,00;5,00;5,00;5,00;9,00;5,00;5,00
2019-02-17;24,00;528,00;432,00;240,00;315,43;13,71;144,00;192,00;208,00;236,00;152,00;180,00;93,60;122,40;52,80;33,60;68,57;89,14;5,14;63,43;14,67;52,00;28,00;70,67;5,00;43,00;10,00;43,00;10,00;5,00;5,00;5,00;5,00;0,00;5,00
2019-02-24;23,00;517,50;529,00;264,50;272,71;3,29;187,29;203,71;141,83;249,17;122,67;180,17;115,00;110,40;87,40;4,60;64,07;64,07;23,00;46,00;23,00;74,41;41,94;41,94;5,00;28,00;0,00;56,00;9,00;23,00;0,00;5,00;9,00;0,00;0,00
2019-03-03;14,00;644,00;588,00;266,00;206,50;21,00;350,00;262,50;136,50;175,00;101,50;175,00;112,00;130,67;74,67;4,67;49,00;152,25;5,25;54,25;29,40;49,00;43,40;68,60;23,00;37,00;14,00;28,00;33,00;19,00;5,00;0,00;14,00;0,00;0,00
2019-03-10;36,00;516,00;468,00;252,00;232,36;22,91;160,36;268,36;151,20;259,20;100,80;147,60;94,50;69,75;87,75;18,00;57,27;163,64;8,18;62,18;17,33;85,33;58,67;53,33;9,00;59,00;5,00;54,00;5,00;0,00;5,00;9,00;23,00;0,00;0,00
