Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;35,00;42,00;5,25;5,25;8,75;27,00;0,00;3,00;13,00;225,56;15,56;15,56;15,56;6,09;97,39;10,65;1,52;7,00;5,00;5,00;2,00;74,77;4,77;7,95;3,18;0,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;63,00;50,75;7,00;3,50;5,25;26,00;0,00;3,00;15,00;244,59;14,82;7,41;37,06;9,00;76,50;9,00;0,00;3,00;5,00;2,00;0,00;105,53;6,30;25,20;3,15;0,00;0,00;0,00;0,00;6,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;34,00;50,11;1,79;10,74;7,16;21,00;2,00;2,00;18,00;249,33;7,56;1,89;26,44;10,82;71,09;7,73;1,55;5,00;2,00;11,00;0,00;74,48;6,48;17,81;4,86;0,00;0,00;0,00;0,00;10,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;51,00;43,97;5,28;7,03;5,28;14,00;2,00;8,00;18,00;200,36;18,21;10,93;36,43;9,00;57,00;10,50;0,00;6,00;3,00;5,00;0,00;84,47;4,78;19,13;4,78;0,00;3,00;0,00;0,00;11,00;0,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;55,00;53,23;5,32;3,55;1,77;28,00;3,00;2,00;22,00;187,00;11,00;11,00;14,67;6,11;71,81;7,64;0,00;6,00;5,00;3,00;0,00;74,41;3,24;16,18;4,85;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;45,00;55,38;3,46;1,73;3,46;8,00;3,00;0,00;24,00;213,75;30,00;11,25;22,50;9,00;64,50;6,00;0,00;6,00;0,00;5,00;2,00;81,96;8,04;16,07;3,21;0,00;0,00;0,00;0,00;10,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;46,00;63,04;5,11;11,93;0,00;16,00;3,00;0,00;29,00;233,83;19,17;7,67;23,00;14,84;44,52;5,94;0,00;13,00;0,00;13,00;0,00;88,83;6,34;19,03;7,93;0,00;0,00;0,00;2,00;13,00;2,00;2,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;51,00;73,86;8,79;3,52;1,76;16,00;3,00;3,00;6,00;286,38;11,77;7,85;31,38;10,82;69,55;10,82;3,09;3,00;2,00;5,00;0,00;84,47;6,38;19,13;3,19;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;2,00;0,00;0,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-03-03;53,00;65,37;7,07;3,53;7,07;29,00;0,00;2,00;24,00;257,43;15,14;7,57;22,71;12,11;51,49;9,09;1,51;10,00;2,00;8,00;0,00;65,85;9,64;16,06;3,21;0,00;2,00;0,00;0,00;11,00;2,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;63,00;94,50;1,75;0,00;5,25;41,00;0,00;0,00;23,00;211,24;14,82;3,71;22,24;19,98;70,68;10,76;1,54;3,00;0,00;12,00;0,00;126,00;3,23;16,15;8,08;0,00;0,00;0,00;0,00;8,00;0,00;0,00;2,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;58,00;63,27;1,76;7,03;8,79;38,00;2,00;3,00;15,00;324,80;15,47;7,73;27,07;4,58;70,21;15,26;0,00;5,00;2,00;8,00;2,00;104,72;19,33;12,89;6,44;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;43,00;67,08;5,16;3,44;3,44;33,00;0,00;0,00;28,00;226,73;11,73;7,82;23,45;13,82;72,18;3,07;0,00;10,00;2,00;7,00;2,00;97,15;11,15;27,07;6,37;0,00;0,00;0,00;2,00;12,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;53,00;67,13;5,30;7,07;1,77;26,00;0,00;5,00;17,00;283,93;15,14;3,79;26,50;19,69;59,06;6,06;0,00;13,00;5,00;7,00;0,00;109,21;1,61;12,85;8,03;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;7,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;57,00;87,28;3,56;7,13;7,13;35,00;0,00;3,00;28,00;269,80;15,20;7,60;41,80;9,24;53,92;9,24;0,00;0,00;0,00;2,00;0,00;114,00;12,67;14,25;1,58;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;33,00;81,63;12,16;8,68;6,95;40,00;5,00;3,00;12,00;337,33;22,00;7,33;18,33;9,00;70,50;16,50;0,00;10,00;0,00;7,00;0,00;113,85;14,85;21,45;6,60;0,00;0,00;0,00;0,00;10,00;2,00;0,00;0,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;59,00;76,35;17,35;6,94;6,94;17,00;2,00;7,00;15,00;309,75;25,81;11,06;18,44;22,69;93,79;13,62;0,00;0,00;0,00;19,00;2,00;113,22;11,16;30,30;12,76;0,00;0,00;0,00;0,00;12,00;2,00;0,00;0,00;5,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;47,00;67,89;5,22;5,22;10,44;31,00;2,00;2,00;16,00;271,15;21,69;10,85;18,08;9,10;97,03;16,68;1,52;5,00;2,00;3,00;0,00;106,53;7,83;23,50;6,27;0,00;0,00;0,00;2,00;5,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-05-05;57,00;94,41;7,13;8,91;5,34;37,00;3,00;0,00;20,00;269,80;15,20;11,40;26,60;13,86;84,73;6,16;0,00;5,00;5,00;8,00;3,00;117,26;17,91;29,31;6,51;0,00;0,00;0,00;2,00;7,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
