Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;53,00;5,00;5,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;5,44;9,51;53,00;10,00;0,00;19,00;0,00;5,17;0,00;47,83;0,00;0,00;14,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;14,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;51,00;5,00;19,00;0,00;5,00;9,00;0,00;9,00;5,00;18,79;0,00;13,42;37,58;5,00;0,00;19,00;0,00;8,93;8,93;28,05;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;33,00;5,00;14,00;0,00;0,00;5,00;5,00;5,00;0,00;13,75;0,00;38,50;52,25;0,00;5,00;23,00;5,00;5,28;0,00;58,08;9,24;0,00;23,00;0,00;5,00;0,00;0,00;0,00;5,00;14,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;65,00;0,00;5,00;0,00;0,00;0,00;0,00;14,00;5,00;4,06;0,00;13,54;55,52;0,00;0,00;5,00;0,00;5,20;5,20;37,70;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;18,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00
2019-02-03;59,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;0,00;9,60;0,00;23,33;63,12;4,00;0,00;22,00;0,00;9,18;0,00;45,89;0,00;0,00;13,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;28,00;5,00;14,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;13,33;90,67;0,00;5,00;14,00;0,00;0,00;0,00;14,67;0,00;0,00;18,00;0,00;0,00;5,00;5,00;0,00;9,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;46,00;0,00;0,00;0,00;0,00;14,00;5,00;9,00;0,00;4,06;0,00;27,06;55,47;0,00;0,00;5,00;5,00;8,94;5,11;40,89;0,00;0,00;9,00;0,00;5,00;9,00;0,00;0,00;9,00;14,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;32,00;9,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;9,33;36,00;0,00;0,00;14,00;0,00;0,00;0,00;17,92;0,00;0,00;9,00;5,00;5,00;5,00;0,00;0,00;9,00;5,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;42,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,06;51,48;0,00;0,00;5,00;0,00;0,00;0,00;42,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;5,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;33,00;0,00;19,00;0,00;14,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;68,64;0,00;0,00;9,00;0,00;5,08;0,00;33,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
