Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;35,00;653,33;816,67;163,33;420,00;647,50;4,38;402,50;113,75;155,91;92,27;124,09;155,91;116,67;350,00;81,67;11,67;223,13;354,38;13,13;100,63;13,33;76,67;36,67;46,67;14,48;44,66;31,38;12,07;5,00;3,00;2,00;8,00;30,00;3,00;2,00
2019-01-13;63,00;756,00;831,60;201,60;466,20;543,38;3,94;330,75;118,13;165,79;99,47;122,68;149,21;105,00;304,50;63,00;10,50;202,50;342,00;22,50;90,00;20,43;90,24;32,35;47,68;9,69;31,50;21,81;18,17;7,00;2,00;2,00;5,00;15,00;5,00;3,00
2019-01-20;34,00;657,33;759,33;158,67;396,67;663,00;8,50;391,00;110,50;139,40;85,00;125,80;170,00;124,67;362,67;56,67;11,33;212,50;340,00;17,00;63,75;22,10;78,20;47,60;51,00;9,71;27,93;29,14;21,86;2,00;3,00;8,00;2,00;15,00;5,00;3,00
2019-01-27;51,00;663,00;765,00;165,75;420,75;517,29;0,00;276,86;109,29;127,50;86,06;127,50;140,25;102,00;326,40;61,20;10,20;199,75;323,00;17,00;76,50;17,00;52,70;28,90;56,10;20,64;42,50;20,64;10,93;6,00;5,00;5,00;13,00;19,00;3,00;5,00
2019-02-03;55,00;728,75;811,25;151,25;453,75;510,71;3,93;282,86;110,00;116,47;87,35;103,53;155,29;110,00;330,00;44,00;11,00;197,08;316,25;22,92;91,67;20,63;68,75;48,13;56,72;26,89;17,11;22,00;12,22;5,00;3,00;8,00;6,00;19,00;5,00;8,00
2019-02-10;45,00;735,00;930,00;225,00;570,00;517,50;7,50;315,00;97,50;138,21;77,14;138,21;151,07;112,50;371,25;56,25;11,25;229,50;306,00;22,50;81,00;15,58;74,42;41,54;45,00;19,46;34,05;35,27;13,38;13,00;2,00;0,00;6,00;13,00;2,00;2,00
2019-02-17;46,00;644,00;724,50;138,00;460,00;582,67;0,00;291,33;115,00;164,29;101,86;157,71;167,57;126,50;368,00;69,00;23,00;230,00;372,60;13,80;78,20;34,07;83,48;30,67;47,70;19,37;38,74;30,26;10,89;3,00;6,00;2,00;6,00;21,00;2,00;3,00
2019-02-24;51,00;726,75;841,50;153,00;471,75;629,00;4,25;382,50;119,00;173,40;85,00;122,40;163,20;112,20;326,40;81,60;20,40;287,45;417,27;9,27;88,09;17,00;64,60;39,10;56,10;14,57;25,50;48,57;20,64;6,00;0,00;2,00;6,00;13,00;2,00;5,00
2019-03-03;53,00;821,50;901,00;172,25;477,00;620,86;3,79;401,29;113,57;168,94;96,06;125,88;165,63;137,80;328,60;63,60;10,60;238,50;357,75;17,67;101,58;15,39;80,35;49,58;51,29;25,30;43,36;30,11;15,66;16,00;3,00;10,00;6,00;16,00;2,00;3,00
2019-03-10;63,00;768,60;882,00;214,20;441,00;622,13;7,88;362,25;102,38;165,79;102,79;132,63;185,68;115,50;367,50;52,50;21,00;247,50;387,00;31,50;94,50;20,43;95,35;39,16;49,38;12,12;25,44;35,13;16,96;8,00;8,00;3,00;3,00;17,00;0,00;2,00
