Semaine;Guyane (GF);Dominique (DM);Suriname (SR);Guyana (GY)
2019-01-06;8,00;38,00;0,00;45,00
2019-01-13;0,00;11,00;4,00;51,00
2019-01-20;15,00;22,00;7,00;51,00
2019-01-27;7,00;11,00;14,00;29,00
2019-02-03;11,00;21,00;7,00;67,00
2019-02-10;0,00;11,00;0,00;32,00
2019-02-17;4,00;40,00;4,00;58,00
2019-02-24;0,00;25,00;4,00;54,00
2019-03-03;0,00;22,00;0,00;87,00
2019-03-10;4,00;26,00;4,00;45,00
2019-03-17;11,00;22,00;0,00;60,00
2019-03-24;19,00;30,00;7,00;49,00
2019-03-31;4,00;15,00;4,00;37,00
2019-04-07;8,00;23,00;0,00;75,00
2019-04-14;8,00;12,00;4,00;35,00
2019-04-21;4,00;19,00;0,00;46,00
2019-04-28;4,00;41,00;11,00;33,00
2019-05-05;4,00;15,00;15,00;56,00
2019-05-12;8,00;23,00;8,00;58,00
2019-05-19;4,00;15,00;12,00;46,00
2019-05-26;0,00;12,00;20,00;55,00
2019-06-02;0,00;11,00;4,00;60,00
2019-06-09;8,00;23,00;0,00;73,00
2019-06-16;4,00;4,00;15,00;77,00
2019-06-23;12,00;12,00;0,00;39,00
2019-06-30;12,00;8,00;0,00;32,00
2019-07-07;8,00;27,00;8,00;57,00
2019-07-14;8,00;12,00;4,00;35,00
2019-07-21;4,00;24,00;4,00;35,00
2019-07-28;4,00;12,00;12,00;55,00
2019-08-04;0,00;30,00;0,00;65,00
2019-08-11;4,00;38,00;4,00;19,00
2019-08-18;15,00;4,00;7,00;34,00
2019-08-25;0,00;25,00;11,00;55,00
2019-09-01;7,00;21,00;0,00;39,00
2019-09-08;3,00;14,00;3,00;42,00
2019-09-15;7,00;14,00;7,00;45,00
2019-09-22;11,00;28,00;4,00;39,00
2019-09-29;14,00;35,00;4,00;53,00
2019-10-06;0,00;11,00;7,00;60,00
2019-10-13;14,00;14,00;4,00;42,00
2019-10-20;10,00;17,00;10,00;69,00
2019-10-27;7,00;35,00;0,00;56,00
2019-11-03;0,00;21,00;17,00;52,00
2019-11-10;10,00;7,00;10,00;44,00
2019-11-17;10,00;34,00;7,00;37,00
2019-11-24;0,00;25,00;18,00;54,00
2019-12-01;10,00;31,00;7,00;54,00
2019-12-08;3,00;20,00;7,00;37,00
2019-12-15;14,00;32,00;11,00;78,00
2019-12-22;16,00;31,00;4,00;67,00
2019-12-29;4,00;36,00;4,00;76,00
2020-01-05;17,00;14,00;7,00;75,00
2020-01-12;3,00;16,00;16,00;80,00
2020-01-19;7,00;20,00;10,00;60,00
2020-01-26;10,00;16,00;13,00;59,00
2020-02-02;0,00;36,00;3,00;62,00
2020-02-09;10,00;26,00;7,00;79,00
2020-02-16;13,00;46,00;0,00;69,00
2020-02-23;10,00;13,00;3,00;35,00
2020-03-01;6,00;25,00;9,00;66,00
2020-03-08;6,00;25,00;6,00;57,00
2020-03-15;12,00;19,00;22,00;68,00
2020-03-22;6,00;15,00;3,00;40,00
2020-03-29;0,00;9,00;12,00;44,00
2020-04-05;6,00;3,00;9,00;42,00
2020-04-12;14,00;12,00;0,00;23,00
2020-04-19;12,00;6,00;6,00;37,00
2020-04-26;12,00;12,00;6,00;29,00
2020-05-03;6,00;12,00;3,00;50,00
2020-05-10;6,00;24,00;6,00;33,00
2020-05-17;9,00;15,00;9,00;21,00
2020-05-24;6,00;9,00;9,00;62,00
2020-05-31;15,00;12,00;0,00;33,00
2020-06-07;6,00;9,00;15,00;42,00
2020-06-14;3,00;13,00;3,00;38,00
2020-06-21;13,00;16,00;3,00;48,00
2020-06-28;7,00;13,00;7,00;46,00
2020-07-05;0,00;10,00;7,00;26,00
2020-07-12;3,00;7,00;10,00;62,00
2020-07-19;3,00;10,00;7,00;49,00
2020-07-26;3,00;13,00;3,00;63,00
2020-08-02;16,00;23,00;3,00;52,00
2020-08-09;7,00;23,00;3,00;29,00
2020-08-16;3,00;10,00;22,00;48,00
2020-08-23;0,00;9,00;12,00;34,00
2020-08-30;9,00;12,00;6,00;19,00
2020-09-06;6,00;19,00;16,00;31,00
2020-09-13;12,00;6,00;3,00;37,00
2020-09-20;3,00;28,00;6,00;37,00
2020-09-27;7,00;7,00;3,00;62,00
2020-10-04;3,00;13,00;0,00;47,00
2020-10-11;11,00;14,00;7,00;43,00
2020-10-18;0,00;7,00;0,00;41,00
2020-10-25;4,00;18,00;0,00;44,00
2020-11-01;6,00;9,00;6,00;39,00
2020-11-08;7,00;21,00;7,00;56,00
2020-11-15;4,00;7,00;7,00;44,00
2020-11-22;0,00;11,00;11,00;22,00
2020-11-29;0,00;17,00;7,00;38,00
2020-12-06;4,00;14,00;0,00;32,00
2020-12-13;7,00;22,00;4,00;51,00
2020-12-20;4,00;15,00;0,00;54,00
2020-12-27;4,00;22,00;0,00;22,00
2021-01-03;0,00;14,00;0,00;35,00
2021-01-10;10,00;21,00;3,00;87,00
2021-01-17;7,00;18,00;7,00;11,00
2021-01-24;3,00;10,00;3,00;42,00
2021-01-31;28,00;0,00;3,00;60,00
2021-02-07;4,00;0,00;4,00;28,00
2021-02-14;0,00;18,00;11,00;61,00
2021-02-21;7,00;25,00;11,00;32,00
2021-02-28;0,00;18,00;18,00;36,00
2021-03-07;7,00;25,00;11,00;56,00
2021-03-14;0,00;7,00;3,00;67,00
2021-03-21;7,00;21,00;11,00;46,00
2021-03-28;4,00;18,00;14,00;58,00
2021-04-04;14,00;14,00;7,00;32,00
2021-04-11;14,00;11,00;18,00;85,00
2021-04-18;0,00;7,00;0,00;44,00
2021-04-25;7,00;21,00;0,00;39,00
2021-05-02;0,00;11,00;4,00;47,00
2021-05-09;11,00;44,00;15,00;55,00
2021-05-16;7,00;26,00;4,00;69,00
2021-05-23;11,00;7,00;7,00;97,00
2021-05-30;11,00;19,00;4,00;56,00
2021-06-06;4,00;18,00;15,00;62,00
2021-06-13;0,00;18,00;14,00;62,00
2021-06-20;11,00;33,00;15,00;78,00
2021-06-27;11,00;15,00;4,00;73,00
2021-07-04;11,00;19,00;4,00;49,00
2021-07-11;18,00;15,00;29,00;58,00
2021-07-18;15,00;15,00;7,00;48,00
2021-07-25;15,00;29,00;0,00;74,00
2021-08-01;7,00;22,00;7,00;100,00
2021-08-08;7,00;15,00;0,00;33,00
2021-08-15;4,00;26,00;4,00;59,00
2021-08-22;4,00;19,00;4,00;48,00
2021-08-29;0,00;30,00;11,00;71,00
2021-09-05;12,00;12,00;8,00;36,00
2021-09-12;8,00;15,00;11,00;73,00
2021-09-19;8,00;8,00;4,00;23,00
2021-09-26;23,00;19,00;15,00;61,00
2021-10-03;4,00;11,00;4,00;46,00
2021-10-10;8,00;23,00;4,00;66,00
2021-10-17;16,00;16,00;8,00;39,00
2021-10-24;0,00;23,00;0,00;23,00
2021-10-31;8,00;31,00;8,00;54,00
2021-11-07;4,00;18,00;9,00;71,00
