Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;17,00;11,33;22,67;136,00;73,67;100,00
2019-01-13;11,00;5,50;16,50;132,00;55,00;90,00
2019-01-20;10,00;10,00;10,00;135,00;55,00;85,00
2019-01-27;11,00;11,00;16,50;132,00;60,50;76,00
2019-02-03;6,00;12,00;24,00;132,00;60,00;72,00
2019-02-10;11,00;11,00;16,50;132,00;55,00;77,00
2019-02-17;8,00;16,00;16,00;200,00;88,00;85,00
2019-02-24;7,00;14,00;28,00;182,00;70,00;77,00
2019-03-03;8,00;8,00;16,00;208,00;64,00;85,00
2019-03-10;8,00;4,00;8,00;108,00;32,00;81,00
2019-03-17;11,00;11,00;16,50;121,00;38,50;80,00
2019-03-24;5,00;5,00;15,00;125,00;40,00;77,00
2019-03-31;4,00;4,00;8,00;88,00;28,00;64,00
2019-04-07;6,00;3,00;12,00;168,00;42,00;57,00
2019-04-14;6,00;6,00;18,00;114,00;30,00;58,00
2019-04-21;6,00;6,00;18,00;126,00;48,00;64,00
2019-04-28;7,00;7,00;14,00;140,00;56,00;60,00
2019-05-05;3,00;6,00;12,00;132,00;36,00;65,00
2019-05-12;4,00;4,00;12,00;92,00;24,00;69,00
2019-05-19;3,00;1,50;6,00;57,00;21,00;75,00
2019-05-26;5,00;5,00;10,00;155,00;35,00;69,00
2019-06-02;7,00;7,00;14,00;469,00;49,00;77,00
2019-06-09;8,00;8,00;16,00;784,00;64,00;77,00
2019-06-16;17,00;5,67;11,33;566,67;56,67;67,00
2019-06-23;47,00;10,44;10,44;323,78;47,00;90,00
2019-06-30;6,00;6,00;12,00;168,00;48,00;79,00
2019-07-07;3,00;6,00;18,00;120,00;48,00;70,00
2019-07-14;5,00;5,00;15,00;120,00;40,00;81,00
2019-07-21;4,00;2,00;12,00;76,00;28,00;84,00
2019-07-28;5,00;5,00;15,00;85,00;35,00;72,00
2019-08-04;5,00;5,00;10,00;65,00;40,00;77,00
2019-08-11;5,00;10,00;10,00;75,00;40,00;62,00
2019-08-18;4,00;4,00;12,00;64,00;28,00;75,00
2019-08-25;7,00;7,00;21,00;105,00;49,00;88,00
2019-09-01;5,00;5,00;15,00;65,00;30,00;74,00
2019-09-08;7,00;7,00;21,00;105,00;49,00;62,00
2019-09-15;9,00;4,50;13,50;67,50;31,50;66,00
2019-09-22;10,00;5,00;10,00;70,00;40,00;61,00
2019-09-29;9,00;9,00;9,00;72,00;27,00;59,00
2019-10-06;5,00;5,00;10,00;70,00;20,00;55,00
2019-10-13;8,00;4,00;8,00;48,00;24,00;65,00
