Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;28,00;2,00;47,00;0,00;2,00
2019-01-13;33,00;1,00;35,00;1,00;2,00
2019-01-20;30,00;2,00;39,00;2,00;2,00
2019-01-27;32,00;2,00;37,00;1,00;3,00
2019-02-03;24,00;1,00;37,00;2,00;1,00
2019-02-10;28,00;1,00;32,00;3,00;1,00
2019-02-17;31,00;1,00;42,00;2,00;2,00
2019-02-24;17,00;2,00;31,00;1,00;3,00
2019-03-03;29,00;1,00;52,00;1,00;2,00
2019-03-10;22,00;3,00;32,00;1,00;1,00
2019-03-17;22,00;1,00;42,00;1,00;0,00
2019-03-24;23,00;3,00;34,00;1,00;1,00
2019-03-31;26,00;2,00;37,00;1,00;2,00
2019-04-07;21,00;2,00;36,00;1,00;2,00
2019-04-14;19,00;2,00;36,00;1,00;1,00
2019-04-21;20,00;2,00;34,00;1,00;1,00
2019-04-28;20,00;2,00;34,00;1,00;2,00
2019-05-05;24,00;2,00;40,00;1,00;1,00
2019-05-12;24,00;3,00;36,00;1,00;1,00
2019-05-19;23,00;2,00;35,00;1,00;2,00
2019-05-26;24,00;2,00;39,00;1,00;1,00
2019-06-02;19,00;1,00;100,00;1,00;0,50
2019-06-09;24,00;2,00;53,00;1,00;1,00
2019-06-16;18,00;1,00;40,00;1,00;2,00
2019-06-23;21,00;2,00;33,00;2,00;2,00
2019-06-30;22,00;2,00;29,00;2,00;0,50
2019-07-07;17,00;1,00;38,00;1,00;2,00
2019-07-14;19,00;2,00;44,00;1,00;3,00
2019-07-21;25,00;3,00;40,00;1,00;2,00
2019-07-28;21,00;3,00;36,00;2,00;1,00
2019-08-04;22,00;2,00;40,00;1,00;1,00
2019-08-11;22,00;2,00;38,00;3,00;2,00
2019-08-18;22,00;2,00;32,00;0,00;2,00
2019-08-25;24,00;2,00;31,00;2,00;1,00
2019-09-01;17,00;1,00;33,00;1,00;1,00
2019-09-08;19,00;2,00;30,00;1,00;2,00
2019-09-15;21,00;2,00;30,00;1,00;1,00
2019-09-22;17,00;2,00;35,00;1,00;2,00
2019-09-29;21,00;3,00;33,00;2,00;3,00
2019-10-06;22,00;2,00;33,00;1,00;1,00
2019-10-13;20,00;1,00;32,00;2,00;3,00
2019-10-20;20,00;2,00;37,00;2,00;2,00
2019-10-27;21,00;1,00;27,00;1,00;2,00
2019-11-03;22,00;2,00;29,00;1,00;2,00
2019-11-10;20,00;1,00;30,00;1,00;2,00
2019-11-17;19,00;1,00;27,00;1,00;2,00
2019-11-24;17,00;2,00;27,00;2,00;2,00
2019-12-01;19,00;2,00;30,00;1,00;2,00
2019-12-08;22,00;2,00;30,00;2,00;2,00
2019-12-15;21,00;3,00;35,00;1,00;2,00
2019-12-22;20,00;3,00;42,00;3,00;2,00
2019-12-29;22,00;3,00;32,00;1,00;2,00
2020-01-05;23,00;4,00;50,00;2,00;5,00
2020-01-12;27,00;3,00;45,00;1,00;3,00
2020-01-19;23,00;2,00;39,00;3,00;4,00
2020-01-26;23,00;2,00;29,00;3,00;2,00
2020-02-02;17,00;3,00;33,00;2,00;2,00
2020-02-09;22,00;3,00;34,00;1,00;3,00
2020-02-16;24,00;3,00;37,00;1,00;2,00
2020-02-23;16,00;3,00;36,00;1,00;4,00
2020-03-01;23,00;2,00;40,00;1,00;2,00
2020-03-08;24,00;1,00;31,00;2,00;2,00
2020-03-15;20,00;2,00;25,00;2,00;2,00
2020-03-22;18,00;1,00;27,00;2,00;2,00
2020-03-29;15,00;3,00;21,00;1,00;1,00
2020-04-05;16,00;1,00;32,00;3,00;1,00
2020-04-12;16,00;2,00;24,00;2,00;1,00
2020-04-19;13,00;2,00;36,00;1,00;3,00
2020-04-26;15,00;3,00;25,00;1,00;2,00
2020-05-03;12,00;1,00;28,00;2,00;3,00
2020-05-10;15,00;0,50;26,00;1,00;3,00
2020-05-17;13,00;2,00;32,00;1,00;1,00
2020-05-24;15,00;2,00;27,00;2,00;2,00
2020-05-31;15,00;2,00;30,00;1,00;2,00
2020-06-07;17,00;2,00;27,00;1,00;1,00
2020-06-14;15,00;1,00;22,00;1,00;2,00
2020-06-21;20,00;3,00;30,00;2,00;2,00
2020-06-28;15,00;3,00;30,00;1,00;1,00
2020-07-05;11,00;2,00;23,00;1,00;2,00
2020-07-12;16,00;1,00;24,00;1,00;1,00
2020-07-19;13,00;3,00;21,00;1,00;1,00
2020-07-26;15,00;2,00;19,00;1,00;0,50
2020-08-02;17,00;1,00;25,00;1,00;1,00
2020-08-09;20,00;2,00;26,00;1,00;1,00
2020-08-16;17,00;2,00;33,00;1,00;1,00
2020-08-23;18,00;2,00;33,00;1,00;1,00
2020-08-30;20,00;2,00;29,00;1,00;1,00
2020-09-06;18,00;1,00;22,00;0,50;1,00
2020-09-13;20,00;3,00;20,00;0,50;1,00
2020-09-20;16,00;1,00;19,00;1,00;1,00
2020-09-27;16,00;2,00;25,00;2,00;1,00
2020-10-04;13,00;4,00;21,00;6,00;0,50
2020-10-11;18,00;1,00;19,00;0,50;1,00
2020-10-18;18,00;1,00;23,00;1,00;1,00
2020-10-25;17,00;2,00;21,00;1,00;1,00
2020-11-01;12,00;1,00;16,00;1,00;1,00
2020-11-08;14,00;1,00;21,00;3,00;1,00
2020-11-15;18,00;2,00;25,00;2,00;1,00
2020-11-22;14,00;1,00;17,00;2,00;2,00
2020-11-29;16,00;1,00;19,00;2,00;1,00
2020-12-06;17,00;3,00;21,00;0,50;2,00
2020-12-13;17,00;2,00;24,00;2,00;2,00
2020-12-20;14,00;1,00;24,00;2,00;2,00
2020-12-27;21,00;3,00;34,00;2,00;1,00
2021-01-03;17,00;1,00;19,00;1,00;2,00
2021-01-10;17,00;1,00;22,00;1,00;1,00
2021-01-17;15,00;1,00;19,00;2,00;2,00
2021-01-24;13,00;1,00;24,00;0,50;1,00
2021-01-31;16,00;3,00;25,00;1,00;2,00
2021-02-07;16,00;3,00;24,00;2,00;2,00
2021-02-14;15,00;2,00;24,00;1,00;2,00
2021-02-21;13,00;1,00;25,00;0,50;0,50
2021-02-28;13,00;2,00;28,00;2,00;1,00
2021-03-07;17,00;3,00;24,00;1,00;1,00
2021-03-14;18,00;2,00;23,00;1,00;2,00
2021-03-21;16,00;1,00;24,00;1,00;2,00
2021-03-28;19,00;2,00;32,00;1,00;2,00
2021-04-04;17,00;2,00;29,00;1,00;1,00
2021-04-11;21,00;3,00;28,00;3,00;0,50
2021-04-18;16,00;3,00;37,00;2,00;1,00
2021-04-25;17,00;1,00;25,00;1,00;3,00
2021-05-02;18,00;3,00;26,00;2,00;2,00
2021-05-09;20,00;2,00;34,00;3,00;2,00
2021-05-16;20,00;1,00;26,00;2,00;1,00
2021-05-23;19,00;3,00;28,00;2,00;3,00
2021-05-30;18,00;1,00;23,00;2,00;1,00
2021-06-06;18,00;3,00;24,00;1,00;2,00
2021-06-13;20,00;1,00;22,00;1,00;1,00
2021-06-20;22,00;3,00;24,00;1,00;1,00
2021-06-27;24,00;1,00;26,00;1,00;1,00
2021-07-04;21,00;2,00;24,00;1,00;1,00
2021-07-11;25,00;1,00;23,00;2,00;2,00
2021-07-18;17,00;2,00;27,00;1,00;4,00
2021-07-25;21,00;2,00;34,00;2,00;2,00
2021-08-01;17,00;3,00;25,00;2,00;2,00
