Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;56,00;50,00;13,00
2019-01-13;59,00;57,00;4,00
2019-01-20;34,00;46,00;6,00
2019-01-27;42,00;42,00;6,00
2019-02-03;47,00;43,00;4,00
2019-02-10;42,00;50,00;6,00
2019-02-17;50,00;42,00;10,00
2019-02-24;47,00;35,00;6,00
2019-03-03;42,00;46,00;6,00
2019-03-10;47,00;45,00;6,00
2019-03-17;56,00;47,00;13,00
2019-03-24;45,00;34,00;4,00
2019-03-31;47,00;52,00;2,00
2019-04-07;67,00;48,00;4,00
2019-04-14;31,00;49,00;2,00
2019-04-21;40,00;35,00;9,00
2019-04-28;36,00;34,00;6,00
2019-05-05;19,00;43,00;6,00
2019-05-12;24,00;42,00;2,00
2019-05-19;51,00;35,00;2,00
2019-05-26;38,00;34,00;11,00
2019-06-02;24,00;43,00;4,00
2019-06-09;42,00;62,00;4,00
2019-06-16;44,00;62,00;11,00
2019-06-23;32,00;54,00;7,00
2019-06-30;44,00;44,00;0,00
2019-07-07;37,00;59,00;4,00
2019-07-14;34,00;49,00;13,00
2019-07-21;48,00;73,00;7,00
2019-07-28;31,00;65,00;11,00
2019-08-04;42,00;37,00;13,00
2019-08-11;48,00;52,00;2,00
2019-08-18;34,00;47,00;2,00
2019-08-25;42,00;65,00;8,00
2019-09-01;28,00;49,00;8,00
2019-09-08;32,00;50,00;10,00
2019-09-15;30,00;46,00;6,00
2019-09-22;24,00;43,00;4,00
2019-09-29;32,00;40,00;6,00
2019-10-06;22,00;25,00;6,00
2019-10-13;32,00;40,00;12,00
2019-10-20;30,00;42,00;8,00
2019-10-27;26,00;34,00;0,00
2019-11-03;24,00;40,00;6,00
2019-11-10;51,00;37,00;6,00
2019-11-17;49,00;37,00;14,00
2019-11-24;41,00;51,00;4,00
2019-12-01;33,00;45,00;2,00
2019-12-08;35,00;39,00;14,00
2019-12-15;33,00;43,00;4,00
2019-12-22;75,00;72,00;5,00
2019-12-29;98,00;56,00;8,00
2020-01-05;59,00;88,00;16,00
2020-01-12;50,00;57,00;18,00
2020-01-19;56,00;48,00;19,00
2020-01-26;47,00;77,00;6,00
2020-02-02;68,00;66,00;24,00
2020-02-09;53,00;60,00;8,00
2020-02-16;55,00;64,00;6,00
2020-02-23;53,00;44,00;9,00
2020-03-01;33,00;42,00;5,00
2020-03-08;44,00;53,00;11,00
2020-03-15;32,00;28,00;7,00
2020-03-22;19,00;23,00;4,00
2020-03-29;29,00;22,00;7,00
2020-04-05;24,00;23,00;7,00
2020-04-12;23,00;28,00;3,00
2020-04-19;28,00;23,00;5,00
2020-04-26;23,00;27,00;7,00
2020-05-03;25,00;44,00;7,00
2020-05-10;10,00;21,00;2,00
2020-05-17;34,00;38,00;9,00
2020-05-24;16,00;25,00;7,00
2020-05-31;31,00;24,00;3,00
2020-06-07;30,00;23,00;5,00
2020-06-14;45,00;36,00;7,00
2020-06-21;37,00;24,00;7,00
2020-06-28;27,00;34,00;13,00
2020-07-05;38,00;25,00;6,00
2020-07-12;15,00;36,00;2,00
2020-07-19;25,00;17,00;11,00
2020-07-26;34,00;46,00;8,00
2020-08-02;32,00;41,00;2,00
2020-08-09;41,00;38,00;4,00
2020-08-16;24,00;22,00;6,00
2020-08-23;31,00;18,00;0,00
2020-08-30;21,00;18,00;5,00
2020-09-06;38,00;22,00;9,00
2020-09-13;30,00;19,00;4,00
2020-09-20;23,00;27,00;13,00
2020-09-27;30,00;30,00;11,00
2020-10-04;54,00;23,00;6,00
2020-10-11;39,00;25,00;6,00
2020-10-18;41,00;32,00;6,00
2020-10-25;36,00;21,00;4,00
2020-11-01;28,00;23,00;3,00
2020-11-08;48,00;38,00;6,00
2020-11-15;50,00;17,00;8,00
2020-11-22;39,00;26,00;4,00
2020-11-29;44,00;22,00;8,00
2020-12-06;37,00;24,00;8,00
2020-12-13;21,00;34,00;2,00
2020-12-20;45,00;51,00;4,00
2020-12-27;100,00;38,00;6,00
2021-01-03;62,00;32,00;0,00
2021-01-10;54,00;28,00;10,00
2021-01-17;73,00;26,00;6,00
2021-01-24;46,00;28,00;6,00
2021-01-31;46,00;40,00;4,00
2021-02-07;28,00;30,00;4,00
2021-02-14;41,00;41,00;10,00
2021-02-21;37,00;27,00;6,00
2021-02-28;43,00;39,00;2,00
2021-03-07;45,00;36,00;8,00
2021-03-14;40,00;29,00;8,00
2021-03-21;55,00;59,00;6,00
2021-03-28;46,00;48,00;8,00
2021-04-04;50,00;37,00;81,00
2021-04-11;41,00;41,00;68,00
2021-04-18;34,00;69,00;11,00
2021-04-25;41,00;33,00;18,00
2021-05-02;39,00;45,00;12,00
2021-05-09;34,00;57,00;8,00
2021-05-16;46,00;65,00;13,00
2021-05-23;28,00;36,00;4,00
2021-05-30;56,00;51,00;6,00
2021-06-06;48,00;50,00;17,00
2021-06-13;46,00;42,00;6,00
2021-06-20;41,00;47,00;11,00
2021-06-27;49,00;61,00;8,00
2021-07-04;54,00;58,00;4,00
2021-07-11;55,00;48,00;13,00
2021-07-18;51,00;62,00;6,00
2021-07-25;40,00;53,00;15,00
2021-08-01;32,00;45,00;13,00
2021-08-08;41,00;45,00;4,00
2021-08-15;34,00;40,00;6,00
2021-08-22;26,00;32,00;4,00
2021-08-29;9,00;34,00;9,00
2021-09-05;23,00;32,00;0,00
2021-09-12;48,00;33,00;2,00
2021-09-19;38,00;35,00;11,00
2021-09-26;35,00;26,00;4,00
2021-10-03;46,00;44,00;4,00
2021-10-10;40,00;42,00;16,00
2021-10-17;38,00;31,00;2,00
2021-10-24;33,00;22,00;7,00
2021-10-31;40,00;31,00;4,00
2021-11-07;54,00;26,00;3,00
