Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;76,00;15,00;0,00;0,00;0,00;90,38;14,38;0,00;0,00;0,00;14,83;166,83;14,83;0,00;0,00;31,29;0,00;0,00;60,80;0,00;45,60
2019-01-13;61,00;31,00;0,00;0,00;0,00;44,73;30,50;0,00;30,50;0,00;29,58;61,00;29,58;0,00;0,00;92,63;0,00;169,44;45,75;0,00;45,75
2019-01-20;15,00;15,00;0,00;0,00;0,00;45,00;0,00;15,00;0,00;0,00;75,00;75,00;0,00;0,00;0,00;57,86;15,00;15,00;15,00;15,00;58,33
2019-01-27;29,00;15,00;0,00;29,00;0,00;14,50;14,50;0,00;0,00;0,00;43,50;29,00;0,00;15,62;0,00;15,62;0,00;0,00;59,71;0,00;44,35
2019-02-03;31,00;31,00;0,00;15,00;0,00;31,00;0,00;0,00;14,47;14,59;45,59;45,59;0,00;0,00;0,00;15,50;0,00;0,00;125,72;0,00;0,00
2019-02-10;31,00;31,00;0,00;0,00;15,00;78,53;47,53;16,53;0,00;0,00;76,59;76,59;0,00;0,00;0,00;46,50;0,00;0,00;31,00;0,00;0,00
2019-02-17;31,00;31,00;15,00;0,00;0,00;31,00;0,00;0,00;0,00;14,59;31,00;60,18;0,00;15,50;0,00;46,50;0,00;0,00;79,22;0,00;48,22
2019-02-24;15,00;0,00;45,00;0,00;15,00;32,14;0,00;0,00;0,00;15,00;15,00;15,00;0,00;15,00;0,00;57,86;15,00;0,00;90,00;0,00;0,00
2019-03-03;0,00;0,00;0,00;0,00;0,00;8,00;15,00;0,00;0,00;0,00;17,00;25,00;0,00;0,00;0,00;14,00;0,00;0,00;28,00;0,00;9,00
2019-03-10;30,00;30,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;61,88;123,75;0,00;0,00;0,00;15,00;0,00;0,00;15,00;0,00;0,00
2019-03-17;0,00;0,00;31,00;0,00;0,00;15,00;15,00;0,00;0,00;0,00;8,00;17,00;0,00;0,00;0,00;21,00;0,00;9,00;19,00;0,00;0,00
2019-03-24;16,00;0,00;16,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;16,00;30,22;0,00;0,00;0,00;64,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;31,00;0,00;15,00;31,00;0,00;62,00;14,47;0,00;0,00;15,50;63,94;63,94;0,00;0,00;0,00;31,00;0,00;0,00;15,50;15,50;31,00
2019-04-07;32,00;32,00;16,00;0,00;0,00;32,00;32,00;16,00;16,00;32,00;32,00;65,88;0,00;0,00;0,00;93,87;0,00;16,84;0,00;0,00;0,00
2019-04-14;33,00;17,00;17,00;0,00;0,00;68,06;0,00;0,00;0,00;16,50;66,00;33,00;16,50;0,00;0,00;50,60;0,00;0,00;33,00;16,50;0,00
2019-04-21;32,00;32,00;32,00;0,00;16,00;49,07;32,00;0,00;0,00;0,00;48,94;48,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,16;0,00
2019-04-28;0,00;0,00;59,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;16,00;32,00;0,00;0,00;0,00;7,00;0,00;0,00;9,00;0,00;0,00
2019-05-05;29,00;15,00;44,00;0,00;0,00;72,50;72,50;0,00;14,50;0,00;29,00;70,69;0,00;0,00;0,00;29,00;0,00;0,00;0,00;15,35;0,00
2019-05-12;46,00;46,00;0,00;15,00;0,00;14,64;14,64;0,00;0,00;0,00;60,72;75,44;0,00;16,10;0,00;126,50;0,00;15,33;15,33;0,00;0,00
2019-05-19;29,00;15,00;29,00;15,00;15,00;89,07;29,00;0,00;14,50;0,00;29,00;43,50;0,00;0,00;0,00;73,62;0,00;14,50;0,00;0,00;14,50
2019-05-26;15,00;0,00;0,00;30,00;0,00;47,14;47,14;0,00;15,00;15,00;75,00;91,88;30,00;0,00;0,00;57,86;0,00;15,00;15,00;0,00;15,00
2019-06-02;0,00;0,00;28,00;14,00;0,00;20,00;14,00;0,00;7,00;8,00;15,00;30,00;8,00;0,00;0,00;44,00;0,00;0,00;8,00;0,00;25,00
2019-06-09;29,00;29,00;0,00;15,00;0,00;58,00;29,00;0,00;0,00;14,50;70,69;14,50;14,50;0,00;0,00;102,62;15,62;0,00;0,00;15,35;29,00
2019-06-16;30,00;60,00;0,00;45,00;15,00;30,00;0,00;0,00;14,00;0,00;106,88;121,88;15,00;0,00;0,00;42,86;0,00;0,00;15,00;15,00;15,00
2019-06-23;49,00;32,00;32,00;16,00;16,00;79,63;32,67;0,00;0,00;16,96;131,92;82,92;0,00;0,00;0,00;64,59;0,00;0,00;16,90;16,90;0,00
2019-06-30;32,00;16,00;48,00;0,00;0,00;94,00;48,00;0,00;16,00;0,00;65,88;163,76;16,94;0,00;0,00;93,87;0,00;16,84;48,84;32,00;0,00
2019-07-07;79,00;47,00;63,00;63,00;32,00;95,63;47,82;0,00;31,18;16,93;159,88;127,90;0,00;0,00;0,00;191,86;0,00;15,13;0,00;0,00;31,94
2019-07-14;51,00;34,00;17,00;34,00;17,00;16,32;67,32;0,00;16,32;0,00;51,00;188,89;17,00;0,00;0,00;150,78;0,00;0,00;0,00;0,00;34,00
2019-07-21;70,00;52,00;52,00;17,00;52,00;35,00;51,47;0,00;16,47;0,00;51,58;51,58;0,00;18,06;0,00;196,45;0,00;0,00;17,07;0,00;0,00
2019-07-28;50,00;50,00;0,00;34,00;0,00;0,00;52,08;0,00;16,67;0,00;150,00;185,19;33,33;17,39;0,00;213,04;0,00;0,00;0,00;16,67;16,67
2019-08-04;66,00;49,00;0,00;0,00;16,00;33,00;16,50;0,00;16,50;0,00;50,91;150,86;16,97;0,00;0,00;81,40;0,00;16,92;33,85;0,00;33,85
2019-08-11;16,00;32,00;16,00;0,00;16,00;78,00;78,00;0,00;16,00;0,00;62,22;46,22;0,00;0,00;0,00;82,29;16,00;0,00;0,00;16,00;16,00
2019-08-18;0,00;0,00;0,00;16,00;0,00;0,00;24,00;0,00;16,00;0,00;18,00;18,00;0,00;0,00;0,00;59,00;0,00;20,00;0,00;0,00;10,00
2019-08-25;0,00;0,00;0,00;0,00;16,00;0,00;8,00;0,00;8,00;8,00;17,00;34,00;0,00;0,00;0,00;42,00;0,00;0,00;28,00;0,00;0,00
2019-09-01;30,00;30,00;0,00;0,00;0,00;74,00;14,00;14,00;0,00;15,00;106,88;91,88;15,00;0,00;0,00;57,86;0,00;0,00;0,00;0,00;0,00
2019-09-08;15,00;15,00;0,00;15,00;0,00;15,00;15,00;0,00;0,00;0,00;93,75;61,88;0,00;0,00;0,00;60,00;0,00;0,00;30,00;0,00;0,00
2019-09-15;0,00;0,00;0,00;0,00;0,00;15,00;7,00;0,00;0,00;0,00;41,00;8,00;0,00;0,00;0,00;55,00;0,00;0,00;9,00;0,00;0,00
2019-09-22;29,00;43,00;14,00;0,00;0,00;43,50;43,50;0,00;0,00;0,00;99,69;0,00;0,00;0,00;0,00;44,62;0,00;0,00;44,35;0,00;0,00
2019-09-29;58,00;29,00;43,00;0,00;0,00;29,00;14,50;0,00;0,00;0,00;29,94;43,03;0,00;0,00;13,38;29,00;0,00;0,00;0,00;29,00;0,00
2019-10-06;14,00;14,00;14,00;29,00;0,00;42,00;0,00;0,00;28,00;0,00;122,50;54,25;0,00;0,00;0,00;0,00;0,00;0,00;26,44;14,00;0,00
2019-10-13;0,00;14,00;14,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;39,00;8,00;0,00;0,00;0,00;32,00;0,00;0,00;17,00;9,00;0,00
