Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;39,00;4,00;22,00;4,00;26,00;17,00;4,00;9,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;48,00;4,00;4,00;4,00;18,00;9,00;0,00;13,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-01-20;25,00;17,00;8,00;8,00;4,00;8,00;8,00;4,00;4,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;8,00;13,00;8,00;8,00;13,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;40,00;0,00;22,00;18,00;13,00;0,00;18,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-02-10;36,00;9,00;18,00;4,00;13,00;0,00;4,00;0,00;0,00;0,00;4,00;13,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-02-17;18,00;13,00;9,00;4,00;9,00;13,00;4,00;9,00;13,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;31,00;18,00;13,00;17,00;9,00;4,00;4,00;0,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00
2019-03-03;50,00;9,00;32,00;18,00;9,00;5,00;14,00;5,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;44,00;13,00;13,00;4,00;26,00;4,00;17,00;0,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;36,00;5,00;5,00;13,00;0,00;4,00;4,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;5,00;23,00;18,00;23,00;9,00;0,00;0,00;9,00;5,00;14,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;75,00;22,00;18,00;9,00;18,00;22,00;9,00;4,00;4,00;9,00;0,00;13,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;46,00;9,00;37,00;14,00;14,00;37,00;5,00;9,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;67,00;14,00;34,00;34,00;14,00;10,00;14,00;5,00;0,00;10,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;46,00;18,00;9,00;9,00;18,00;18,00;5,00;9,00;5,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;47,00;13,00;13,00;8,00;13,00;17,00;0,00;13,00;8,00;4,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;21,00;29,00;4,00;13,00;21,00;13,00;13,00;8,00;13,00;4,00;4,00;17,00;0,00;4,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00
2019-05-12;48,00;18,00;13,00;22,00;13,00;9,00;13,00;0,00;9,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00
2019-05-19;30,00;13,00;17,00;25,00;13,00;17,00;17,00;4,00;4,00;4,00;4,00;0,00;4,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
