Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;53,00;38,65;53,00;46,38;15,46;45,00;76,00;30,00;15,00;8,00;45,00;30,00;15,00;8,00;23,00;15,00;23,00;15,00;8,00;8,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;84,00;22,91;45,82;53,45;30,55;53,00;53,00;23,00;46,00;15,00;46,00;23,00;15,00;15,00;0,00;23,00;8,00;8,00;8,00;15,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00
2019-01-20;44,00;89,10;44,00;59,40;0,00;51,00;29,00;22,00;15,00;0,00;7,00;15,00;7,00;0,00;7,00;7,00;0,00;15,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;0,00;80,00;60,00;40,00;40,00;44,00;36,00;36,00;7,00;29,00;7,00;7,00;22,00;29,00;7,00;15,00;29,00;22,00;22,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-02-03;15,00;60,00;30,00;37,50;15,00;46,00;46,00;15,00;15,00;8,00;8,00;8,00;23,00;15,00;0,00;0,00;15,00;0,00;15,00;8,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;15,00;60,00;45,00;30,00;15,00;8,00;0,00;15,00;31,00;15,00;8,00;8,00;0,00;0,00;8,00;0,00;39,00;23,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;23,00;30,67;30,67;46,00;15,33;31,00;47,00;15,00;8,00;0,00;39,00;31,00;0,00;15,00;0,00;0,00;8,00;8,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;23,00;90,90;46,00;38,33;52,57;61,00;68,00;8,00;30,00;23,00;15,00;38,00;23,00;15,00;8,00;8,00;0,00;0,00;15,00;23,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;16,00;49,14;106,29;24,00;33,14;63,00;39,00;31,00;31,00;16,00;8,00;16,00;16,00;16,00;8,00;0,00;8,00;0,00;8,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;30,00;30,00;88,93;30,00;58,93;23,00;30,00;15,00;38,00;0,00;8,00;0,00;0,00;0,00;8,00;8,00;0,00;8,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;39,00;30,33;15,17;15,17;39,00;70,00;47,00;16,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;31,00;16,00;16,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;24,00;15,27;15,27;7,64;15,27;16,00;8,00;16,00;16,00;16,00;0,00;8,00;8,00;32,00;8,00;32,00;24,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;15,00;60,00;15,00;60,00;45,00;46,00;38,00;15,00;23,00;8,00;8,00;0,00;0,00;15,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;24,00;24,00;7,64;56,73;40,36;16,00;40,00;16,00;24,00;8,00;8,00;16,00;0,00;8,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;33,00;33,00;0,00;0,00;24,48;8,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
