Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;11,00;159,50;60,50;74,25;0,00;22,00;22,00;11,00;11,00
2019-01-13;34,00;94,15;23,54;94,15;0,00;0,00;0,00;0,00;0,00
2019-01-20;0,00;17,00;4,00;22,00;0,00;0,00;0,00;0,00;11,00
2019-01-27;54,00;77,14;23,14;77,14;0,00;11,00;11,00;0,00;0,00
2019-02-03;90,00;67,50;32,50;67,50;0,00;0,00;0,00;0,00;0,00
2019-02-10;34,00;34,00;12,14;65,57;0,00;11,00;0,00;11,00;0,00
2019-02-17;34,00;55,86;0,00;131,14;0,00;11,00;23,00;0,00;0,00
2019-02-24;11,00;74,25;35,75;121,00;0,00;0,00;11,00;0,00;11,00
2019-03-03;23,00;71,56;46,00;104,78;0,00;0,00;0,00;0,00;12,00
2019-03-10;0,00;49,00;13,00;40,00;0,00;0,00;11,00;0,00;0,00
2019-03-17;34,00;65,57;43,71;77,71;0,00;0,00;0,00;0,00;0,00
2019-03-24;46,00;89,58;33,89;67,79;0,00;0,00;12,00;47,00;0,00
2019-03-31;11,00;60,50;24,75;35,75;0,00;0,00;0,00;0,00;0,00
2019-04-07;12,00;103,20;79,20;91,20;0,00;0,00;12,00;0,00;0,00
2019-04-14;25,00;50,00;25,00;72,50;0,00;0,00;49,00;0,00;0,00
2019-04-21;23,00;71,56;23,00;120,11;0,00;0,00;12,00;0,00;0,00
2019-04-28;22,00;53,78;22,00;63,56;0,00;0,00;22,00;0,00;0,00
2019-05-05;11,00;35,75;35,75;35,75;0,00;0,00;0,00;0,00;0,00
2019-05-12;11,00;35,75;24,75;74,25;0,00;11,00;22,00;11,00;0,00
2019-05-19;11,00;82,50;71,50;107,25;0,00;22,00;0,00;0,00;0,00
2019-05-26;0,00;26,00;4,00;4,00;0,00;0,00;11,00;11,00;0,00
2019-06-02;10,00;40,00;10,00;132,50;0,00;0,00;0,00;21,00;10,00
2019-06-09;11,00;104,50;35,75;129,25;0,00;0,00;11,00;21,00;0,00
2019-06-16;11,00;60,50;11,00;110,00;0,00;11,00;11,00;0,00;0,00
2019-06-23;0,00;28,00;14,00;52,00;0,00;0,00;24,00;12,00;0,00
2019-06-30;24,00;37,33;13,33;64,00;0,00;0,00;12,00;0,00;0,00
2019-07-07;81,00;81,00;12,66;93,66;0,00;0,00;12,00;0,00;0,00
2019-07-14;12,00;84,00;84,00;72,00;0,00;0,00;0,00;0,00;25,00
2019-07-21;38,00;103,87;50,67;103,87;0,00;0,00;0,00;0,00;13,00
2019-07-28;25,00;110,00;25,00;85,00;0,00;0,00;0,00;12,00;0,00
2019-08-04;36,00;110,57;25,71;74,57;0,00;12,00;0,00;0,00;0,00
2019-08-11;47,00;47,00;56,89;185,53;0,00;24,00;12,00;0,00;24,00
2019-08-18;12,00;57,60;12,00;33,60;0,00;12,00;0,00;12,00;0,00
2019-08-25;23,00;69,00;35,78;127,78;0,00;0,00;0,00;0,00;0,00
2019-09-01;33,00;55,85;33,00;88,85;0,00;0,00;11,00;0,00;11,00
2019-09-08;45,00;80,00;22,50;102,50;0,00;23,00;0,00;0,00;11,00
2019-09-15;23,00;58,78;35,78;58,78;0,00;0,00;0,00;0,00;0,00
2019-09-22;0,00;25,00;17,00;21,00;0,00;0,00;0,00;11,00;0,00
2019-09-29;0,00;25,00;8,00;30,00;8,00;11,00;11,00;11,00;0,00
2019-10-06;0,00;30,00;13,00;59,00;4,00;0,00;0,00;11,00;11,00
2019-10-13;32,00;71,38;51,69;93,54;9,85;0,00;11,00;11,00;11,00
2019-10-20;53,00;75,71;20,19;106,00;0,00;0,00;53,00;11,00;0,00
2019-10-27;11,00;49,50;11,00;71,50;0,00;0,00;0,00;11,00;0,00
2019-11-03;74,00;103,60;51,80;74,00;0,00;0,00;21,00;11,00;11,00
2019-11-10;21,00;89,25;44,63;44,63;0,00;0,00;0,00;11,00;0,00
2019-11-17;32,00;51,69;61,54;83,69;0,00;0,00;0,00;21,00;0,00
2019-11-24;10,00;70,00;40,00;60,00;0,00;30,00;0,00;10,00;0,00
2019-12-01;21,00;152,25;76,13;86,63;10,50;10,00;10,00;10,00;21,00
2019-12-08;21,00;86,63;76,13;52,50;0,00;10,00;21,00;10,00;0,00
2019-12-15;61,00;81,33;61,00;134,71;10,17;0,00;41,00;31,00;0,00
2019-12-22;57,00;101,61;66,91;57,00;0,00;11,00;0,00;0,00;11,00
2019-12-29;55,00;120,00;87,50;87,50;0,00;0,00;11,00;11,00;11,00
2020-01-05;50,00;117,50;90,00;80,00;0,00;10,00;10,00;20,00;10,00
2020-01-12;10,00;175,00;37,50;115,00;0,00;10,00;49,00;10,00;0,00
2020-01-19;10,00;60,00;80,00;90,00;0,00;0,00;10,00;0,00;41,00
2020-01-26;20,00;40,00;50,00;100,00;10,00;10,00;0,00;0,00;10,00
2020-02-02;51,00;163,20;61,20;61,20;0,00;0,00;10,00;10,00;0,00
2020-02-09;39,00;130,00;59,80;91,00;0,00;0,00;0,00;10,00;0,00
2020-02-16;20,00;117,50;50,00;147,50;0,00;0,00;0,00;10,00;0,00
2020-02-23;10,00;117,50;50,00;107,50;0,00;0,00;0,00;0,00;0,00
2020-03-01;39,00;59,80;10,40;91,00;0,00;0,00;19,00;10,00;10,00
2020-03-08;19,00;99,75;54,63;116,38;0,00;0,00;10,00;0,00;10,00
