Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;39,00;429,00;97,50;19,50;39,00;35,00;18,00;9,00;17,00;13,00;9,00;0,00;4,00
2019-01-13;48,00;304,00;80,00;32,00;32,00;26,00;4,00;18,00;9,00;4,00;0,00;0,00;9,00
2019-01-20;25,00;237,50;75,00;6,25;25,00;21,00;13,00;17,00;21,00;8,00;8,00;8,00;0,00
2019-01-27;8,00;152,00;40,00;8,00;16,00;13,00;13,00;4,00;8,00;8,00;13,00;4,00;4,00
2019-02-03;40,00;360,00;140,00;40,00;40,00;27,00;13,00;9,00;13,00;4,00;4,00;9,00;4,00
2019-02-10;36,00;324,00;126,00;18,00;18,00;35,00;9,00;4,00;13,00;13,00;0,00;4,00;0,00
2019-02-17;18,00;306,00;72,00;18,00;9,00;22,00;9,00;9,00;22,00;13,00;9,00;18,00;0,00
2019-02-24;31,00;279,00;108,50;31,00;15,50;26,00;48,00;13,00;4,00;9,00;17,00;9,00;9,00
2019-03-03;50,00;350,00;66,67;50,00;33,33;5,00;14,00;5,00;5,00;18,00;9,00;14,00;0,00
2019-03-10;44,00;308,00;73,33;29,33;44,00;31,00;13,00;0,00;4,00;0,00;4,00;4,00;4,00
2019-03-17;36,00;396,00;72,00;18,00;36,00;31,00;4,00;13,00;9,00;18,00;13,00;13,00;9,00
2019-03-24;5,00;230,00;60,00;10,00;10,00;27,00;9,00;14,00;5,00;14,00;5,00;27,00;0,00
2019-03-31;75,00;435,00;90,00;30,00;60,00;53,00;22,00;18,00;13,00;9,00;4,00;4,00;9,00
2019-04-07;46,00;352,67;107,33;46,00;30,67;37,00;14,00;19,00;0,00;19,00;19,00;9,00;5,00
2019-04-14;67,00;1675,00;83,75;16,75;33,50;34,00;39,00;14,00;5,00;29,00;10,00;14,00;14,00
2019-04-21;46,00;260,67;76,67;7,67;15,33;46,00;23,00;14,00;14,00;9,00;9,00;9,00;5,00
2019-04-28;47,00;329,00;109,67;15,67;31,33;47,00;43,00;25,00;8,00;8,00;8,00;4,00;0,00
2019-05-05;21,00;336,00;84,00;21,00;21,00;46,00;13,00;17,00;4,00;4,00;4,00;13,00;0,00
