Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;0,00;0,00;0,00;0,00;39,00;0,00;0,00;19,00;0,00;19,00;39,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;23,00;23,00;23,00;0,00;0,00;23,00;0,00;0,00;23,00;23,00;23,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;46,00;0,00;0,00
2019-01-20;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;19,00;0,00;20,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;0,00;0,00;0,00;0,00;0,00;58,00;0,00;0,00;19,00;0,00;39,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;0,00;23,00;23,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;23,00;23,00;0,00;0,00
2019-02-10;47,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;119,85;23,50;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00
2019-02-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;31,00;0,00;0,00;0,00;0,00;24,00;0,00;47,00;24,00;0,00
2019-02-24;23,00;23,00;0,00;0,00;0,00;23,00;0,00;0,00;23,00;0,00;69,00;23,00;0,00;0,00;0,00;23,00;23,00;0,00;0,00;0,00;23,00
2019-03-03;44,00;44,00;0,00;0,00;44,00;22,00;0,00;0,00;22,00;0,00;67,16;44,00;0,00;0,00;0,00;67,00;22,00;0,00;44,00;0,00;22,00
2019-03-10;0,00;0,00;46,00;0,00;0,00;39,00;0,00;0,00;0,00;0,00;30,00;30,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;23,00
2019-03-17;24,00;24,00;24,00;0,00;24,00;73,20;0,00;0,00;0,00;0,00;172,80;122,40;0,00;0,00;0,00;71,00;0,00;0,00;0,00;0,00;24,00
2019-03-24;24,00;24,00;0,00;0,00;0,00;24,00;0,00;24,00;0,00;0,00;24,00;24,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;0,00;23,00;0,00;0,00;0,00;40,00;0,00;0,00;0,00;0,00;30,00;20,00;0,00;0,00;0,00;23,00;47,00;0,00;23,00;0,00;0,00
2019-04-07;22,00;44,00;44,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;46,44;185,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00
2019-04-14;26,00;0,00;0,00;26,00;0,00;52,00;0,00;0,00;0,00;0,00;106,36;52,00;26,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;26,00
2019-04-21;0,00;0,00;26,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;67,00;56,00;0,00;0,00;0,00;52,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;22,00;22,00;0,00;0,00;0,00;44,00;0,00;0,00;0,00;22,00;127,60;149,60;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;0,00;23,00;23,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;59,00;10,00;0,00;0,00;68,00;0,00;0,00;0,00;23,00;0,00
2019-05-12;0,00;23,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;50,00;50,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;23,00;0,00
2019-05-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;50,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00
2019-05-26;0,00;0,00;49,00;0,00;0,00;21,00;0,00;0,00;42,00;0,00;64,00;53,00;0,00;0,00;0,00;25,00;0,00;0,00;49,00;0,00;49,00
2019-06-02;23,00;46,00;23,00;0,00;23,00;0,00;0,00;0,00;46,00;0,00;46,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;23,00;0,00;0,00
2019-06-09;70,00;93,00;0,00;0,00;0,00;116,67;0,00;23,33;23,33;0,00;23,33;23,33;0,00;0,00;0,00;47,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;47,00;23,00;23,00;23,00;0,00;23,50;0,00;0,00;23,50;0,00;143,35;70,50;0,00;0,00;0,00;23,00;23,00;0,00;47,00;0,00;23,00
2019-06-23;50,00;25,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;72,73;50,00;25,00;0,00;0,00;75,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;0,00;0,00;0,00;24,00;0,00;84,00;0,00;0,00;42,00;0,00;21,00;63,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;24,00;24,00;49,00;0,00;24,00;0,00;0,00;0,00;0,00;24,00;91,64;69,82;0,00;0,00;0,00;24,00;0,00;0,00;49,00;0,00;0,00
2019-07-14;26,00;26,00;26,00;52,00;0,00;0,00;0,00;0,00;0,00;0,00;54,36;106,36;26,00;0,00;0,00;78,00;0,00;26,00;0,00;26,00;26,00
2019-07-21;0,00;28,00;28,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;74,00;37,00;0,00;0,00;0,00;0,00;0,00;28,00;57,00;0,00;0,00
2019-07-28;0,00;86,00;0,00;29,00;0,00;25,00;0,00;0,00;0,00;0,00;62,00;37,00;0,00;0,00;0,00;58,00;0,00;0,00;29,00;0,00;29,00
2019-08-04;26,00;26,00;0,00;26,00;26,00;26,00;0,00;0,00;0,00;0,00;54,36;26,00;0,00;0,00;0,00;0,00;0,00;26,00;26,00;0,00;26,00
2019-08-11;48,00;24,00;0,00;24,00;0,00;24,59;0,00;0,00;24,59;0,00;22,86;96,00;22,86;0,00;0,00;48,00;24,00;0,00;0,00;0,00;0,00
2019-08-18;0,00;0,00;46,00;0,00;0,00;40,00;0,00;0,00;0,00;0,00;50,00;20,00;0,00;0,00;0,00;46,00;0,00;0,00;23,00;0,00;23,00
