Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;37,00;4,00;8,00;4,00;4,00;0,00;8,00;16,00;4,00;25,00;16,00;20,00;37,00;4,00;12,00;0,00;4,00;0,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;42,00;0,00;4,00;0,00;4,00;4,00;4,00;13,00;0,00;21,00;21,00;8,00;17,00;0,00;17,00;0,00;13,00;0,00;0,00;4,00;17,00;0,00;13,00;4,00;0,00;0,00;0,00;0,00
2019-01-20;74,00;20,00;8,00;4,00;4,00;0,00;4,00;29,00;0,00;12,00;16,00;8,00;24,00;4,00;8,00;0,00;0,00;0,00;8,00;8,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;73,00;4,00;8,00;0,00;4,00;0,00;0,00;32,00;0,00;20,00;24,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;55,00;8,00;13,00;0,00;4,00;4,00;0,00;8,00;0,00;8,00;25,00;13,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;17,00;0,00;13,00;0,00;4,00;0,00;0,00;0,00
2019-02-10;30,00;0,00;4,00;0,00;8,00;0,00;4,00;17,00;0,00;21,00;8,00;8,00;13,00;0,00;0,00;4,00;17,00;4,00;0,00;0,00;9,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;26,00;13,00;0,00;0,00;9,00;0,00;0,00;13,00;0,00;21,00;13,00;17,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;42,00;4,00;8,00;0,00;4,00;4,00;0,00;21,00;0,00;4,00;13,00;21,00;17,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-03-03;77,00;4,00;12,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;12,00;4,00;8,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;37,00;0,00;12,00;4,00;8,00;0,00;0,00;8,00;0,00;8,00;8,00;8,00;12,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;17,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;17,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00;9,00;4,00;9,00;0,00;0,00;0,00;0,00;13,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;59,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;44,00;4,00;0,00;0,00;8,00;4,00;0,00;4,00;0,00;4,00;32,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;51,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;5,00;0,00;9,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-04-21;28,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;16,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;4,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;17,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;25,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;49,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;55,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;38,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;17,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;59,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;72,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;13,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;62,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;22,00;4,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;62,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;35,00;4,00;9,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;71,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;98,00;5,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;10,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;5,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;83,00;0,00;10,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;91,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;24,00;9,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;61,00;4,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;4,00;9,00;4,00;9,00;0,00;9,00;4,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;71,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-08-25;46,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;40,00;0,00;8,00;0,00;0,00;4,00;0,00;4,00;0,00;12,00;8,00;12,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;46,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;8,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;50,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;37,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;33,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;50,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;41,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;4,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;48,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;28,00;4,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;12,00;0,00;0,00;8,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;44,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;8,00;8,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;8,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
