Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;79,00;93,36;79,00;93,36;0,00;16,00;0,00;0,00;0,00
2019-01-13;16,00;29,71;75,43;107,43;0,00;0,00;0,00;16,00;0,00
2019-01-20;48,00;62,40;16,80;158,40;0,00;16,00;0,00;0,00;16,00
2019-01-27;32,00;64,00;96,00;96,00;0,00;32,00;0,00;16,00;0,00
2019-02-03;65,00;65,00;31,30;65,00;0,00;0,00;0,00;49,00;33,00
2019-02-10;33,00;63,64;33,00;127,29;0,00;17,00;0,00;17,00;0,00
2019-02-17;33,00;0,00;33,00;193,29;0,00;17,00;33,00;17,00;0,00
2019-02-24;82,00;48,24;65,12;31,35;0,00;0,00;0,00;16,00;0,00
2019-03-03;47,00;64,32;64,32;47,00;0,00;0,00;0,00;31,00;31,00
2019-03-10;97,00;31,53;48,50;111,55;0,00;0,00;16,00;32,00;16,00
2019-03-17;100,00;51,22;34,15;151,22;0,00;0,00;33,00;0,00;0,00
2019-03-24;67,00;17,37;34,74;34,74;17,37;0,00;0,00;50,00;0,00
2019-03-31;49,00;83,30;49,00;98,00;0,00;0,00;0,00;33,00;0,00
2019-04-07;31,00;59,62;14,31;90,62;0,00;15,00;31,00;0,00;0,00
2019-04-14;55,00;17,50;17,50;55,00;0,00;0,00;18,00;0,00;0,00
2019-04-21;37,00;0,00;19,73;74,00;0,00;0,00;18,00;0,00;55,00
2019-04-28;47,00;64,32;64,32;32,16;0,00;32,00;0,00;32,00;0,00
2019-05-05;32,00;0,00;17,23;113,23;0,00;16,00;16,00;0,00;0,00
2019-05-12;81,00;81,00;31,91;112,91;0,00;0,00;16,00;16,00;0,00
2019-05-19;16,00;29,71;29,71;107,43;0,00;0,00;0,00;16,00;0,00
2019-05-26;35,00;35,00;35,00;107,50;0,00;0,00;17,00;17,00;0,00
2019-06-02;16,00;45,71;0,00;61,71;0,00;0,00;0,00;0,00;0,00
2019-06-09;33,00;17,77;17,77;86,31;0,00;0,00;16,00;16,00;0,00
2019-06-16;16,00;61,71;0,00;77,71;0,00;0,00;0,00;0,00;16,00
2019-06-23;0,00;7,00;7,00;14,00;0,00;18,00;35,00;35,00;18,00
2019-06-30;17,00;51,00;51,00;85,00;17,00;0,00;69,00;17,00;0,00
2019-07-07;17,00;85,00;34,00;138,43;0,00;17,00;34,00;35,00;0,00
2019-07-14;55,00;35,87;19,13;55,00;19,13;0,00;18,00;0,00;18,00
2019-07-21;40,00;20,00;20,00;62,50;0,00;0,00;20,00;20,00;0,00
2019-07-28;20,00;20,00;42,50;250,00;0,00;20,00;61,00;20,00;20,00
2019-08-04;56,00;112,00;36,52;112,00;0,00;19,00;0,00;0,00;19,00
2019-08-11;17,00;34,00;51,00;85,00;0,00;0,00;0,00;0,00;34,00
2019-08-18;33,00;17,77;0,00;119,31;0,00;16,00;16,00;0,00;0,00
2019-08-25;16,00;61,71;45,71;91,43;0,00;0,00;16,00;0,00;33,00
2019-09-01;47,00;0,00;14,84;64,32;0,00;0,00;0,00;0,00;0,00
2019-09-08;49,00;132,30;17,15;66,15;0,00;0,00;0,00;0,00;0,00
2019-09-15;16,00;91,43;0,00;91,43;0,00;0,00;0,00;16,00;0,00
2019-09-22;16,00;150,86;16,00;75,43;0,00;16,00;16,00;16,00;32,00
2019-09-29;16,00;45,71;45,71;75,43;0,00;0,00;16,00;0,00;0,00
2019-10-06;49,00;115,15;31,85;181,30;0,00;0,00;33,00;0,00;0,00
2019-10-13;32,00;17,23;17,23;64,00;0,00;0,00;16,00;16,00;0,00
2019-10-20;16,00;0,00;69,33;154,67;0,00;0,00;47,00;0,00;47,00
2019-10-27;31,00;45,31;45,31;138,31;0,00;0,00;31,00;0,00;0,00
2019-11-03;77,00;94,39;77,00;203,68;0,00;0,00;46,00;31,00;0,00
2019-11-10;31,00;107,31;31,00;107,31;0,00;16,00;0,00;16,00;0,00
2019-11-17;15,00;47,50;32,50;142,50;0,00;0,00;61,00;0,00;0,00
2019-11-24;45,00;28,42;101,84;87,63;0,00;0,00;0,00;30,00;0,00
2019-12-01;16,00;34,67;34,67;50,67;0,00;0,00;31,00;16,00;0,00
2019-12-08;61,00;31,72;14,64;61,00;0,00;15,00;15,00;0,00;15,00
2019-12-15;78,00;109,69;31,69;78,00;14,63;0,00;31,00;16,00;16,00
2019-12-22;37,00;93,73;19,73;167,73;0,00;19,00;0,00;0,00;19,00
2019-12-29;89,00;54,39;0,00;163,17;0,00;18,00;0,00;36,00;0,00
2020-01-05;30,00;62,50;30,00;217,50;0,00;0,00;15,00;0,00;0,00
2020-01-12;15,00;30,00;105,00;120,00;0,00;0,00;15,00;15,00;29,00
2020-01-19;44,00;58,67;58,67;119,78;0,00;30,00;0,00;44,00;15,00
2020-01-26;44,00;88,00;14,67;88,00;0,00;15,00;0,00;0,00;15,00
2020-02-02;0,00;24,00;12,00;30,00;0,00;15,00;29,00;15,00;44,00
2020-02-09;74,00;74,00;29,60;88,80;14,80;0,00;0,00;0,00;15,00
2020-02-16;60,00;60,00;30,00;45,00;0,00;0,00;15,00;0,00;0,00
2020-02-23;57,00;44,61;57,00;71,87;0,00;0,00;0,00;14,00;0,00
2020-03-01;14,00;53,67;28,00;81,67;0,00;28,00;14,00;14,00;14,00
2020-03-08;0,00;28,00;22,00;28,00;0,00;0,00;0,00;14,00;0,00
2020-03-15;14,00;39,67;14,00;67,67;0,00;0,00;14,00;0,00;14,00
2020-03-22;26,00;11,82;11,82;52,00;0,00;0,00;0,00;13,00;0,00
2020-03-29;14,00;65,33;0,00;39,67;0,00;0,00;14,00;0,00;0,00
2020-04-05;59,00;0,00;0,00;88,50;0,00;0,00;30,00;0,00;15,00
2020-04-12;0,00;30,00;18,00;24,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;27,00;27,00;14,73;27,00;0,00;0,00;0,00;0,00;27,00
2020-04-26;26,00;37,82;11,82;101,64;11,82;39,00;0,00;13,00;13,00
2020-05-03;27,00;41,73;27,00;27,00;0,00;0,00;27,00;27,00;0,00
2020-05-10;14,00;14,00;0,00;51,33;0,00;0,00;27,00;0,00;0,00
2020-05-17;89,00;74,57;28,86;74,57;0,00;0,00;15,00;0,00;0,00
2020-05-24;57,00;14,87;44,61;101,61;14,87;28,00;43,00;14,00;14,00
2020-05-31;14,00;0,00;25,67;79,33;0,00;0,00;0,00;0,00;0,00
2020-06-07;41,00;94,06;26,53;26,53;0,00;0,00;0,00;27,00;0,00
2020-06-14;41,00;26,53;26,53;55,47;0,00;0,00;14,00;0,00;0,00
2020-06-21;45,00;15,00;15,00;107,50;15,00;0,00;15,00;15,00;0,00
2020-06-28;58,00;14,50;14,50;0,00;0,00;0,00;0,00;29,00;0,00
2020-07-05;31,00;0,00;31,00;104,92;0,00;0,00;15,00;0,00;0,00
2020-07-12;16,00;34,67;0,00;16,00;0,00;31,00;16,00;0,00;0,00
2020-07-19;32,00;32,00;17,23;49,23;0,00;0,00;32,00;0,00;0,00
2020-07-26;0,00;7,00;7,00;40,00;7,00;0,00;0,00;0,00;0,00
2020-08-02;47,00;14,84;14,84;0,00;0,00;0,00;16,00;0,00;0,00
2020-08-09;0,00;18,00;6,00;12,00;0,00;15,00;30,00;0,00;0,00
2020-08-16;15,00;45,00;30,00;60,00;0,00;0,00;15,00;0,00;30,00
2020-08-23;0,00;0,00;12,00;30,00;0,00;0,00;0,00;0,00;15,00
