Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;19,00;139,33;3,17;15,83;22,17;3,00;0,00;3,00;10,00;7,00;7,00;0,00;6,00
2019-01-13;30,00;141,00;3,00;39,00;33,00;10,00;20,00;3,00;7,00;3,00;3,00;3,00;10,00
2019-01-20;23,00;157,71;3,29;39,43;23,00;3,00;13,00;3,00;7,00;3,00;3,00;7,00;3,00
2019-01-27;16,00;147,20;3,20;35,20;32,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;6,00
2019-02-03;13,00;159,25;3,25;32,50;35,75;20,00;7,00;0,00;0,00;7,00;3,00;0,00;0,00
2019-02-10;20,00;174,29;5,71;28,57;28,57;17,00;7,00;0,00;7,00;3,00;7,00;0,00;0,00
2019-02-17;20,00;134,29;0,00;34,29;34,29;0,00;7,00;0,00;0,00;7,00;7,00;7,00;7,00
2019-02-24;27,00;162,00;0,00;30,00;21,00;17,00;10,00;0,00;0,00;7,00;7,00;0,00;3,00
2019-03-03;10,00;206,67;6,67;30,00;26,67;16,00;3,00;0,00;3,00;13,00;13,00;3,00;0,00
2019-03-10;30,00;183,00;3,00;30,00;36,00;10,00;20,00;3,00;0,00;7,00;7,00;0,00;0,00
2019-03-17;27,00;171,00;0,00;24,00;18,00;20,00;3,00;0,00;7,00;3,00;7,00;7,00;7,00
2019-03-24;34,00;145,27;6,18;55,64;27,82;14,00;14,00;7,00;7,00;0,00;7,00;0,00;14,00
2019-03-31;40,00;181,54;3,08;27,69;12,31;27,00;3,00;3,00;0,00;3,00;10,00;3,00;0,00
2019-04-07;57,00;207,00;3,00;45,00;36,00;22,00;3,00;10,00;3,00;6,00;0,00;3,00;13,00
2019-04-14;49,00;306,25;0,00;55,13;67,38;11,00;23,00;0,00;7,00;7,00;4,00;7,00;7,00
2019-04-21;34,00;188,55;3,09;46,36;49,45;11,00;8,00;0,00;0,00;0,00;8,00;4,00;11,00
2019-04-28;29,00;148,22;3,22;29,00;25,78;19,00;10,00;10,00;3,00;10,00;6,00;0,00;6,00
2019-05-05;49,00;189,88;3,06;30,63;30,63;20,00;7,00;3,00;3,00;7,00;16,00;3,00;0,00
2019-05-12;40,00;147,69;0,00;40,00;43,08;13,00;10,00;7,00;3,00;3,00;0,00;7,00;7,00
