Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;42,00;28,00;0,00;0,00;0,00;28,00;14,00;0,00;0,00;14,82;113,65;71,65;0,00;0,00;0,00;42,00;14,82;0,00;84,00;0,00;0,00
2019-01-13;42,00;42,00;14,00;0,00;0,00;42,00;0,00;0,00;0,00;0,00;113,65;140,82;0,00;0,00;0,00;42,00;0,00;13,55;28,45;0,00;28,45
2019-01-20;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;34,00;0,00;0,00;0,00;33,00;5,00;0,00;41,00;0,00;10,00
2019-01-27;14,00;27,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;105,00;25,67;0,00;0,00;0,00;30,80;14,00;0,00;42,00;0,00;14,00
2019-02-03;57,00;14,00;28,00;14,00;0,00;0,00;0,00;0,00;0,00;14,87;143,74;101,61;0,00;14,87;0,00;84,26;0,00;0,00;13,57;0,00;0,00
2019-02-10;28,00;28,00;28,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;28,00;81,67;0,00;0,00;0,00;114,55;15,27;0,00;13,33;0,00;28,00
2019-02-17;43,00;43,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;14,33;83,61;43,00;0,00;0,00;0,00;86,00;0,00;0,00;73,52;0,00;0,00
2019-02-24;15,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;90,00;45,00;0,00;0,00;0,00;87,50;0,00;0,00;30,00;0,00;15,00
2019-03-03;28,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;95,67;53,67;0,00;0,00;0,00;58,55;0,00;0,00;56,00;0,00;13,33
2019-03-10;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;46,00;0,00;0,00;0,00;17,00;0,00;0,00;41,00;0,00;10,00
2019-03-17;44,00;44,00;15,00;0,00;0,00;59,00;0,00;0,00;0,00;0,00;73,33;102,67;0,00;0,00;0,00;29,33;14,67;0,00;30,25;0,00;15,13
2019-03-24;44,00;58,00;15,00;0,00;0,00;15,00;0,00;0,00;15,00;14,67;117,33;102,67;0,00;0,00;0,00;106,12;0,00;0,00;28,88;0,00;0,00
2019-03-31;15,00;15,00;15,00;0,00;0,00;29,00;0,00;15,00;0,00;0,00;75,00;90,00;0,00;0,00;0,00;57,50;15,00;0,00;88,64;0,00;0,00
2019-04-07;43,00;29,00;0,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;112,28;83,61;0,00;0,00;0,00;73,35;30,35;0,00;43,00;0,00;0,00
2019-04-14;31,00;16,00;31,00;16,00;16,00;16,00;0,00;0,00;0,00;0,00;93,00;0,00;0,00;0,00;0,00;73,92;0,00;0,00;78,17;16,17;16,17
2019-04-21;30,00;15,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;129,23;87,69;0,00;0,00;0,00;107,50;0,00;0,00;31,36;0,00;31,36
2019-04-28;71,00;14,00;14,00;14,00;0,00;0,00;0,00;0,00;14,00;29,38;100,38;100,38;0,00;0,00;0,00;86,21;15,21;0,00;57,35;15,02;57,35
2019-05-05;14,00;56,00;0,00;0,00;0,00;42,00;0,00;0,00;14,00;0,00;121,33;161,00;0,00;0,00;0,00;51,33;39,67;0,00;29,40;0,00;14,00
2019-05-12;29,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;58,00;72,50;0,00;0,00;14,50;99,08;0,00;15,19;15,19;0,00;44,19
2019-05-19;72,00;57,00;29,00;0,00;0,00;14,00;0,00;14,00;14,00;14,40;156,00;98,40;0,00;0,00;0,00;86,90;29,79;0,00;72,00;0,00;14,94
2019-05-26;30,00;44,00;30,00;0,00;0,00;30,00;0,00;0,00;0,00;15,00;60,00;75,00;0,00;0,00;0,00;30,00;30,00;15,00;45,00;0,00;30,00
2019-06-02;100,00;71,00;14,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;143,90;129,27;0,00;0,00;0,00;100,00;42,50;0,00;43,24;0,00;56,76
2019-06-09;73,00;58,00;0,00;15,00;0,00;0,00;0,00;0,00;15,00;0,00;116,80;146,00;0,00;0,00;0,00;30,21;73,00;0,00;58,13;0,00;14,87
2019-06-16;30,00;45,00;30,00;15,00;0,00;30,00;0,00;0,00;0,00;0,00;182,50;182,50;0,00;15,00;15,00;60,00;60,00;0,00;45,00;0,00;30,00
2019-06-23;44,00;59,00;15,00;0,00;0,00;29,00;0,00;0,00;15,00;0,00;146,67;73,33;0,00;0,00;0,00;70,89;0,00;15,13;15,13;0,00;15,13
2019-06-30;14,00;43,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;28,00;123,67;95,67;0,00;0,00;0,00;28,00;0,00;0,00;54,73;14,00;26,73
2019-07-07;0,00;14,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;6,00;100,00;29,00;0,00;0,00;0,00;29,00;11,00;0,00;53,00;0,00;11,00
2019-07-14;60,00;75,00;0,00;0,00;0,00;60,00;0,00;0,00;0,00;0,00;88,80;148,80;0,00;0,00;0,00;150,00;15,00;15,00;30,00;0,00;15,00
2019-07-21;31,00;16,00;0,00;16,00;0,00;16,00;0,00;0,00;16,00;0,00;228,92;45,31;0,00;0,00;0,00;129,17;15,50;0,00;62,00;0,00;14,83
2019-07-28;60,00;15,00;45,00;0,00;0,00;45,00;15,00;0,00;0,00;14,40;148,80;60,00;0,00;0,00;0,00;90,00;60,00;0,00;30,00;0,00;0,00
2019-08-04;61,00;15,00;0,00;15,00;0,00;31,00;15,00;0,00;0,00;0,00;46,36;61,00;0,00;0,00;0,00;170,29;15,25;14,91;31,18;0,00;14,91
2019-08-11;88,00;44,00;29,00;0,00;0,00;15,00;29,00;0,00;15,00;14,67;88,00;44,00;0,00;0,00;0,00;60,34;15,09;0,00;0,00;0,00;44,68
2019-08-18;45,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;215,00;167,50;0,00;15,00;0,00;30,00;60,00;0,00;60,00;0,00;15,00
2019-08-25;58,00;29,00;44,00;15,00;0,00;29,00;0,00;0,00;15,00;0,00;188,50;145,00;0,00;0,00;0,00;88,26;30,26;14,84;72,84;0,00;29,67
2019-09-01;71,00;43,00;29,00;0,00;0,00;29,00;0,00;14,00;0,00;0,00;115,07;100,38;0,00;0,00;14,69;71,00;0,00;0,00;43,69;0,00;28,67
2019-09-08;43,00;57,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;83,61;126,61;0,00;0,00;0,00;86,00;0,00;0,00;28,22;14,78;28,22
2019-09-15;43,00;43,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;83,61;97,94;0,00;0,00;0,00;27,82;0,00;0,00;28,22;0,00;14,78
2019-09-22;0,00;0,00;42,00;0,00;0,00;14,00;0,00;0,00;14,00;0,00;70,00;17,00;0,00;0,00;0,00;28,00;0,00;0,00;31,00;0,00;0,00
2019-09-29;56,00;56,00;0,00;0,00;0,00;42,00;0,00;0,00;0,00;14,61;112,00;56,00;0,00;0,00;0,00;124,17;0,00;0,00;41,33;0,00;0,00
2019-10-06;56,00;14,00;42,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;41,39;41,39;0,00;0,00;0,00;28,00;15,27;0,00;28,68;0,00;13,66
2019-10-13;56,00;28,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;99,83;29,22;0,00;0,00;0,00;56,00;0,00;0,00;28,68;0,00;0,00
2019-10-20;27,00;27,00;13,00;0,00;0,00;0,00;0,00;14,00;0,00;14,73;149,73;41,73;14,73;0,00;0,00;12,27;0,00;0,00;0,00;0,00;0,00
2019-10-27;13,00;0,00;27,00;0,00;0,00;27,00;0,00;0,00;0,00;23,83;47,67;108,33;0,00;0,00;0,00;41,60;13,00;0,00;26,00;0,00;0,00
2019-11-03;40,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,50;95,00;40,00;0,00;0,00;0,00;52,50;12,50;40,00;13,79;0,00;13,79
2019-11-10;27,00;0,00;0,00;27,00;0,00;0,00;0,00;13,00;13,00;0,00;54,00;93,27;0,00;0,00;0,00;66,27;0,00;27,00;27,00;0,00;13,50
2019-11-17;13,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;28,60;13,00;0,00;0,00;0,00;13,00;13,00;0,00;26,00;0,00;13,00
2019-11-24;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;54,60;13,00;0,00;0,00;0,00;106,60;13,00;0,00;27,44;0,00;14,44
2019-12-01;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;85,80;28,60;0,00;0,00;0,00;13,00;0,00;13,00;13,00;0,00;0,00
2019-12-08;53,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;106,00;0,00;0,00;0,00;0,00;40,38;0,00;0,00;107,36;0,00;27,18
2019-12-15;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;17,00;0,00;0,00;0,00;16,00;5,00;0,00;100,00;0,00;0,00
2019-12-22;16,00;16,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;50,67;69,33;0,00;0,00;0,00;184,00;0,00;0,00;100,36;17,45;66,91
