Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;19,00;4,22;2,11;6,33;3,17;4,00;3,00;3,00;1,00;0,00;0,00;3,00;1,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-01-13;29,00;4,14;0,00;1,04;3,11;1,00;3,00;3,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;25,00;4,17;3,13;4,17;2,08;2,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;23,00;2,09;6,27;3,14;2,09;2,00;2,00;6,00;0,00;1,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;18,00;5,29;1,06;2,12;2,12;0,00;4,00;3,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-02-10;25,00;4,17;3,13;1,04;2,08;1,00;6,00;2,00;0,00;0,00;2,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;26,00;2,08;1,04;3,12;1,04;1,00;4,00;4,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;7,37;2,11;5,26;3,16;1,00;1,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;28,00;5,38;1,08;1,08;3,23;2,00;4,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;39,00;4,22;1,05;1,05;0,00;3,00;6,00;6,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00
2019-03-17;26,00;4,33;1,08;5,42;2,17;1,00;8,00;2,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-03-24;31,00;3,10;1,03;3,10;3,10;1,00;6,00;2,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;28,00;5,19;1,04;3,11;0,00;0,00;3,00;5,00;0,00;0,00;1,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;39,00;6,32;0,00;3,16;2,11;1,00;4,00;3,00;0,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;2,00;0,00;0,00
2019-04-14;49,00;4,26;4,26;4,26;2,13;2,00;7,00;1,00;0,00;0,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;51,00;6,24;4,16;5,20;3,12;1,00;6,00;4,00;0,00;0,00;1,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;45,00;6,28;2,09;4,19;2,09;2,00;7,00;2,00;0,00;1,00;0,00;0,00;2,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-05-05;31,00;4,13;0,00;4,13;0,00;1,00;3,00;4,00;0,00;0,00;0,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;43,00;4,20;1,05;3,15;4,20;4,00;11,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;39,00;4,22;1,05;4,22;5,27;4,00;5,00;2,00;0,00;0,00;0,00;3,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-05-26;36,00;5,29;3,18;5,29;3,18;4,00;4,00;4,00;0,00;0,00;1,00;7,00;2,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-02;41,00;7,36;5,26;5,26;1,05;3,00;6,00;3,00;0,00;0,00;0,00;3,00;3,00;1,00;0,00;1,00;2,00;2,00;0,00;0,00;0,00
2019-06-09;48,00;7,30;5,22;6,26;2,09;7,00;6,00;4,00;1,00;1,00;2,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;31,00;11,76;4,28;11,76;1,07;2,00;10,00;10,00;1,00;1,00;1,00;6,00;0,00;1,00;1,00;0,00;1,00;0,00;2,00;0,00;0,00
2019-06-23;48,00;8,35;6,26;4,17;5,22;0,00;3,00;6,00;0,00;1,00;1,00;2,00;2,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-06-30;39,00;11,59;6,32;8,43;5,27;1,00;11,00;6,00;1,00;0,00;1,00;1,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-07-07;47,00;6,27;5,22;5,22;3,13;2,00;6,00;4,00;0,00;1,00;1,00;4,00;4,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-07-14;47,00;13,58;3,13;9,40;2,09;7,00;4,00;3,00;0,00;1,00;2,00;2,00;6,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-07-21;42,00;11,55;5,25;6,30;2,10;2,00;6,00;7,00;1,00;0,00;1,00;2,00;1,00;0,00;1,00;2,00;1,00;0,00;0,00;2,00;0,00
2019-07-28;42,00;8,40;1,05;3,15;4,20;6,00;3,00;3,00;0,00;1,00;2,00;3,00;6,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-08-04;43,00;13,63;10,49;3,15;3,15;5,00;2,00;1,00;0,00;0,00;1,00;2,00;3,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00
2019-08-11;34,00;10,63;7,44;4,25;6,38;1,00;4,00;5,00;2,00;0,00;1,00;6,00;3,00;1,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-08-18;44,00;78,57;3,14;6,29;2,10;2,00;4,00;1,00;1,00;0,00;1,00;6,00;2,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-08-25;43,00;104,88;6,29;7,34;3,15;3,00;4,00;5,00;0,00;0,00;0,00;3,00;2,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-09-01;46,00;12,55;0,00;2,09;2,09;4,00;4,00;5,00;1,00;0,00;0,00;2,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;45,00;9,42;2,09;4,19;4,19;4,00;3,00;5,00;0,00;0,00;0,00;4,00;1,00;2,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-09-15;41,00;5,26;2,10;5,26;3,15;3,00;2,00;5,00;1,00;0,00;0,00;4,00;5,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-09-22;39,00;4,22;2,11;4,22;1,05;3,00;4,00;2,00;0,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-09-29;36,00;8,47;3,18;3,18;3,18;2,00;4,00;1,00;1,00;1,00;0,00;2,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-10-06;29,00;7,25;0,00;6,21;4,14;1,00;0,00;4,00;0,00;0,00;1,00;2,00;4,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-10-13;22,00;4,19;1,05;3,14;0,00;3,00;3,00;4,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-10-20;28,00;2,07;0,00;2,07;1,04;0,00;5,00;0,00;0,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-10-27;17,00;5,31;2,13;2,13;3,19;0,00;1,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-11-03;12,00;6,00;3,00;2,00;1,00;1,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;19,00;0,00;2,11;2,11;0,00;0,00;2,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;12,00;3,27;3,27;2,18;3,27;2,00;4,00;3,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-11-24;24,00;2,09;1,04;2,09;0,00;1,00;2,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-12-01;23,00;3,14;1,05;3,14;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;13,00;34,67;1,08;2,17;2,17;1,00;3,00;2,00;0,00;0,00;0,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;15,00;6,00;1,00;1,00;3,00;2,00;0,00;1,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
