Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;57,00;57,00;16,00;0,00;24,00;32,00;16,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;24,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;41,00;24,00;24,00;16,00;8,00;0,00;0,00;8,00;16,00;8,00;8,00;16,00;8,00;8,00;0,00;0,00;24,00;0,00;16,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;56,00;24,00;24,00;0,00;0,00;0,00;8,00;16,00;8,00;8,00;0,00;16,00;8,00;0,00;24,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;32,00;24,00;0,00;8,00;24,00;8,00;32,00;24,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;58,00;17,00;0,00;17,00;25,00;8,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;17,00;8,00;33,00;0,00;8,00;8,00;0,00;8,00;8,00;0,00;25,00;0,00;0,00;8,00;8,00;0,00;8,00;0,00;17,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;33,00;17,00;33,00;8,00;0,00;25,00;0,00;0,00;0,00;0,00;8,00;8,00;8,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2019-02-24;26,00;17,00;17,00;9,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;58,00;41,00;50,00;17,00;8,00;8,00;33,00;0,00;25,00;0,00;8,00;8,00;0,00;8,00;8,00;0,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;49,00;16,00;49,00;0,00;0,00;0,00;16,00;16,00;16,00;8,00;8,00;16,00;0,00;0,00;8,00;0,00;8,00;0,00;16,00;16,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
