Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;19,00;167,20;3,80;38,00;3,80;12,00;7,00;2,00;8,00;7,00;0,00;0,00;0,00
2019-01-13;29,00;174,00;3,63;43,50;10,88;11,00;8,00;1,00;7,00;4,00;4,00;0,00;0,00
2019-01-20;25,00;128,57;1,79;57,14;7,14;12,00;5,00;4,00;4,00;1,00;6,00;3,00;1,00
2019-01-27;23,00;164,83;1,92;53,67;7,67;21,00;4,00;1,00;5,00;8,00;5,00;1,00;1,00
2019-02-03;18,00;144,00;1,80;46,80;7,20;11,00;5,00;1,00;3,00;6,00;1,00;0,00;0,00
2019-02-10;25,00;162,50;2,08;62,50;8,33;9,00;9,00;5,00;2,00;5,00;3,00;2,00;0,00
2019-02-17;26,00;170,86;1,86;74,29;3,71;10,00;6,00;1,00;3,00;6,00;3,00;2,00;1,00
2019-02-24;20,00;172,00;4,00;68,00;8,00;12,00;8,00;1,00;6,00;4,00;5,00;3,00;1,00
2019-03-03;28,00;180,00;4,00;80,00;8,00;13,00;12,00;1,00;8,00;4,00;5,00;5,00;1,00
2019-03-10;39,00;191,10;3,90;62,40;3,90;18,00;11,00;2,00;7,00;2,00;1,00;3,00;1,00
2019-03-17;26,00;204,29;3,71;63,14;11,14;13,00;6,00;3,00;2,00;7,00;4,00;2,00;2,00
2019-03-24;31,00;166,63;1,94;89,13;7,75;12,00;7,00;6,00;5,00;5,00;2,00;0,00;2,00
2019-03-31;28,00;180,00;0,00;76,00;12,00;14,00;6,00;2,00;5,00;3,00;2,00;2,00;0,00
2019-04-07;39,00;210,60;3,90;78,00;15,60;14,00;8,00;5,00;6,00;6,00;1,00;2,00;1,00
2019-04-14;49,00;376,92;3,77;101,77;11,31;11,00;9,00;2,00;8,00;4,00;5,00;3,00;1,00
2019-04-21;51,00;204,00;0,00;94,15;3,92;18,00;8,00;0,00;7,00;1,00;3,00;1,00;1,00
2019-04-28;45,00;153,75;3,75;71,25;3,75;11,00;9,00;3,00;5,00;4,00;1,00;1,00;0,00
2019-05-05;31,00;186,00;1,94;58,13;11,63;15,00;16,00;4,00;2,00;5,00;3,00;3,00;0,00
2019-05-12;43,00;199,36;3,91;70,36;7,82;11,00;10,00;2,00;12,00;9,00;3,00;2,00;0,00
2019-05-19;39,00;202,80;3,90;66,30;11,70;12,00;11,00;4,00;7,00;3,00;5,00;3,00;0,00
2019-05-26;36,00;184,00;2,00;104,00;8,00;16,00;9,00;2,00;10,00;6,00;4,00;2,00;4,00
2019-06-02;41,00;205,00;3,73;78,27;11,18;17,00;7,00;5,00;9,00;6,00;5,00;2,00;2,00
2019-06-09;48,00;192,00;3,69;81,23;3,69;15,00;14,00;2,00;5,00;3,00;9,00;4,00;0,00
2019-06-16;31,00;197,63;3,88;96,88;7,75;11,00;16,00;4,00;10,00;11,00;2,00;2,00;3,00
2019-06-23;48,00;155,08;0,00;55,38;7,38;24,00;14,00;4,00;5,00;8,00;1,00;2,00;0,00
2019-06-30;39,00;175,50;1,95;70,20;11,70;27,00;8,00;1,00;9,00;9,00;2,00;4,00;2,00
2019-07-07;47,00;188,00;3,92;86,17;15,67;20,00;9,00;5,00;7,00;9,00;4,00;5,00;1,00
2019-07-14;47,00;215,42;3,92;97,92;7,83;15,00;16,00;2,00;3,00;6,00;5,00;4,00;4,00
2019-07-21;42,00;183,27;3,82;103,09;7,64;16,00;15,00;2,00;9,00;4,00;1,00;4,00;0,00
2019-07-28;42,00;206,18;3,82;76,36;11,45;13,00;11,00;5,00;5,00;10,00;2,00;5,00;0,00
2019-08-04;43,00;195,45;7,82;109,45;3,91;18,00;15,00;5,00;2,00;4,00;3,00;2,00;0,00
2019-08-11;34,00;185,11;3,78;79,33;7,56;22,00;12,00;1,00;9,00;5,00;0,00;2,00;3,00
2019-08-18;44,00;190,67;3,67;157,67;7,33;22,00;9,00;3,00;4,00;5,00;1,00;2,00;0,00
2019-08-25;43,00;164,18;3,91;215,00;7,82;15,00;14,00;5,00;4,00;4,00;2,00;1,00;2,00
2019-09-01;46,00;207,00;0,00;80,50;7,67;7,00;9,00;7,00;7,00;3,00;7,00;1,00;1,00
2019-09-08;45,00;172,50;1,88;78,75;7,50;19,00;6,00;6,00;9,00;2,00;5,00;3,00;1,00
2019-09-15;41,00;167,73;3,73;89,45;7,45;11,00;7,00;2,00;7,00;2,00;7,00;2,00;0,00
2019-09-22;39,00;218,40;1,95;89,70;19,50;11,00;11,00;4,00;7,00;1,00;1,00;3,00;0,00
2019-09-29;36,00;240,00;4,00;116,00;8,00;9,00;9,00;1,00;5,00;4,00;4,00;1,00;1,00
2019-10-06;29,00;184,88;3,63;90,63;7,25;13,00;11,00;5,00;6,00;4,00;1,00;4,00;1,00
2019-10-13;22,00;187,00;3,67;69,67;7,33;14,00;3,00;2,00;5,00;2,00;2,00;2,00;1,00
2019-10-20;28,00;180,00;4,00;72,00;8,00;9,00;4,00;1,00;4,00;5,00;1,00;1,00;1,00
2019-10-27;17,00;195,50;4,25;102,00;8,50;12,00;8,00;1,00;6,00;1,00;5,00;5,00;2,00
2019-11-03;12,00;144,00;2,00;64,00;12,00;11,00;4,00;2,00;7,00;4,00;4,00;0,00;2,00
2019-11-10;19,00;152,00;0,00;53,20;7,60;11,00;4,00;4,00;8,00;3,00;3,00;1,00;2,00
2019-11-17;12,00;160,00;2,00;76,00;8,00;8,00;8,00;0,00;4,00;1,00;2,00;1,00;1,00
2019-11-24;24,00;160,00;4,00;80,00;4,00;6,00;7,00;3,00;3,00;3,00;2,00;2,00;0,00
2019-12-01;23,00;168,67;1,92;80,50;3,83;7,00;3,00;2,00;8,00;2,00;3,00;0,00;0,00
2019-12-08;13,00;173,33;4,33;91,00;4,33;6,00;6,00;4,00;5,00;3,00;3,00;1,00;0,00
2019-12-15;15,00;150,00;1,88;67,50;3,75;7,00;5,00;4,00;5,00;3,00;4,00;1,00;0,00
