Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;16,00;16,00;0,00;5,00;0,00;35,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;26,00;26,00;13,68;0,00;0,00;26,00;0,00;0,00;0,00;0,00;13,00;39,00;0,00;0,00;0,00;36,40;0,00;0,00;0,00;0,00;0,00
2019-01-20;37,00;24,67;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;37,00;50,21;0,00;0,00;0,00;60,79;0,00;0,00;0,00;0,00;0,00
2019-01-27;12,00;37,33;0,00;0,00;0,00;13,00;0,00;0,00;12,00;0,00;45,60;45,60;0,00;12,00;0,00;45,60;0,00;0,00;13,00;0,00;0,00
2019-02-03;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;39,00;39,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;78,00;52,00;0,00;0,00;0,00;66,86;0,00;0,00;0,00;0,00;0,00
2019-02-17;0,00;39,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;46,00;20,00;0,00;0,00;0,00;25,00;0,00;0,00;13,00;0,00;13,00
2019-02-24;0,00;38,00;19,00;0,00;0,00;39,00;0,00;0,00;0,00;0,00;15,00;10,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;13,00;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;41,60;0,00;0,00;0,00;65,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;27,00;40,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;110,70;43,20;0,00;0,00;0,00;108,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;27,00;40,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,50;99,90;56,70;0,00;0,00;0,00;121,50;0,00;0,00;14,00;0,00;41,00
2019-03-24;54,00;94,50;13,50;0,00;0,00;0,00;0,00;14,00;14,00;25,71;12,86;108,00;0,00;0,00;0,00;40,50;0,00;0,00;0,00;0,00;0,00
2019-03-31;0,00;47,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;5,00;40,00;30,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;51,00;38,92;13,42;0,00;0,00;0,00;0,00;0,00;13,00;0,00;51,00;114,75;12,75;0,00;0,00;88,58;0,00;0,00;0,00;0,00;0,00
2019-04-14;41,00;68,33;0,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;41,00;94,81;0,00;0,00;0,00;82,00;0,00;0,00;0,00;0,00;14,00
2019-04-21;52,00;13,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;39,00;52,00;0,00;0,00;0,00;172,42;0,00;0,00;13,00;0,00;13,00
2019-04-28;39,00;13,45;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;26,00;78,00;0,00;0,00;0,00;52,93;0,00;0,00;0,00;13,00;13,00
2019-05-05;0,00;9,00;9,00;0,00;0,00;13,00;0,00;0,00;0,00;5,00;25,00;34,00;0,00;0,00;0,00;33,00;0,00;64,00;13,00;0,00;0,00
2019-05-12;39,00;51,10;13,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;39,00;91,00;0,00;0,00;0,00;80,79;0,00;13,00;13,00;0,00;13,00
2019-05-19;26,00;38,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;91,00;78,00;0,00;0,00;0,00;14,44;0,00;0,00;0,00;0,00;26,00
2019-05-26;0,00;38,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;25,00;25,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;51,00;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;38,25;63,75;0,00;0,00;0,00;265,74;0,00;0,00;13,00;0,00;13,00
2019-06-09;100,00;25,68;0,00;12,16;0,00;13,00;0,00;0,00;0,00;0,00;61,54;61,54;0,00;0,00;0,00;113,51;0,00;0,00;13,00;0,00;0,00
2019-06-16;92,00;39,24;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;65,71;65,71;0,00;0,00;0,00;105,53;0,00;0,00;0,00;0,00;0,00
2019-06-23;41,00;54,67;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;25,63;107,63;0,00;0,00;13,67;41,00;0,00;0,00;0,00;14,00;27,00
2019-06-30;40,00;80,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;12,50;182,50;182,50;0,00;0,00;0,00;146,67;0,00;0,00;0,00;0,00;0,00
2019-07-07;64,00;50,67;0,00;0,00;0,00;13,00;0,00;0,00;0,00;12,80;64,00;140,80;12,80;0,00;0,00;256,00;0,00;0,00;13,00;13,00;0,00
2019-07-14;68,00;40,80;27,20;0,00;0,00;0,00;0,00;0,00;14,00;13,08;96,77;151,69;0,00;0,00;0,00;190,40;13,60;0,00;14,00;27,00;27,00
2019-07-21;40,00;133,33;0,00;13,33;0,00;27,00;0,00;0,00;0,00;12,50;77,50;145,00;0,00;0,00;0,00;146,67;0,00;0,00;14,00;0,00;27,00
2019-07-28;42,00;55,55;13,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;99,75;99,75;0,00;0,00;0,00;159,60;14,00;0,00;0,00;0,00;14,00
2019-08-04;28,00;69,33;0,00;13,33;13,33;0,00;14,00;0,00;0,00;12,73;68,73;84,00;0,00;0,00;0,00;148,40;0,00;0,00;0,00;0,00;14,00
2019-08-11;28,00;56,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;68,73;180,73;0,00;0,00;0,00;280,00;0,00;0,00;0,00;0,00;28,00
2019-08-18;55,00;41,59;0,00;13,41;0,00;0,00;14,00;0,00;14,00;0,00;96,90;167,62;0,00;0,00;0,00;71,50;0,00;0,00;0,00;0,00;28,00
2019-08-25;13,00;37,70;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;104,00;104,00;0,00;0,00;0,00;49,40;0,00;0,00;0,00;13,00;0,00
