Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;29,00;34,80;0,00;0,00;5,80;0,00;4,00;4,00;0,00;4,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;20,00;33,33;0,00;6,67;6,67;4,00;8,00;0,00;0,00;4,62;0,00;4,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;23,00;69,00;7,67;7,67;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;15,00;75,00;7,50;0,00;7,50;0,00;4,00;15,00;0,00;0,00;0,00;0,00;4,50;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00
2019-02-03;33,00;52,80;0,00;6,60;6,60;0,00;16,00;0,00;0,00;0,00;0,00;4,50;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;24,00;42,00;0,00;12,00;12,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;45,00;51,43;6,43;0,00;6,43;4,00;0,00;4,00;0,00;4,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;32,00;70,40;12,80;6,40;0,00;4,00;4,00;0,00;0,00;4,57;0,00;4,57;4,57;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;25,00;50,00;6,25;12,50;0,00;4,00;4,00;4,00;0,00;0,00;4,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;33,00;59,40;0,00;6,60;6,60;4,00;4,00;16,00;0,00;4,50;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;33,00;66,00;6,60;6,60;13,20;0,00;0,00;8,00;0,00;12,91;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
