Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;40,00;13,00;27,00;33,00;13,00;0,00;7,00;7,00;7,00
2019-01-13;44,00;19,00;25,00;19,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;12,00;0,00;18,00;12,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;37,00;0,00;6,00;12,00;0,00;6,00;6,00;12,00;6,00
2019-02-03;19,00;0,00;26,00;13,00;0,00;0,00;20,00;13,00;0,00
2019-02-10;0,00;0,00;19,00;13,00;0,00;6,00;0,00;0,00;0,00
2019-02-17;39,00;6,00;39,00;6,00;6,00;0,00;20,00;7,00;0,00
2019-02-24;19,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00
2019-03-03;7,00;13,00;39,00;20,00;0,00;0,00;0,00;0,00;7,00
2019-03-10;53,00;0,00;13,00;33,00;0,00;7,00;13,00;7,00;0,00
2019-03-17;27,00;13,00;33,00;20,00;0,00;7,00;13,00;7,00;13,00
2019-03-24;46,00;7,00;13,00;20,00;0,00;13,00;7,00;0,00;0,00
2019-03-31;19,00;0,00;6,00;19,00;0,00;6,00;6,00;13,00;0,00
2019-04-07;44,00;0,00;44,00;19,00;6,00;0,00;6,00;0,00;6,00
2019-04-14;33,00;13,00;7,00;20,00;7,00;0,00;7,00;7,00;7,00
2019-04-21;32,00;13,00;19,00;13,00;0,00;6,00;13,00;0,00;0,00
2019-04-28;26,00;6,00;0,00;32,00;13,00;0,00;0,00;0,00;0,00
2019-05-05;19,00;12,00;44,00;19,00;0,00;0,00;0,00;0,00;6,00
2019-05-12;70,00;6,00;13,00;38,00;0,00;0,00;6,00;6,00;32,00
2019-05-19;44,00;25,00;13,00;0,00;0,00;0,00;0,00;6,00;13,00
2019-05-26;44,00;6,00;19,00;25,00;6,00;0,00;12,00;12,00;6,00
2019-06-02;25,00;0,00;6,00;19,00;0,00;0,00;6,00;0,00;12,00
2019-06-09;31,00;6,00;6,00;18,00;6,00;0,00;12,00;6,00;6,00
2019-06-16;26,00;6,00;26,00;32,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;46,00;13,00;7,00;13,00;0,00;0,00;7,00;7,00;13,00
2019-06-30;59,00;7,00;20,00;33,00;7,00;7,00;7,00;7,00;0,00
2019-07-07;57,00;13,00;13,00;13,00;0,00;6,00;0,00;13,00;0,00
2019-07-14;53,00;13,00;7,00;27,00;0,00;0,00;7,00;0,00;0,00
