Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;16,00;440,00;0,00;16,00;32,00;25,00;23,00;14,00;20,00;6,40;16,00;0,00;0,00
2019-01-13;11,00;594,00;11,00;22,00;33,00;24,00;33,00;9,00;17,00;1,57;11,00;4,71;1,57
2019-01-20;12,00;516,00;12,00;24,00;12,00;14,00;14,00;6,00;27,00;16,50;16,50;0,00;0,00
2019-01-27;8,00;408,00;4,00;8,00;16,00;25,00;25,00;13,00;25,00;11,20;4,80;4,80;1,60
2019-02-03;18,00;495,00;9,00;9,00;18,00;15,00;40,00;7,00;13,00;6,00;13,50;0,00;0,00
2019-02-10;13,00;318,50;6,50;6,50;6,50;15,00;26,00;11,00;13,00;13,00;10,11;1,44;0,00
2019-02-17;24,00;400,00;8,00;16,00;24,00;22,00;44,00;7,00;9,00;1,50;6,00;4,50;1,50
2019-02-24;17,00;425,00;8,50;8,50;17,00;34,00;30,00;6,00;22,00;12,36;10,82;4,64;0,00
2019-03-03;13,00;357,50;6,50;6,50;13,00;20,00;18,00;4,00;18,00;4,33;10,11;8,67;1,44
2019-03-10;18,00;459,00;0,00;36,00;18,00;16,00;34,00;4,00;29,00;9,00;15,00;4,50;0,00
2019-03-17;18,00;423,00;0,00;18,00;18,00;20,00;53,00;2,00;25,00;9,00;6,00;4,50;0,00
2019-03-24;20,00;550,00;10,00;20,00;30,00;29,00;29,00;0,00;27,00;10,77;20,00;4,62;1,54
2019-03-31;23,00;375,67;3,83;23,00;15,33;40,00;51,00;11,00;23,00;16,87;12,27;4,60;0,00
2019-04-07;36,00;423,00;9,00;18,00;18,00;30,00;54,00;9,00;24,00;12,00;9,00;9,00;0,00
2019-04-14;32,00;800,00;8,00;16,00;24,00;16,00;62,00;9,00;32,00;9,14;24,38;6,10;1,52
2019-04-21;13,00;266,50;3,25;13,00;13,00;37,00;44,00;15,00;20,00;10,11;18,78;4,33;0,00
